Report: 2017-07-14_AA0003_r-012-01.txt
Sensor ID#: AA0003
Installed: 2017-07-14
Comm ID#: C-AA0009
Days active & report #: 012-01
Nest location: 3746.3222N,12226.3567W
Start date/time: 2017/07/24,16:26:31
Report date/time: 2017/07/25,16:25:38
Secs per rec: 0168
# of recs: 00F0
Battery level: 02B7
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,0191,02EE,0141,FE13,8A3D,000B,0DE2,0D73,1FC6,274D,16EB,0661,030E,0110,0041,000A
0001,0192,02EE,0143,FE0F,8A39,000B,10FD,0EEA,23C1,2AC5,1215,0204,0066,000E,0003,0002
0002,0191,02F6,013E,FE0E,8A3E,000C,0F10,2412,2999,1270,0250,007D,0015,0001,0001,0001
0003,0192,02EC,013C,FE10,8A40,0009,0758,102C,0F1E,23F7,2A16,12DE,021A,0080,0019,0000
0004,0191,02EC,013F,FE0B,8A2D,000B,10C9,0FB9,23BE,29D9,1264,0230,006B,0010,0002,0001
0005,0192,02EC,0143,FE07,8A31,000A,0773,1071,0F29,23C2,2A18,12AE,022A,0062,000E,0002
0006,0192,02EC,0146,FE13,8A45,000B,10B1,0EFC,23C9,2A27,12E5,020D,007C,0018,0000,0001
0007,0192,02EF,013F,FE0E,8A3B,000B,109D,0F70,2375,2A7F,124A,0216,006E,0016,0000,0001
0008,0192,02EE,0143,FE09,8A47,000C,0F5D,2389,2A4B,12DA,020B,006C,0017,0001,0001,0001
0009,0193,02F0,0143,FE0E,8A4A,000C,0F63,22D8,2ABF,12E8,0211,007D,0014,0001,0000,0001
000A,0192,02EF,0140,FE0F,8A35,000A,0765,10AD,0F5F,244B,2A26,11CF,01D4,0091,001C,0003
000B,0192,02E9,0140,FE0B,8A2D,000C,0FF9,225F,2A7F,12DE,01C0,005E,0011,0002,0000,0001
000C,0192,02EC,0141,FE0F,8A4B,000C,1016,23F4,2A61,1225,01B3,0054,000C,0002,0000,0002
000D,0192,02EC,013F,FE18,8A57,000B,1143,0F93,23E0,2981,124C,01F5,005B,0017,0005,0001
000E,0192,02EE,0140,FE0F,8A4B,000A,06E2,105C,0FCD,2358,2A67,12F2,020A,0071,0011,0003
000F,0194,02EC,013F,FE0F,8A61,0009,06C0,102D,0FFA,2296,2B50,132C,0206,0050,0012,0000
0010,0192,02E8,013F,FE0E,8A41,000B,0FDA,1023,2282,2B68,133F,01D8,0067,0013,0001,0001
0011,0192,02EF,0140,FE17,8A2E,000A,064C,0FB3,0FDF,22FD,2C29,129B,0210,006D,000F,0003
0012,0192,02EC,013F,FE0F,8A50,000C,0F0B,224D,2C54,1337,0265,006C,0012,0001,0000,0001
0013,018E,02EC,0143,FE0F,8A38,0009,0649,0ECB,0F55,224A,2D3D,139F,0232,0062,0015,0000
0014,0190,02EB,0143,FE0B,8A36,000C,0F55,225A,2D33,1465,0276,007C,0012,0003,0000,0001
0015,0191,02EF,0143,FE0C,8A3F,000A,05D6,0E37,0E9D,2344,2D50,1432,023C,0079,0017,0003
0016,0191,02F0,0140,FE09,8A3E,000C,0E41,22E5,2E42,13BB,0268,0076,0013,0000,0000,0001
0017,0190,02EC,013F,FE0E,8A39,000A,05E0,0E05,0E43,21BC,2F00,1453,0262,0087,0017,0002
0018,0191,02F0,0140,FE10,8A44,000A,05C6,0DA8,0E23,21F8,2EFD,14F2,0247,0071,000F,0005
0019,0190,02EB,0140,FE0F,8A42,000A,05CE,0E0E,0E17,21A4,2E9C,14F0,0285,007C,001B,0003
001A,018E,02EC,013F,FE13,8A32,000A,059D,0DFD,0E33,2266,2E32,14D0,0276,0076,0010,0001
001B,018F,02F3,0139,FE0F,8A31,000A,0587,0DD3,0E36,2280,2F12,143C,0258,006D,000D,0001
001C,018D,02EE,013F,FE10,8A2D,000C,0E59,2292,2ED7,1456,0269,0084,000B,0003,0003,0002
001D,018C,02EF,0141,FE10,8A30,000C,0E27,227F,2EA8,1570,02B7,007B,0017,0004,0001,0001
001E,018C,02EC,013F,FE09,8A35,000D,2210,2FDD,1595,02CE,0081,0014,0002,0000,0000,0001
001F,018E,02E8,013C,FE11,8A3A,000B,0D4B,0E27,2159,2EF1,15BA,02D8,0088,001C,0001,0001
0020,018D,02EE,013F,FE0C,8A23,000A,04E4,0CAF,0D82,21C2,2FEA,15F6,02CA,008B,0015,0002
0021,018B,02EC,013F,FE10,8A2C,000B,0C84,0D30,2248,2FE6,1640,0282,0092,000F,0000,0001
0022,018B,02EC,013F,FE0C,8A22,000B,0CAF,0D7F,2282,2FA6,15A1,028A,007F,0012,0003,0001
0023,018B,02EF,0140,FE0E,8A24,000B,0BDC,0D93,2150,304E,168C,02F7,007C,000F,0003,0001
0024,018B,02F0,013F,FE0C,8A33,000D,21EF,3000,164E,02CB,0080,000E,0003,0000,0000,0001
0025,018B,02F0,0140,FE0E,8A24,000B,0B76,0CCA,218C,3024,1810,0337,007D,0018,0000,0001
0026,018B,02F1,013C,FE0B,8A1D,000C,0D4E,2183,307B,15FE,02BC,008D,0016,0001,0000,0001
0027,0187,02EC,013F,FE0F,8A1E,000A,04E5,0C71,0D9E,2090,2F36,1798,0336,0072,0020,0004
