Report: 2017-07-14_AA0003_r-014-01.txt
Sensor ID#: AA0003
Installed: 2017-07-14
Comm ID#: C-AA0009
Days active & report #: 014-01
Nest location: 3746.3222N,12226.3567W
Start date/time: 2017/07/26,16:24:47
Report date/time: 2017/07/27,16:23:54
Secs per rec: 0168
# of recs: 00F0
Battery level: 02B6
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,0198,02EE,013E,FE0F,8A66,000B,14FB,180C,1C0A,1ED9,1189,0559,02E4,00E2,003B,000B
0001,0198,02EF,013F,FE0F,8A62,000B,181C,1BA8,1E58,1F4D,0E3C,01A6,007C,0014,0003,0001
0002,0199,02EE,013C,FE11,8A70,000D,1DD3,2049,0DBB,019D,0081,001B,0002,0002,0000,0001
0003,0198,02F1,0139,FE0E,8A6F,000B,18BE,1BE9,1DFE,1FEF,0D42,016E,0065,000C,0003,0001
0004,0199,02EE,013C,FE0C,8A6D,000D,1DA0,2013,0D2D,0175,005C,0013,0001,0000,0000,0001
0005,019B,02EC,013F,FE0C,8A70,000C,1B93,1D9F,211A,0D70,019C,0068,0012,0000,0001,0001
0006,0199,02E9,013F,FE0B,8A72,000C,1BED,1DB9,203C,0CCE,019A,006F,0017,0001,0000,0001
0007,0199,02EF,013F,FE0C,8A79,000D,1D1A,20AA,0D79,01C9,0089,001F,0002,0000,0000,0001
0008,019C,02EB,0140,FE07,8A7F,000C,1B8E,1DF9,1FE1,0D47,0168,006A,0018,0002,0000,0002
0009,019B,02EC,013F,FE0F,8A72,0009,0921,18E5,1B4A,1ECD,207E,0C07,0155,0066,0015,0000
000A,0199,02F0,013E,FE13,8A77,000A,08F0,1865,1BF0,1E00,20B8,0C91,0167,006F,0011,0002
000B,019B,02F0,0147,FE0C,8A6F,000A,0898,1875,1C53,1DFD,2077,0CAC,0166,0074,0014,0001
000C,0199,02EC,013F,FE0F,8A78,000B,182E,1B64,1DF6,218E,0C8D,0191,006C,000E,0001,0002
000D,019B,02F0,013C,FE0C,8A6C,000B,17AD,1BAB,1D8E,2186,0D1F,0176,0077,000F,0003,0002
000E,019A,02E9,013F,FE10,8A78,000A,08CB,1801,1B71,1DE0,2183,0CDF,017D,0060,001A,0002
000F,019C,02EE,013C,FE0C,8A76,000B,189D,1B36,1DD0,216D,0C5E,0131,0065,0010,0002,0002
0010,0199,02EE,013F,FE0F,8A74,000A,08AB,1871,1AA8,1E65,218B,0D25,0143,004E,0006,0004
0011,0199,02F0,013C,FE10,8A71,000A,0846,1677,1A21,1EDD,225A,0E44,01AA,005A,0011,0003
0012,019C,02F0,013F,FE0E,8A70,000B,178D,1A99,1E53,21DA,0D1C,018A,005E,0019,0003,0003
0013,0199,02EC,013C,FE12,8A6C,000B,17B1,1AAD,1EBE,215B,0D1B,01A3,0063,0011,0001,0002
0014,0199,02EE,013F,FE0F,8A75,0009,08BC,17A0,1A2E,1DED,21F2,0DD2,01C9,005D,0014,0000
0015,0197,02F0,013E,FE11,8A71,000B,17C8,1B13,1ED2,21C9,0C66,0165,0072,0015,0003,0003
0016,0199,02EC,013F,FE0C,8A6E,000B,171C,19EF,1E76,21CC,0E3E,0229,0076,000E,0000,0001
0017,0199,02EF,013E,FE0F,8A6B,000A,0771,1562,1824,1E73,23E0,1081,0213,0075,0015,0003
0018,0198,02EB,0140,FE0C,8A69,000C,15B7,1EF8,2553,13F2,02BE,0089,0019,0000,0000,0001
