Report: 2017-07-14_AA0003_r-015-01.txt
Sensor ID#: AA0003
Installed: 2017-07-14
Comm ID#: C-AA0009
Days active & report #: 015-01
Nest location: 3746.3222N,12226.3567W
Start date/time: 2017/07/27,16:23:54
Report date/time: 2017/07/28,16:23:02
Secs per rec: 0168
# of recs: 00F0
Battery level: 02B6
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,0198,02EE,013E,FE11,8A54,000B,1625,16C9,1AEE,20E3,0EC7,054A,030D,00C6,003D,000B
0001,0198,02EF,013F,FE0F,8A6E,000C,19D1,1D27,2160,0A5F,0199,006E,000F,0003,0001,0002
0002,0197,02F1,013F,FE07,8A64,000B,1A75,192A,1D3F,2248,0A31,0192,0066,000E,0000,0001
0003,0198,02F0,013E,FE0C,8A6F,0009,0B52,1984,19BE,1CCF,22E0,0A08,0193,0082,000F,0000
0004,0198,02F1,013E,FE0F,8A66,000A,0A20,1876,17CD,1CE7,23AF,0C6C,0250,0096,0017,0004
0005,0198,02EF,0143,FE0C,8A62,000C,1957,1D4E,2267,098B,017F,0089,0015,0002,0001,0001
0006,0198,02EF,013F,FE0E,8A70,000B,1A25,18FC,1DF3,2232,0995,0186,0066,001C,0001,0001
0007,0199,02EF,013F,FE10,8A69,000B,1A8F,190F,1CE9,22D9,098F,0171,0076,0014,0003,0001
0008,0199,02EF,013F,FE0C,8A66,000C,190B,1D06,22A4,09F7,01A9,0068,001A,0002,0000,0001
0009,0199,02EF,013F,FE0F,8A69,000A,0AFB,196B,18A1,1D47,2392,0A77,019B,005F,0017,0001
000A,0199,02F0,013F,FE0C,8A6F,000B,1A6C,1926,1D25,22A9,09BF,017D,0072,000E,0002,0002
000B,0197,02F0,013F,FE0F,8A6D,000B,1A4F,18E6,1D1A,22F0,09C1,0184,005E,000D,0004,0001
000C,019B,02EE,013B,FE0E,8A6D,000C,1837,1D5C,2390,09F1,01B8,0076,001A,0003,0000,0001
000D,0199,02EE,0144,FE0B,8A6D,000A,0B00,1A1B,18C7,1CA9,23CF,09F4,01AC,0061,0010,0002
000E,0199,02F0,013C,FE10,8A6D,000B,19EC,1892,1CE2,23A4,09F2,018A,0066,0010,0000,0002
000F,019B,02F0,013B,FE13,8A6F,000A,0A9A,1977,1964,1B0C,2375,0C14,01C3,0087,0019,0002
0010,0199,02EF,013C,FE0B,8A73,000A,093F,181D,1A9F,1B3C,23DE,0CD2,01CE,0093,0024,0007
0011,019A,02F0,013E,FE08,8A68,000B,1990,1AEF,1A73,239D,0B2B,01CA,007C,0022,0003,0001
0012,019E,02EC,013C,FE0E,8A6A,000C,199A,1A3A,24C5,0BB8,01B2,0081,000C,0003,0000,0001
0013,019C,02F0,013E,FE09,8A70,000B,1A66,19B9,1B0F,23FA,0A38,0163,006E,0012,0002,0001
0014,019B,02F0,013E,FE0D,8A76,000A,0B72,19FA,1A45,1B1E,2383,0A0E,0175,0080,001D,0004
0015,019C,02EE,013F,FE0E,8A76,000C,19A4,1B09,23F5,0B66,01D4,0071,0016,0002,0001,0003
0016,019B,02EE,013C,FE0E,8A7B,000B,1A6E,1A43,1B87,22F4,09F5,015B,006F,0010,0002,0001
0017,019B,02F0,013C,FE0E,8A7A,000C,1994,1BD6,22FF,0A01,0194,005A,0016,0002,0000,0001
