Report: 2016-07-19_AA0006_r-014-01.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 014-01
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/07/31,16:33:02
Report date/time: 2016/08/01,00:33:06
Secs per rec: 0168
# of recs: 0050
Battery level: 02D1
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01BD,FD64,FD0C,FEC1,93A3,000A,0475,0AD6,0993,16F5,2C0D,2704,0D39,02EF,008B,000C
0001,01BD,FD6B,FD0C,FEBE,9381,000A,050B,0C42,0A42,19F1,2F4A,25C6,0828,0093,0034,0002
0002,01BE,FD67,FD0B,FEBF,9388,0009,04BE,0B97,0A44,1A5B,2F37,262B,0867,0096,0035,0000
0003,01BE,FD67,FD0E,FEBE,93AD,000A,0513,0C4F,0AE1,196D,2FB5,25A6,07D4,0087,0044,0003
0004,01BB,FD67,FD0E,FEC0,939B,0009,04FB,0C14,0A6E,19EA,2F52,2598,086E,00AE,002E,0000
0005,01BE,FD67,FD0F,FEC0,937A,000A,0472,0BC0,0A3D,19ED,2FBA,263A,0858,0090,0040,0002
0006,01BD,FD67,FD0C,FEC1,9380,000A,04FD,0C02,0A73,194A,2F65,266F,080C,00A6,003A,0004
0007,01BD,FD67,FD0C,FEC1,939C,000A,0526,0C10,0AF7,1973,2F0B,260A,080B,00A2,0036,0004
0008,01BE,FD67,FD0C,FEBF,93A6,000A,0532,0C2F,0AEF,19C3,2F23,2533,0872,0090,003A,0001
0009,01BE,FD66,FD09,FEC0,939E,000A,04E4,0BBC,0B28,184E,2F49,26B9,08BB,0096,0032,0003
000A,01BD,FD67,FD0F,FEBC,93B7,000A,0548,0C09,0AD1,18D7,2F9D,25FA,0857,0091,003E,0001
000B,01BD,FD67,FD0E,FEC0,939F,000A,0506,0B8E,0ABF,19CB,2F44,2605,085B,0096,0044,0003
000C,01BE,FD67,FD0C,FEC0,938F,000A,0522,0C13,0AB2,196D,2F95,25EB,07E4,0099,003A,0004
000D,01BE,FD67,FD0E,FEC0,938E,000A,0509,0C15,0AAF,19A9,2EF7,2647,0806,00A1,0032,0001
000E,01BE,FD67,FD08,FEBF,93B5,000A,0533,0C7A,0A4F,1964,2F36,25D4,087C,0095,0038,0002
000F,01BE,FD67,FD0C,FEC3,93B5,000A,0515,0BD6,0A93,19AC,3034,2577,0813,008D,003F,0001
0010,01BE,FD67,FD0C,FEBF,93C4,000A,04EA,0C0A,0AFB,1935,2FAA,25BD,0857,00AD,0033,0002
0011,01C0,FD63,FD0C,FEC0,93A6,000A,04D8,0C17,0ABD,1985,2F26,2623,084F,0094,0046,0003
0012,01BE,FD66,FD0C,FEC0,9399,000A,0567,0BC7,0A5E,19A6,2FB4,25A7,082A,00A0,0040,0002
0013,01BF,FD67,FD0C,FEBF,93BC,000A,054C,0C45,0A5C,1979,2F38,263E,081F,0091,002E,0002
0014,01BE,FD66,FD0F,FEBB,93B0,000A,04C1,0BA8,0A95,196A,2F84,268A,0853,00AE,0037,0002
0015,01BE,FD67,FD0F,FEBF,938C,000A,04DC,0B8D,0AD8,1986,2F4F,263F,0860,0098,003D,0002
0016,01BE,FD63,FD0F,FEC3,93AD,000A,051D,0BD4,0AD7,1A1E,2F59,25C5,07CB,00A7,0035,0002
0017,01BE,FD67,FD0C,FEC1,9393,000A,04D7,0BDC,0A3D,1A0A,2F58,2622,083E,00A2,003C,0003
0018,01BE,FD67,FD0C,FEC1,939B,000A,04B7,0BB8,0A5F,19F4,2EE0,2644,08DD,00A2,0034,0002
0019,01BE,FD66,FD0F,FEBC,9390,000A,052F,0BDC,0A22,1A26,2F6D,2619,07E0,008E,0044,0005
001A,01BE,FD63,FD0F,FEC0,93B4,0009,054F,0C32,0A36,1A1D,2FD4,2550,07F5,0093,0034,0000
001B,01BF,FD67,FD0C,FEC0,9392,000A,04E1,0BD3,0A09,1A19,2F5E,265C,0833,0093,003A,0002
001C,01BE,FD63,FD0E,FEBF,9390,000A,04D4,0C03,0A7A,19A2,2F26,25F4,085F,00B9,0064,0007
001D,01BE,FD67,FD0F,FEC0,93B9,000A,0522,0C11,0AC1,1A71,2F81,24CC,0831,00A3,0032,0001
001E,01BE,FD66,FD0E,FEC0,9397,000A,04E3,0BED,0A4C,1A0A,2F80,2602,082E,008A,0035,0002
001F,01BE,FD67,FD0C,FEC0,93AD,000A,0501,0C1E,0A5C,1AD5,2F9D,24ED,07FB,00A4,0031,0003
0020,01BF,FD67,FD0C,FEC0,93C8,000A,0553,0C2D,0A72,19B9,2F15,2612,081B,0090,004A,0001
0021,01BF,FD67,FD0C,FEC3,93AF,000A,0538,0C0E,0A81,19FF,2F15,25DB,0829,0097,0038,0001
0022,01BF,FD67,FD0C,FEC0,93CC,000A,055F,0C4E,0AA4,19D5,2FAD,2558,07CD,0099,0039,0002
0023,01BF,FD67,FD0C,FEC3,93CD,000A,0556,0C35,0A53,1A12,2FC4,256C,07DB,00A2,002D,0003
0024,01BE,FD68,FD0C,FEBE,939A,000A,04E6,0BF9,0A43,19B7,300E,25DC,080F,0084,003E,0006
0025,01BF,FD67,FD0B,FEBE,93C6,000A,0533,0C47,0AA6,1965,2FAE,256A,0849,0098,0046,0002
0026,01BF,FD67,FD0E,FEC0,93B6,000A,0519,0BD3,0A68,1A31,2FCA,253A,085B,00A3,002E,0001
0027,01C0,FD67,FD0E,FEC0,93BA,000A,055B,0BED,0A8D,1A0F,2FB7,2570,07DF,0098,0037,0001
0028,01BF,FD67,FD0E,FEC0,93A1,000A,0511,0C2B,0A29,19C0,2F50,2603,0866,0089,0039,0001
0029,01BF,FD67,FD0E,FEBF,9393,000A,04CA,0BA5,09B9,1A2F,2FC3,2633,087B,0094,0036,0001
