Report: 2016-07-19_AA0006_r-014-02.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 014-02
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/01,00:33:06
Report date/time: 2016/08/01,08:33:08
Secs per rec: 0168
# of recs: 0050
Battery level: 02D1
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01BF,FD66,FD0E,FEC0,93A0,000A,0499,0AF7,0997,16AF,2C67,268E,0D0C,0313,00A7,000F
0001,01BE,FD63,FD0F,FEC0,93D7,000A,056E,0CE7,0AA5,196E,2F99,24C1,0848,00A2,002A,0001
0002,01BF,FD68,FD0C,FEBF,93D1,000A,0570,0CFD,0B00,199E,2EE6,2507,080F,0097,0030,0003
0003,01BF,FD64,FD0F,FEC0,93A4,000A,0531,0BF5,0AA7,1943,2F9C,25A4,089C,0092,0025,0001
0004,01BE,FD67,FD0C,FEC0,93A0,000A,050B,0C56,0AA3,195E,2FA5,260A,07AD,00A0,0041,0001
0005,01BF,FD69,FD0C,FEC1,93B3,000A,0515,0C6F,0AB8,19E9,2FEB,2514,07CA,008E,0036,0001
0006,01BF,FD63,FD0E,FEBE,93A3,0009,0547,0C07,0A38,199E,2F72,2610,083B,0087,003B,0000
0007,01BE,FD63,FD0E,FEBE,93A3,000A,053F,0C48,0A6C,1979,2F35,25DC,0855,009C,0032,0003
0008,01BE,FD66,FD0B,FEBF,93C0,000A,057C,0CB4,0A94,1984,2FB0,252B,07EC,007D,0031,0003
0009,01BF,FD6B,FD0C,FEBF,93B8,000A,053F,0C94,0A5F,19B0,2F4C,2523,0889,00A0,003A,0004
000A,01BE,FD67,FD0C,FEBF,938D,000A,0524,0C1A,0ACC,1998,2FA0,2531,0835,00A6,003C,0003
000B,01BF,FD67,FD0C,FEBF,9381,0009,04CE,0BD9,0A47,19B6,2F98,266A,0813,0090,0038,0000
000C,01BF,FD66,FD0C,FEC0,9388,0009,0536,0C04,0A59,19C2,2F48,260E,0804,0097,0042,0000
000D,01BE,FD67,FD0F,FEC0,938B,000A,0540,0C5F,0A9B,1A2A,2F1E,2534,0815,0093,002A,0003
000E,01BF,FD63,FD0A,FEBC,9397,000A,0512,0C15,0AB5,19CA,2F68,2595,0826,009F,002E,0001
000F,01BF,FD66,FD0C,FEC0,936E,0009,04E1,0BFB,0AAA,1954,2F4E,2628,0847,009B,003C,0000
0010,01BF,FD67,FD13,FEBE,939E,000A,0543,0C17,0AC8,198B,2F11,2608,0806,008E,003F,0005
0011,01BE,FD67,FD0C,FEC0,939C,000A,04F2,0C1B,0A68,1914,2F17,26EF,0844,0092,0033,0004
0012,01BE,FD67,FD0E,FEC1,93A6,000A,054A,0BC4,0A5C,1995,2F2B,2634,086A,009C,003E,0004
0013,01BE,FD64,FD0F,FEC0,93AC,0009,0526,0C16,0AA5,1932,3039,2565,0833,0096,0032,0000
0014,01BE,FD67,FD0E,FEC0,93B4,000A,0541,0C15,0A99,19B3,2F57,2593,084A,00B5,0026,0003
0015,01BE,FD67,FD0E,FEBC,937D,000A,04F1,0BC0,0AC8,1968,2F1B,26C8,0803,0089,002B,0002
0016,01BE,FD64,FD0B,FEC3,939C,000A,04CA,0C6F,0A9B,1996,2F52,2561,08A5,0095,0043,0002
0017,01BE,FD64,FD0B,FEBE,93A0,000A,04CC,0BF6,0A9A,18F1,2F3F,26B2,087B,009B,004B,0001
0018,01BE,FD67,FD0C,FEBE,93AA,000A,04F9,0C4E,0AED,18C8,2FAC,2607,0824,008E,0046,0003
0019,01BE,FD68,FD0B,FEC0,9398,000A,0514,0C05,0AA2,1926,3045,2558,0860,0088,002F,0003
001A,01BE,FD67,FD0C,FEBF,9388,000A,04DD,0BA7,0A89,194A,2FC4,2667,0852,0088,002B,0001
001B,01BE,FD67,FD0C,FEBF,93A0,000A,0544,0C53,0A81,1A19,2F43,255C,07FD,009F,0032,0002
001C,01BE,FD67,FD0C,FEBE,93AF,000A,0511,0C38,0AA7,198D,2FBC,253A,0856,00AE,0036,0002
001D,01BE,FD67,FD0E,FEC0,9369,000A,04DC,0B9D,0A9A,198E,2F12,2677,0842,00AA,0051,0002
001E,01BD,FD67,FD0C,FEBF,938E,000A,0507,0BE1,0A19,19C8,2F20,26D0,0801,0094,003E,0002
001F,01BD,FD67,FD0C,FEC0,9389,000A,0533,0C6D,0A77,18E9,2F62,264D,081B,008E,002F,0002
0020,01BE,FD67,FD0F,FEC0,9393,000A,050A,0B7B,0A89,1948,2FDD,263D,0858,00A2,0028,0001
0021,01BC,FD67,FD0C,FEBE,9394,000A,04EB,0BEE,0A54,19CB,2F6E,2657,0808,0091,0038,0006
0022,01BE,FD65,FD0C,FEC1,9392,000A,0505,0BDB,0A3F,19C0,2F38,269A,081C,0098,002C,0001
0023,01BD,FD63,FD0E,FEC0,93AD,0009,0535,0C47,0ABA,198E,2F7E,25E1,07B4,009B,003B,0000
0024,01BE,FD67,FD0C,FEC0,937D,000A,04C1,0B96,0A3A,18CE,300A,26D3,0871,0099,0036,0001
0025,01BE,FD66,FD0C,FEC3,9399,000A,050D,0BD1,0A7F,1984,2FAE,2682,07CA,009D,0020,0001
0026,01BD,FD66,FD0F,FEC0,938F,000A,050F,0BF9,0A3F,19FF,2FA3,25D0,0807,0098,0036,0001
0027,01BE,FD67,FD0C,FEC0,939D,000A,0531,0BDA,0AA6,1973,2FFD,25BA,07EE,0095,003C,0003
0028,01BC,FD68,FD0C,FEBF,9398,000A,0516,0BE8,0A43,1955,2F8A,26C5,080C,007E,0028,0001
0029,01BD,FD67,FD0C,FEC7,93A5,000A,053F,0BCD,0AC8,197E,2F68,25F6,084D,0075,0032,0001
002A,01BE,FD67,FD0C,FEBC,93A7,000A,04C4,0BB1,0A6F,194B,3012,2687,0822,0090,002B,0002
002B,01BD,FD68,FD0D,FEC3,938E,000A,04F7,0C0B,0A7F,197F,2FB4,25FD,081C,008C,0034,0001
002C,01BD,FD67,FD0C,FEBF,9393,000A,050C,0B40,0A10,1950,2F97,272B,084F,009B,0035,0006
002D,01BC,FD68,FD0C,FEBF,938F,000A,04B2,0B74,0A3B,18EC,2F93,2758,0849,00BE,004E,0002
002E,01BD,FD67,FD0E,FEC0,936E,000A,0463,0B6F,0A77,19BC,2F4B,2708,086A,0080,002B,0001
002F,01BD,FD66,FD0C,FEC0,9374,000A,04BC,0BB4,0A17,19C2,2F24,2713,0822,009A,0037,0001
0030,01BD,FD67,FD0F,FEC0,9358,000A,049B,0B51,0A56,192F,300F,26F3,084C,007B,001D,0001
0031,01BC,FD68,FD0C,FEC0,9391,000A,0525,0BDF,0A7E,1913,2F99,2662,0845,0089,0030,0003
0032,01BC,FD67,FD09,FEBC,9370,000A,04DE,0B6F,0A67,197A,3022,26A0,07A9,0092,003E,0007
0033,01BC,FD67,FD0E,FEC0,9368,000A,04DC,0B97,0A80,18CD,2F39,2740,0831,00B4,0049,0001
0034,01BC,FD68,FD0C,FEC0,9370,000A,04CB,0B33,0A3F,1956,2FAF,26A6,089A,00B5,0038,0001
0035,01BC,FD67,FD0C,FEC0,9378,000A,04C8,0B55,0A60,1926,2F6F,2723,0880,008C,0035,0002
0036,01BC,FD67,FD0C,FEC0,9376,000A,049C,0B80,0A2E,19C8,2FA7,26C2,0825,0094,0041,0001
0037,01BC,FD67,FD0E,FEBC,9363,000A,04DC,0B6C,0A79,1964,2F94,26A2,0826,0099,0047,0002
0038,01BB,FD67,FD0C,FEC0,9376,000A,04E7,0BB2,0AD4,193F,2F5B,269F,0805,009C,002E,0001
0039,01BC,FD64,FD0C,FEC3,938E,000A,04CC,0BD0,0A89,1993,2F89,2688,07F9,00A0,002B,0001
003A,01BB,FD67,FD0E,FEC0,9391,000A,0544,0B5A,0AE7,18D1,2F4B,2699,0886,0097,0037,0003
003B,01BC,FD67,FD0C,FEBC,937B,000A,0489,0B4D,0A8C,1974,3035,26A3,0811,0088,0033,0001
003C,01BC,FD67,FD0F,FEC0,938C,000A,04C1,0B90,0A39,1911,2F72,271E,087E,00B0,0030,0003
003D,01BA,FD67,FD0E,FEC1,936F,000A,047F,0B10,0A90,190D,2F69,276B,08B4,007C,003C,0003
003E,01BB,FD67,FD0C,FEBF,9375,000A,049C,0BBB,0A73,1923,2EC8,2782,086C,009C,0035,0001
003F,01BB,FD67,FD0E,FEBE,9360,0009,04BD,0B8A,0ACD,18F9,2F27,2745,0814,00A2,0031,0000
0040,01BB,FD67,FD0F,FEC0,935E,000A,04BB,0B5C,0A3B,1914,2F73,2761,0846,009B,0040,0003
