Report: 2016-07-19_AA0006_r-015-02.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 015-02
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/02,00:33:16
Report date/time: 2016/08/02,08:33:19
Secs per rec: 0168
# of recs: 0050
Battery level: 02CE
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01BE,FD68,FD0C,FEC0,936E,000A,042E,0A7C,0A3D,156D,2B67,2860,0D7E,032B,009F,000B
0001,01BD,FD67,FD0C,FEBE,9372,000A,04E3,0BDE,0B33,18A7,2E27,278E,0876,0088,0022,0002
0002,01BE,FD66,FD0C,FEBF,936B,0009,04CA,0BF6,0B7A,1812,2EC3,268F,08DF,00A6,0048,0000
0003,01BE,FD66,FD0C,FEC3,93A8,000A,053D,0C1F,0B55,189D,2E76,26B3,0863,0098,0035,0001
0004,01BE,FD67,FD0E,FEC0,9389,0009,04E3,0C5F,0B25,17D6,2EFB,26A3,08DE,008F,0041,0000
0005,01BE,FD66,FD0C,FEC3,9382,0009,04B7,0BFE,0B94,17D5,2EF2,272E,0895,0088,0027,0000
0006,01BE,FD67,FD0C,FEBF,93A6,000A,050D,0C33,0B58,1807,2F79,26C4,07F8,009C,0033,0003
0007,01BD,FD67,FD0E,FEBF,938E,000A,0493,0B6C,0B93,1844,2EC4,26F6,08F9,00B8,0048,0005
0008,01BD,FD68,FD0F,FEBF,9363,0009,04B6,0BF3,0B04,17DF,2E95,279F,08C9,0091,0049,0000
0009,01BD,FD68,FD0F,FEC0,9390,000A,04EE,0C1B,0B68,1865,2F0A,26A0,085D,007E,0034,0001
000A,01BE,FD67,FD0C,FEC0,9385,000A,04D9,0BD6,0B61,17F5,2E90,2759,08A8,009E,004C,0005
000B,01BD,FD67,FD09,FEBF,93AC,000A,0527,0BC6,0BA3,17D2,2F00,26E3,0883,00AB,0035,0004
000C,01BD,FD67,FD0C,FEC0,939B,000A,051D,0BB9,0B85,1835,2F9C,262E,086B,0089,0049,0004
000D,01BB,FD67,FD0E,FEC0,9374,000A,0489,0B8A,0B58,1831,2F79,274E,084F,0092,002F,0001
000E,01BD,FD67,FD0C,FEC0,935A,0009,04CB,0C16,0B1F,1884,2EF8,26E7,0858,007F,0020,0000
000F,01BD,FD67,FD0E,FEC0,937E,000A,04A7,0B9E,0B4A,1845,2ED4,27AC,085F,0093,0037,0001
0010,01BC,FD67,FD09,FEC0,9396,0009,04CC,0BE8,0B71,1811,2F40,26E5,0885,0086,0030,0000
0011,01BE,FD67,FD0C,FEBF,9370,000A,049D,0BD0,0B8D,17DB,2EC5,27A3,085A,009F,0035,0005
0012,01BD,FD63,FD0C,FEBF,939A,000A,04F3,0C24,0B35,182F,2F2D,26C4,0867,0099,002B,0003
0013,01BD,FD67,FD0C,FEBF,9385,0009,04B6,0B9F,0B56,17E1,2EAC,2820,086F,0093,002B,0000
0014,01BC,FD67,FD0F,FEC0,935E,000A,04C0,0C24,0B37,17B5,2E50,27F5,086D,009B,003C,0005
0015,01BD,FD66,FD0C,FEC1,9392,000A,0532,0C29,0B0A,1851,2EEA,26D8,0848,008F,0041,0002
0016,01BD,FD68,FD0C,FEBE,938A,000A,04DE,0C2D,0B14,183B,2F2C,26CA,0856,009C,0042,0006
0017,01BE,FD66,FD0C,FEC0,938F,000A,04C9,0BAC,0B4E,181D,2ED2,2782,08A6,0084,0030,0001
0018,01BC,FD67,FD0E,FEC0,9377,000A,0503,0BCC,0B48,1826,2F2F,268E,08B0,009B,0031,0001
0019,01BC,FD63,FD0C,FEC0,9376,000A,04D5,0BBB,0B5C,181C,2F76,2672,08AF,0098,003D,0002
001A,01BC,FD66,FD0F,FEC0,9396,0009,04BF,0BD2,0B5B,181E,2EC4,276F,0889,0099,0037,0000
001B,01BC,FD69,FD0C,FEC0,9382,000A,04CB,0C00,0B3D,1739,2E90,27F9,08E6,0094,003D,0001
001C,01BE,FD63,FD0C,FEBF,9366,000A,04C5,0B72,0B0B,186E,2E9F,27DC,087B,0096,0028,0002
001D,01BB,FD66,FD0C,FEC0,938D,000A,04D1,0BAC,0B11,1816,2FD3,2704,0853,008D,0031,0001
001E,01BC,FD67,FD0E,FEC0,938F,000A,04B2,0BC0,0B0D,17A7,2F50,2784,08AE,00A0,0045,0002
001F,01BC,FD67,FD0C,FEBC,9344,000A,0492,0AF4,0AC8,1826,2F1F,27E4,090B,0096,0029,0003
0020,01BE,FD63,FD0C,FEBC,9354,0009,04A2,0B3D,0A9C,17EE,2F1D,281D,08C0,00BA,0037,0000
0021,01BD,FD67,FD0C,FEBE,9364,000A,04CC,0B51,0ACF,17FF,2EBD,2802,08DF,0093,0045,0003
0022,01BC,FD67,FD0F,FEBF,9368,0009,0494,0BA7,0B32,17D1,2EEE,27CE,08A0,009D,0031,0000
0023,01BC,FD63,FD0E,FEBC,9368,000A,04A9,0B96,0AB6,1878,2F06,278D,0873,00BB,0039,0001
0024,01BB,FD66,FD0E,FEBE,9389,0009,04F8,0C8A,0AC7,1872,2F0B,2677,088E,0097,0027,0000
0025,01BD,FD67,FD0C,FEBF,937A,000A,04C6,0BF6,0ACF,1868,2FE7,2679,0841,00AA,003B,0001
0026,01BB,FD67,FD0C,FEC3,9382,000A,0514,0C3A,0ADA,1839,2F17,26EA,0857,009B,002C,0002
0027,01BC,FD67,FD0C,FEC0,935A,000A,04D6,0BCE,0B3B,18FD,2F0F,2624,0876,0097,003C,0002
0028,01BB,FD67,FD0E,FEBC,9361,000A,04EB,0C05,0AD1,1847,2F80,26A8,0884,0075,0035,0003
0029,01BB,FD67,FD0E,FEBF,9377,000A,0537,0C12,0BA8,187D,2F00,2624,0832,0084,002E,0001
002A,01BB,FD66,FD0C,FEC0,935F,000A,04F1,0C0E,0B2B,1904,2ED1,2641,0844,00A0,003A,0001
002B,01BB,FD67,FD0B,FEBF,937E,000A,0544,0CEA,0B60,176A,2F41,2600,0891,008A,0028,0002
002C,01BB,FD66,FD0C,FEC7,9350,000A,0521,0C86,0B6A,17ED,2F06,25F0,088F,0097,0033,0003
002D,01BA,FD67,FD0E,FEC0,9339,000A,0564,0CDC,0B58,1792,2E8F,2676,0857,0088,002A,0001
002E,01BB,FD67,FD0C,FEBC,933E,000A,0501,0C27,0BC9,1749,2EF4,26C2,0872,00AF,002A,0003
002F,01BB,FD66,FD0C,FEBC,9363,000A,0501,0C46,0BD8,16ED,2F27,26F3,0853,00A7,0040,0003
0030,01B9,FD66,FD0C,FEBF,936A,000A,0539,0C53,0C00,166F,2EDD,276C,0862,0089,0038,0003
0031,01B9,FD67,FD0C,FEC0,937F,000A,054A,0C6C,0BE5,1668,2DED,281A,08B6,009E,0020,0001
0032,01B9,FD67,FD09,FEC0,937D,0009,04FC,0B8F,0C04,1603,2EAB,288F,08E5,0092,003A,0000
0033,01B9,FD69,FD08,FEBF,9364,000A,054D,0C7F,0BDF,15DB,2F72,279B,081A,008E,0027,0002
0034,01B9,FD67,FD07,FEC3,934B,0009,04AA,0C1E,0BCC,154B,2F10,28CD,08D2,008C,0031,0000
0035,01B9,FD67,FD0C,FEC2,9325,000A,04A7,0B9E,0BDC,15DE,2EF3,28BA,08AA,009A,0033,0002
0036,01B9,FD67,FD0C,FEC0,9332,0009,04B4,0BFE,0BFB,15C1,2E63,28D9,08B3,009D,0038,0000
0037,01B8,FD64,FD0E,FEBB,9364,000A,04CD,0BF7,0BDB,1575,2EF9,28F7,089F,008C,0033,0002
0038,01B6,FD66,FD0C,FEBE,9345,000A,04D6,0BA0,0BE7,15B1,2F0F,287F,08DF,008D,003B,0002
0039,01B8,FD67,FD0C,FEBF,9337,000A,04B2,0B80,0B84,1563,2ECB,29AC,08EA,0085,0035,0003
003A,01B7,FD67,FD0F,FEC0,9333,000A,04B1,0B8D,0C09,156B,2F0B,28FD,0891,00AB,003C,0001
003B,01B7,FD67,FD0C,FEC3,9323,000A,0486,0B4A,0C05,155A,2ED2,2931,091B,0099,003A,0003
003C,01B6,FD67,FD0C,FEC0,9354,0009,04DA,0C1D,0C08,14E1,2EAD,2978,0861,00AC,0042,0000
003D,01B8,FD67,FD0E,FEC0,9333,000A,04D4,0C20,0BE1,158D,2E24,296F,0874,009B,002E,0001
003E,01B6,FD68,FD0F,FEC0,9361,000A,050B,0C18,0C2F,14CA,2EC2,295E,0848,009D,003E,0002
003F,01B6,FD68,FD0C,FEC0,933C,000A,04CD,0BA6,0C02,1506,2EA8,299F,08A4,009F,0036,0001
0040,01B4,FD68,FD16,FEBC,9324,000A,04E3,0BAD,0BAF,151B,2EDB,291D,092D,0080,0023,0002
0041,01B3,FD61,FD0C,FEBC,9324,0009,04AE,0B80,0C05,1596,2E54,29CD,08A1,0086,0013,0000
0042,01B6,FD67,FD09,FEBC,9329,000A,049D,0BEB,0C00,159B,2EA6,292F,0877,008A,002D,0003
0043,01B5,FD67,FD09,FEC0,9318,000A,0465,0BB5,0C27,15CD,2E8C,2913,08A2,008F,0038,0002
0044,01B5,FD67,FD09,FEC0,9325,000A,049D,0B80,0C17,157E,2EAB,2978,0865,0096,0053,0002
0045,01B5,FD68,FD0C,FEC0,932C,000A,04E0,0BA4,0BF9,1498,2F0B,2902,0930,009C,003B,0003
0046,01B5,FD64,FD0B,FEC1,9342,000A,04E4,0BD0,0BDB,14D0,2EFD,2987,0899,009E,0026,0002
0047,01B5,FD67,FD0C,FEC0,9325,000A,04C7,0BAC,0BD4,1529,2E99,29B9,088C,0099,0038,0006
0048,01B5,FD68,FD0C,FEBE,931A,0009,04B7,0B85,0BED,1572,2EDE,2916,08C4,0090,0037,0000
0049,01B4,FD6C,FD0C,FEBF,9321,000A,049F,0B60,0C16,14EB,2EAD,29FA,08A7,009C,0031,0006
004A,01B5,FD66,FD0E,FEC0,9339,0009,04B8,0BAC,0BC2,14EC,2F13,29C6,0892,0093,0029,0000
004B,01B4,FD67,FD0D,FEBC,9329,000A,047F,0B55,0C55,1485,2F61,29CC,0877,008E,0042,0007
004C,01B3,FD67,FD0E,FEC0,9314,000A,04BF,0B56,0BD0,14BC,2F52,2995,08BE,0093,0036,0005
004D,01B3,FD66,FD0E,FEC0,9324,000A,048D,0BB3,0C10,14EA,2EC2,29BF,089C,008F,003C,0002
004E,01B4,FD67,FD0C,FEC0,931E,000A,04C9,0B63,0B93,14EB,2FDE,28F6,08D2,0092,0037,0005
004F,01B3,FD64,FD0C,FEC0,9337,000A,04A6,0B89,0C71,14A9,2ED6,295C,08F6,0091,0034,0001
TurtleSense 0.2503 -- CC 4.0 BY-SA NerdsWithoutBorders.Net
--end of report--
