Report: 2016-07-19_AA0006_r-016-01.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 016-01
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/02,16:33:23
Report date/time: 2016/08/03,00:33:28
Secs per rec: 0168
# of recs: 0050
Battery level: 02CD
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01B1,FD67,FD08,FEC0,92EE,000A,0388,0995,0A7F,1202,2B17,2CF1,0E04,0280,00B6,000E
0001,01B1,FD68,FD0C,FEC0,92FA,000A,040D,0A24,0BA5,13BE,2EDF,2C76,0943,008F,003E,0001
0002,01B1,FD67,FD11,FEBF,9329,000A,041A,0A49,0B88,1370,2EDE,2CDF,0934,00A3,0037,0003
0003,01B1,FD67,FD0C,FEBF,9310,000A,043B,0A98,0B5D,1318,2F00,2C8F,095A,009C,003F,0004
0004,01B1,FD67,FD0E,FEC0,92FA,000A,0396,09E7,0B87,1406,2F01,2CE2,0931,009D,003C,0003
0005,01B1,FD69,FD09,FEC0,92FF,000A,03C5,09DD,0B4A,135A,2E59,2D7E,09F5,00A4,0047,0002
0006,01B3,FD64,FD0B,FEC0,930E,000A,03E2,0A28,0B94,1331,2E70,2D28,09D4,0091,003D,0005
0007,01B3,FD68,FD0C,FEC0,9314,0009,040F,0A20,0BF5,13C2,2DDA,2D3B,0940,0090,0049,0000
0008,01B3,FD67,FD07,FEC3,92FA,000A,03B9,09B4,0BB1,1394,2E38,2DBA,098C,009D,0029,0004
0009,01B3,FD67,FD0B,FEC3,931D,000A,03D7,0A9E,0B83,137D,2EFF,2C77,094E,00A4,003D,0003
000A,01B2,FD68,FD0B,FEC0,9311,000A,03E1,0A7A,0C2A,13A1,2EC1,2C96,08C1,0091,003F,0003
000B,01B2,FD67,FD09,FEC0,9309,000A,03BA,09ED,0B70,1359,2EE0,2D8E,0945,00AA,0039,0003
000C,01B3,FD64,FD0E,FEBC,932D,0009,03F6,0A22,0B92,1414,2E80,2C97,097E,00A2,0038,0000
000D,01B2,FD66,FD0C,FEC0,9309,000A,03B4,09E3,0B65,13B8,2EB9,2D7C,093B,00A0,0041,0004
000E,01B3,FD64,FD09,FEC0,9304,000A,03D1,0A14,0BF1,13EC,2ED6,2C3D,0956,0096,003F,0004
000F,01B3,FD67,FD0E,FEC0,9309,000A,03EC,0A67,0B5F,1380,2ED2,2CD3,0961,0094,003B,0002
0010,01B3,FD67,FD0A,FEC0,9319,000A,03AF,0A2E,0B2B,13E1,2EDD,2D34,0966,0085,0031,0003
0011,01B3,FD67,FD0C,FEBC,9306,000A,03BE,0A2D,0B4D,1399,2E83,2D42,09B2,0081,003C,0001
0012,01B3,FD63,FD0C,FEC7,9310,000A,03A9,09F7,0BCB,1377,2E51,2D7F,099F,008E,002C,0005
0013,01B3,FD67,FD0C,FEBE,931E,000A,03BB,09E7,0B06,138A,2E00,2E46,09CA,00A1,0038,0003
0014,01B3,FD66,FD0C,FEBE,9328,000A,03F7,09F3,0B61,13E6,2E13,2DD1,096D,0082,0021,0003
0015,01B3,FD67,FD0C,FEC2,9306,000A,0373,0A02,0B2B,13B2,2EA7,2E02,0940,0094,0035,0002
0016,01B3,FD67,FD0B,FEBE,932F,000A,0388,09DB,0B25,13AD,2E90,2E51,094A,009B,0032,0002
0017,01B3,FD67,FD0C,FEC3,9339,000A,03C8,0A3C,0B5F,139B,2EBE,2D7A,093D,008C,0039,0001
0018,01B4,FD6C,FD08,FEBC,9321,000A,03B4,098F,0B9F,139B,2E79,2DE4,0978,00A0,002C,0003
0019,01B4,FD68,FD0C,FEBF,930B,000A,03B5,09D1,0B59,1356,2E72,2E3A,096A,0086,0035,0005
001A,01B3,FD66,FD09,FEC0,9319,000A,03C1,09B9,0BA7,1354,2EC4,2E08,091A,0085,0034,0005
001B,01B4,FD64,FD0C,FEC0,931C,000A,038F,09F4,0B7A,137D,2EAD,2DEC,0936,009A,0036,0003
001C,01B5,FD67,FD09,FEC0,9326,000A,03B4,09E4,0BB8,1350,2E92,2D9B,0989,00A3,002C,0001
001D,01B5,FD66,FD0C,FEC0,930D,0009,03D2,0A4C,0B92,138B,2E55,2D09,09CA,0085,0025,0000
001E,01B6,FD67,FD08,FEC0,931A,0009,037D,0A13,0B32,141C,2EA4,2D18,09AE,00A0,0032,0000
001F,01B5,FD64,FD0C,FEC1,9334,000A,0404,0A71,0B86,138D,2EAF,2CD0,0972,008B,002D,0003
0020,01B4,FD67,FD0D,FEC0,932B,0009,03E3,0A24,0BC5,1386,2EE5,2CE1,093D,00A6,0030,0000
0021,01B5,FD68,FD0C,FEC0,9324,0009,03D5,0A31,0BD2,1395,2E4D,2D38,0969,00A0,0029,0000
0022,01B6,FD64,FD0C,FEBC,9317,000A,03CC,0AA3,0C10,13B4,2EE0,2C4F,08F9,008A,0030,0002
0023,01B6,FD63,FD0C,FEC0,9338,000A,0433,0A12,0BEF,1324,2EFC,2CE3,091C,00A6,003D,0002
0024,01B6,FD63,FD0C,FEC0,932E,000A,040F,0AA7,0BC8,1339,2F10,2C95,090C,0095,002B,0006
0025,01B6,FD65,FD0C,FEBE,9351,000A,040F,0AB3,0BC0,1355,2E8B,2D84,08B2,0088,002B,0006
0026,01B6,FD68,FD0B,FEC0,932F,000A,03DB,0AB3,0BC4,1384,2EC6,2CA5,0911,0094,0047,0002
0027,01B6,FD64,FD07,FEC7,9331,000A,0415,0A29,0B87,13B0,2F26,2CC9,08EF,009E,003F,0001
0028,01B6,FD67,FD0B,FEC0,934E,000A,03FC,0AAB,0B66,13F3,2E7A,2D4D,08B9,0091,003B,0002
0029,01B6,FD67,FD0E,FEC0,9338,000A,041C,0A52,0C13,1377,2F43,2C4B,08F9,007E,0039,0002
002A,01B6,FD67,FD0C,FEC0,9346,000A,03DF,0AD2,0BA3,1393,2ECB,2CF3,08E9,0087,002F,0002
002B,01B6,FD67,FD0C,FEBF,9353,000A,0423,0AA0,0B79,138A,2F37,2CD0,08B5,009A,0036,0001
002C,01B6,FD68,FD0C,FEC0,931E,000A,040B,0A9B,0BF7,1327,2E99,2CC3,0932,008F,003B,0002
002D,01B6,FD67,FD0C,FEC0,933C,000A,03F0,0A84,0C1D,13DC,2E6C,2C96,08F9,009A,0037,0003
002E,01B8,FD67,FD0B,FEC0,933F,000A,03E1,0A8B,0BE4,135C,2F32,2CE0,08AC,009A,0032,0009
002F,01B6,FD66,FD08,FEC1,932F,000A,0404,0A89,0BF4,1387,2E7C,2D07,08C3,00A0,003F,0002
0030,01B8,FD67,FD0C,FEC3,9339,000A,03E8,0A4A,0B9F,13AE,2EA2,2D2F,0913,00AB,0029,0002
0031,01B7,FD66,FD0E,FEC0,9333,000A,041E,0A6C,0B8E,13D5,2E59,2D32,08DD,009D,003F,0002
0032,01B9,FD67,FD0C,FEC1,932E,000A,0427,0A96,0B96,1429,2E8E,2C51,08FB,009D,0039,0002
0033,01B7,FD67,FD08,FEBF,9345,000A,041F,0A50,0BD7,1358,2EC5,2D2D,08F4,0085,003B,0001
0034,01B8,FD67,FD0C,FEC3,9344,000A,03E6,0A3D,0BAA,13E1,2EA1,2D34,08FD,009B,0028,0001
0035,01B9,FD67,FD09,FEC0,9321,000A,040F,0A61,0C35,13B6,2E7E,2CA7,08D9,008F,0036,0003
0036,01B6,FD66,FD0C,FEC0,934A,000A,040F,0AFB,0BBE,1353,2EF5,2CB2,08B3,009D,0036,0002
0037,01B6,FD69,FD0B,FEC0,9379,000A,0420,0AE8,0BDE,135B,2F25,2C8A,08CC,0099,0022,0002
0038,01B6,FD67,FD0C,FEC0,9373,000A,0405,0AA0,0BAD,12FF,2F54,2CE1,0904,009E,0046,0005
0039,01B8,FD67,FD0C,FEC0,9358,000A,03E6,0A4D,0B94,13B3,2DE0,2E1E,0907,0095,0042,0002
003A,01B7,FD67,FD0B,FEC3,9368,000A,0420,0AB6,0BB1,13B1,2E31,2D13,0935,0084,0031,0002
003B,01B8,FD67,FD0C,FEC3,9359,000A,0421,0AE9,0BD8,13D1,2E78,2C88,08FE,0074,0030,0004
003C,01B6,FD69,FD0F,FEC0,9356,0009,03F4,0A6E,0C2D,1330,2EAC,2D25,08E4,009D,0045,0000
003D,01B8,FD65,FD0B,FEBE,9342,0009,03E3,0AF8,0C1F,1381,2DF9,2D0C,08F0,00A8,002A,0000
003E,01B6,FD67,FD09,FEBE,9355,000A,0407,0AA8,0BBF,1358,2EDA,2D12,08E4,0085,0035,0005
003F,01B9,FD67,FD0B,FEC2,9343,000A,03CA,0AD6,0BAC,1408,2E64,2C9C,0939,0080,0032,0004
0040,01B8,FD67,FD0C,FEC3,9379,000A,044A,0B09,0BED,137E,2E90,2C6C,08D8,00A4,0040,0003
0041,01B8,FD67,FD0C,FEC0,9360,000A,043A,0AE2,0BF6,1311,2F12,2C85,08C1,009F,0044,0002
0042,01B8,FD64,FD0E,FEC0,9364,000A,0431,0A81,0B5A,137C,2ED6,2D0F,091E,0095,0040,0004
0043,01B8,FD66,FD0B,FEC0,9364,000A,0428,0A63,0BE6,1391,2E90,2CD5,091C,00A4,003A,0003
