Report: 2016-07-19_AA0006_r-016-02.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 016-02
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/03,00:33:28
Report date/time: 2016/08/03,08:33:30
Secs per rec: 0168
# of recs: 0050
Battery level: 02CD
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01B8,FD67,FD0C,FEC0,9363,000B,099F,0A5B,1145,2A56,2CFC,0E98,0373,00BD,0010,0001
0001,01B8,FD67,FD0E,FEC0,9339,0009,0453,0B24,0BAD,1306,2E7E,2CE3,0903,0083,0028,0000
0002,01B6,FD68,FD0C,FEBE,9365,0009,0463,0B07,0BC1,12D7,2EBE,2D1E,08CE,0084,0035,0000
0003,01B6,FD67,FD07,FEC0,9343,000A,0487,0B4C,0C15,1346,2DD7,2CA5,08DA,0090,002B,0004
0004,01B6,FD67,FD0E,FEBC,9369,0009,0468,0B08,0BDF,132D,2E63,2CF2,08DB,0095,0028,0000
0005,01B8,FD66,FD0C,FEBE,9364,000A,0431,0AEC,0B9B,1332,2E70,2D66,08E7,0088,0032,0003
0006,01B7,FD67,FD0B,FEC0,936B,000A,0441,0B3D,0B79,1332,2EB6,2D36,0896,0080,003A,0006
0007,01B8,FD67,FD0C,FEC0,9366,000A,0439,0B5F,0BFA,1320,2E42,2CEB,08C4,0097,002A,0002
0008,01B8,FD67,FD0C,FEC0,9336,000A,044A,0B41,0BDF,131A,2EB2,2C49,08D6,009E,003F,0004
0009,01B6,FD68,FD0C,FEBF,9369,000A,042E,0AFE,0C02,12E8,2F08,2C77,08FB,008E,0048,0003
000A,01B6,FD67,FD09,FEC0,9338,0009,045C,0AF6,0B8E,1392,2ED5,2C45,08FE,007E,0030,0000
000B,01B8,FD69,FD0C,FEC0,9339,0009,0451,0AB8,0BEF,1351,2F52,2C68,0871,0095,0030,0000
000C,01B6,FD64,FD0F,FEBC,9333,000A,045C,0B4F,0C1D,132B,2DFF,2CAD,08D5,0083,0037,0005
000D,01B6,FD69,FD0C,FEBE,9343,000A,0447,0AF5,0C2D,1334,2E70,2C83,08D5,009E,003D,0003
000E,01B5,FD67,FD08,FEC0,9336,000A,0464,0B06,0C3D,1366,2E67,2C66,08AB,0081,002F,0001
000F,01B7,FD68,FD07,FEBC,9336,000A,0452,0B2E,0C06,1351,2EE6,2BFD,08C2,0081,0034,0005
0010,01B6,FD68,FD0C,FEC0,9323,000A,040E,0B42,0BF6,1385,2DE9,2CE3,08BF,0090,003A,0003
0011,01B6,FD67,FD0B,FEC0,9317,000A,0421,0B10,0BE7,139D,2F0A,2C4B,084C,0088,0037,0002
0012,01B6,FD64,FD0C,FEC7,9350,000A,0414,0B4B,0C08,1320,2E5F,2D17,0897,008C,002D,0003
0013,01B5,FD67,FD0E,FEC1,9354,000A,0443,0B21,0BCB,1380,2E26,2D35,0877,009A,0034,0005
0014,01B6,FD69,FD0C,FEC0,9338,000A,0456,0ADB,0C00,1354,2E79,2CD7,089B,0091,0034,0003
0015,01B6,FD67,FD0C,FEBF,9350,000A,049E,0A78,0B7B,1302,2F15,2D75,0883,0083,002B,0002
0016,01B5,FD67,FD0B,FEBF,9343,000A,044A,0AF3,0C01,133E,2DE5,2DA5,0874,008A,003E,0001
0017,01B6,FD6C,FD0E,FEC0,935B,000A,0419,0AD7,0B9E,1333,2DF6,2DFA,08E2,008F,0036,0003
0018,01B4,FD67,FD09,FEC1,933F,000A,0447,0AEB,0BC7,1314,2EB4,2CEC,08BD,0090,0044,0001
0019,01B6,FD67,FD08,FEC0,9347,000A,0448,0AFE,0B77,1343,2E30,2D5F,08F9,0083,0035,0007
001A,01B5,FD67,FD0B,FEC1,935D,000A,046E,0A8A,0BC0,12B7,2F06,2CFE,0917,009B,0035,0003
001B,01B5,FD67,FD0E,FEC0,9328,000A,0470,0AD2,0BD2,12E3,2EB1,2CBE,090A,008C,0029,0003
001C,01B5,FD69,FD09,FEC0,9312,000A,041F,0AA9,0BC5,13B7,2E4B,2CFF,08B9,007E,0048,0005
001D,01B6,FD67,FD0F,FEC0,9317,000A,041D,0AE2,0BC0,1293,2E97,2D41,091E,00A0,002E,0001
001E,01B5,FD67,FD0C,FEBC,9318,000A,041C,0A90,0BA7,1372,2E92,2D30,08E3,007D,0030,0001
001F,01B5,FD67,FD0C,FEC0,931B,000A,041E,0A91,0BFF,1349,2F02,2CB6,08C4,0082,0021,0005
0020,01B5,FD63,FD0C,FEBE,931D,0009,0433,0B05,0BD2,138D,2E67,2C9A,08C2,0092,0031,0000
0021,01B6,FD67,FD09,FEC0,9325,000A,0408,0ADF,0BBB,130D,2DF4,2DC7,08F1,0089,003D,0004
0022,01B4,FD67,FD09,FEC0,9318,000A,0400,0A89,0B68,1404,2EA4,2D04,08CB,007E,0030,0002
0023,01B5,FD68,FD08,FEBF,9310,000A,042D,0B24,0BE1,1316,2E0B,2D35,08C4,00A0,0021,0003
0024,01B4,FD67,FD0C,FEBE,933B,000A,0451,0B28,0C26,133D,2E85,2C93,087E,008D,0039,0003
0025,01B4,FD68,FD0C,FEC0,931D,000A,0437,0A91,0C13,138E,2E59,2CDF,089F,00A2,0036,0005
0026,01B3,FD67,FD0B,FEBF,9319,0009,040F,0ABC,0C31,13D7,2EA9,2C20,08C9,007E,0036,0000
0027,01B4,FD66,FD0B,FEC3,9301,000A,041D,0AC6,0BC5,1389,2E69,2D0D,087D,00A5,0035,0003
0028,01B3,FD67,FD07,FEC0,9323,000A,0435,0AD2,0BFD,135B,2E66,2CDC,08B9,0092,0032,0005
0029,01B4,FD67,FD0E,FEBE,9342,000A,0449,0AAF,0C23,1368,2D92,2D43,0927,0091,002F,0003
