Report: 2016-07-19_AA0006_r-016-03.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 016-03
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/03,08:33:30
Report date/time: 2016/08/03,16:33:33
Secs per rec: 0168
# of recs: 0050
Battery level: 02CD
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01B0,FD67,FD07,FEC4,9320,000A,0332,08D2,0A6A,1125,2A0F,2EC7,0EC9,0343,009F,000C
0001,01B1,FD67,FD0C,FEC0,9312,000A,03C9,0A12,0B4F,1309,2DC1,2ED8,0972,0093,003B,0006
0002,01B1,FD63,FD0B,FEC0,92F6,000A,03B2,09D1,0B66,140C,2D8E,2E4B,0958,009A,0034,0002
0003,01B0,FD68,FD0C,FEBE,92F0,000A,03D8,0A2D,0BC3,13AA,2DD6,2DAA,092F,0098,0033,0004
0004,01B0,FD64,FD07,FEC1,92F3,000A,03AA,0A11,0BAE,1365,2DCD,2E3A,0968,008C,0025,0005
0005,01B1,FD67,FD09,FEC1,92F3,000A,03D9,09E0,0B71,138B,2DFE,2E58,090C,00A0,0038,0004
0006,01B0,FD67,FD0C,FEC0,92F6,000A,038D,0A03,0C02,13E1,2D86,2DFF,0940,0089,0033,0002
0007,01AF,FD6C,FD0C,FEBF,92F9,000A,03B8,09F4,0B92,13DE,2DF2,2E0F,0917,008E,0034,0003
0008,01AF,FD66,FD0E,FEBF,92EF,000A,03C1,0A04,0BCD,13B7,2D7C,2DBC,099A,009C,0036,0002
0009,01B0,FD67,FD0B,FEBE,9304,000A,03DA,0A3B,0B9F,138F,2D8D,2DDD,0980,0097,003E,0002
000A,01AF,FD67,FD0C,FEC1,92EF,000A,03DC,0A79,0B3D,13D6,2CF8,2EAA,091F,0082,003F,0005
000B,01B0,FD67,FD0C,FEBF,92CA,000A,03A1,0A12,0BC5,133F,2CF8,2EE8,0943,00B0,003D,0003
000C,01AF,FD63,FD0C,FEBF,92F4,000A,03E5,0A50,0BE8,137C,2CD0,2E8A,094B,0080,002F,0007
000D,01AF,FD69,FD0C,FEBE,92E0,000A,03BF,0A21,0B91,13D3,2CE4,2E30,09BD,0098,0032,0001
