Report: 2016-07-19_AA0006_r-017-01.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 017-01
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/03,16:33:33
Report date/time: 2016/08/04,00:33:37
Secs per rec: 0168
# of recs: 0050
Battery level: 02CC
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01B1,FD68,FD0B,FEC0,9303,000A,0333,08FD,0A0D,120D,29D8,2F24,0E45,02AF,00BD,000C
0001,01B0,FD68,FD09,FEC0,9302,000A,0367,09B7,0BC6,1415,2CB6,2EAA,09E3,0087,003C,0003
0002,01B0,FD67,FD09,FEC0,931C,000A,03B6,0A70,0C0A,136F,2CE7,2E01,09DD,0077,0038,0009
0003,01B0,FD67,FD08,FEC0,9309,000A,0393,0A1B,0BF9,137C,2D58,2E17,09B7,0084,0038,0004
0004,01B1,FD67,FD0E,FEC0,9308,000A,039B,09EA,0B95,1460,2D7B,2DE6,096A,0079,0042,0008
0005,01B1,FD67,FD09,FEC0,9324,000A,0369,0A3F,0B65,1404,2D4D,2E79,0988,008E,0035,0002
0006,01B0,FD67,FD0C,FEBF,932F,000A,03C4,0A65,0B48,1319,2D89,2E3E,0A09,0095,003C,0004
0007,01B1,FD67,FD0C,FEBF,933F,000A,03B7,0A1F,0C7A,140A,2CC0,2DE7,0960,008F,0048,0007
0008,01B1,FD67,FD09,FEBF,931F,000A,03C8,0A12,0B59,13C9,2D09,2E6B,09ED,0084,003A,0004
0009,01B3,FD67,FD0B,FEC1,92F5,000A,03BE,09F3,0BD2,13CB,2CF4,2E41,09B3,0086,0036,0003
000A,01B3,FD64,FD0C,FEC3,9308,000A,03AB,0A16,0B98,13BB,2D96,2DC7,09CB,008A,003E,0004
000B,01B3,FD67,FD09,FEC6,9302,000A,0379,09C4,0B78,13B0,2D75,2ED9,0982,008A,003E,0005
000C,01B3,FD67,FD0E,FEC0,932D,000A,03D0,0994,0BCC,1454,2CC7,2E57,09BA,008C,0043,0002
000D,01B2,FD67,FD0C,FEC0,9308,000A,03AD,09FB,0B8F,1398,2CB8,2F1F,09A4,007C,003A,0008
000E,01B3,FD67,FD0E,FEC0,9312,000A,037F,09BE,0B8D,13E7,2E16,2E49,0938,0086,003F,0005
000F,01B3,FD67,FD09,FEC6,931D,000A,038D,0A33,0B47,13C1,2D55,2EC5,0966,009A,0038,0003
0010,01B3,FD64,FD09,FEC3,9338,000A,03AF,0A09,0B54,13AF,2D8B,2E90,099E,007F,0040,0005
0011,01B3,FD68,FD09,FEC1,933E,000A,0385,0A15,0BE4,1436,2D23,2E26,097B,0083,0039,000A
0012,01B3,FD67,FD0C,FEC6,92FE,000A,035D,09F1,0B81,13FB,2D1D,2EDE,0974,0088,003B,0002
0013,01B4,FD67,FD09,FEC3,9343,000A,03C6,0A21,0BEB,13B8,2D13,2E5A,097B,0094,0039,0004
0014,01B4,FD6C,FD0C,FEC0,9334,000A,03D6,0A15,0BBE,13EF,2C9D,2EC0,097A,008E,0035,0002
0015,01B4,FD69,FD0C,FEC0,9348,000A,03D1,0A52,0B73,12A2,2D63,2F44,099B,0080,004B,0003
0016,01B5,FD69,FD0E,FEBC,930C,000A,039E,09E3,0C2D,1360,2DD8,2E12,0945,0083,0044,0008
0017,01B4,FD67,FD08,FEC0,9314,000A,03B8,0A1D,0BD3,13DB,2D9B,2D8D,09B4,0084,002F,0002
0018,01B5,FD67,FD0C,FEC0,9339,000A,03C9,0A27,0BD8,137A,2C19,2F30,09DD,0092,003C,0003
0019,01B4,FD63,FD0E,FEC0,9322,000A,03A4,0A2E,0C5F,13F0,2C47,2E3D,09AA,008F,0040,0004
001A,01B6,FD67,FD08,FEC3,9322,000A,03CC,0A19,0C16,13A2,2D25,2DFE,09A5,0080,0039,0004
001B,01B6,FD66,FD0F,FEC0,9325,000A,0396,0AAA,0C03,13D5,2C80,2E61,0977,0090,0021,0004
001C,01B5,FD67,FD09,FEC3,931C,000A,039A,0A0C,0BD8,135E,2DDC,2E2C,0978,008C,0031,0003
001D,01B6,FD66,FD0C,FEBF,9330,000A,03FA,0A97,0BE9,1326,2D38,2E67,0933,0089,0030,0005
001E,01B8,FD64,FD09,FEC1,933C,000A,03C5,0A54,0BEA,141F,2C64,2E79,0973,0084,0041,0005
001F,01B6,FD66,FD0C,FEC0,9322,000A,03BF,0A7E,0B6F,1413,2CFD,2E54,0940,0096,003A,0002
0020,01B6,FD66,FD0C,FEC0,9319,000A,03BA,0AAE,0C02,13D1,2D6E,2DBF,08E2,008E,003C,0005
0021,01B6,FD67,FD09,FEBF,934D,000A,040E,0AAC,0C18,140A,2CAF,2DE8,0918,007E,003E,0006
0022,01B8,FD67,FD08,FEBF,934F,000A,03DD,0AD5,0BB7,13B8,2CA6,2E9C,0928,0093,002F,0002
0023,01B6,FD67,FD08,FEC7,934E,000A,03DB,0A4B,0C5A,1387,2CE9,2E06,0985,009B,0034,0004
0024,01B7,FD63,FD0D,FEBE,9359,000A,0408,0A6A,0BF2,1352,2D52,2E2A,0963,008F,0034,0001
0025,01B8,FD66,FD08,FEC0,934A,000A,03B0,0AAF,0C11,136A,2D54,2DF8,093B,0098,004A,0007
0026,01B7,FD69,FD0B,FEC0,933F,000A,0413,0AAF,0BF4,13E4,2C46,2E3A,0963,0088,0034,0006
0027,01B8,FD64,FD0E,FEC1,934E,000A,03DE,0A9C,0C04,1321,2D68,2E30,0939,00A5,0035,0004
0028,01B8,FD67,FD0B,FEC1,9343,000A,03EF,0A3C,0BEE,1392,2E0F,2D52,0974,008B,0034,0004
0029,01B9,FD67,FD09,FEC0,937D,000A,040F,0AB0,0BD1,1385,2DB0,2DAB,0950,007D,003C,0004
002A,01B8,FD67,FD0C,FEC0,9336,000A,0402,0AB0,0C27,13AF,2D47,2DE3,08E3,0073,0029,0005
002B,01B9,FD6B,FD08,FEBF,9342,000A,0452,0AF3,0BD4,139C,2D44,2D78,090B,008F,0034,0003
002C,01B9,FD67,FD0A,FEC0,933C,000A,0454,0B47,0C10,1343,2C68,2E07,091E,0081,003F,0001
002D,01B9,FD67,FD0A,FEC0,936E,000A,0452,0B29,0C21,12C2,2CFF,2EC3,0895,0089,002C,0004
002E,01B9,FD67,FD0A,FEC0,9375,000A,0416,0B27,0C92,1345,2CB6,2DBF,0927,0086,0036,0009
002F,01B9,FD67,FD09,FEC0,9362,000A,0424,0B11,0C0D,13A4,2CE8,2DAE,0927,0086,0034,0005
0030,01B9,FD67,FD0B,FEC0,9343,000A,0435,0AB5,0C8F,1336,2C59,2E8F,08D6,0095,003C,0005
0031,01B9,FD66,FD0B,FEC0,934C,000A,03FB,0A74,0BFC,13AA,2CFA,2E50,092B,0084,0036,0008
0032,01B9,FD67,FD08,FEC0,934D,000A,042A,0AA9,0C2D,13A8,2CBF,2E02,0932,0088,0023,0007
0033,01B9,FD63,FD0C,FEBF,9352,000A,041A,0A8C,0C0A,136D,2D6A,2DD3,0936,008F,002E,0005
0034,01B9,FD67,FD09,FEC0,935D,000A,0434,0A99,0B74,12A8,2CF4,2F40,097A,0084,003B,0007
0035,01B9,FD66,FD0C,FEC0,9375,000A,0414,0AF4,0BDF,12C8,2D87,2E17,094C,0099,003D,0006
0036,01B9,FD67,FD0C,FEC0,9376,000A,03E5,0AE7,0BF8,1344,2D04,2E80,091D,0098,002F,0006
0037,01B9,FD66,FD0B,FEC0,933E,000A,03DF,0A4C,0BF4,12C8,2D73,2EF6,0928,0090,002F,0007
0038,01BA,FD67,FD0C,FEC3,9355,000A,03FD,0A78,0BE1,12C4,2CD8,2F2A,0985,008D,0025,0002
0039,01B9,FD67,FD0C,FEBC,935A,000A,03D7,0AB5,0B88,1320,2C43,2F98,0996,0081,0032,0002
003A,01BB,FD64,FD0C,FEBF,9386,000A,03F4,0AFC,0BA8,1379,2D88,2D72,09BE,0090,002B,0002
003B,01B9,FD68,FD09,FEC1,9377,000A,0406,0ABF,0C34,12EB,2CE5,2E9B,0967,007C,002E,0002
