Report: 2016-07-19_AA0006_r-018-02.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 018-02
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/05,00:33:46
Report date/time: 2016/08/05,08:33:51
Secs per rec: 0168
# of recs: 0050
Battery level: 02CA
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01C1,FD67,FD0C,FEC3,93DB,000A,032D,094C,0AE2,10AB,29CA,2F4B,0EAA,0353,00B6,000D
0001,01C1,FD67,FD09,FEC3,93C3,000A,03F2,0A18,0C1F,12E4,2CEF,2EE6,0A3F,007D,0024,0001
0002,01C2,FD67,FD0B,FEC0,93AE,000A,03C5,0A83,0C6C,1272,2C7A,2FA0,09B6,007E,0036,0004
0003,01C3,FD67,FD08,FEC3,93C4,000A,03A1,0AA8,0C6D,12FE,2C47,2F8D,096F,0093,0033,0007
0004,01C2,FD64,FD09,FEC0,93D9,000A,03D7,0A6A,0C37,1294,2CEF,2F14,0A1A,007F,002E,0003
0005,01C1,FD68,FD0C,FEC3,93A9,000A,0403,0B25,0D56,13E3,2C0A,2D0B,0954,0096,0045,0004
0006,01C2,FD67,FD0C,FEC0,93B1,000A,03F8,0AF1,0D27,137E,2C4C,2D77,0998,0088,003C,0004
0007,01C1,FD66,FD0C,FEC3,93BD,000A,03C1,0A9E,0C6B,1398,2C63,2EB8,09A6,006D,002A,0003
0008,01C1,FD67,FD0B,FEC0,93CF,000A,03D7,0A7B,0CA5,12E9,2D25,2E71,09A5,0089,0027,0004
0009,01C1,FD67,FD08,FEC0,93B4,000A,03F7,0AD8,0C87,12D8,2CDC,2E48,09A8,0074,003F,0007
000A,01C1,FD67,FD09,FEBE,93B9,000A,03E9,0A6D,0C88,1326,2C84,2EF7,097E,0097,0024,0001
000B,01C1,FD67,FD0C,FEC1,93B8,000A,03D2,0AEA,0C8C,1315,2C2E,2EDA,0981,00A4,002A,0004
000C,01C1,FD66,FD09,FEC3,93B2,000A,03BA,0AA5,0C1B,1337,2C99,2EBF,09DF,0094,0034,0002
000D,01C2,FD67,FD0C,FEC1,93AC,000A,03F2,0AFB,0CA6,125F,2C77,2EA2,09D7,0093,0032,0005
000E,01C1,FD67,FD0C,FEC0,93A9,000A,03FC,0ACA,0D05,12D5,2C2E,2E6F,09A2,0095,0033,0002
000F,01C1,FD64,FD0B,FEC3,93C8,000A,03D9,0ABB,0C77,137C,2C72,2E94,096E,0099,002E,0006
0010,01C2,FD67,FD09,FEC3,93A0,0009,03E7,0ACD,0CCA,133F,2C69,2EB7,0908,0089,0032,0000
0011,01C1,FD67,FD08,FEBE,93A5,000A,03F3,0ADE,0CD3,1328,2BAF,2EDA,0992,0084,0036,0004
0012,01C0,FD66,FD09,FEC3,93BD,0009,0413,0B3F,0CBC,12D6,2CCF,2D93,09C4,008B,0028,0000
0013,01C1,FD67,FD09,FEC6,93BB,000A,0411,0B2E,0C37,1310,2C63,2ECF,0947,0082,0035,0005
0014,01C1,FD63,FD0C,FEC0,9399,000A,0434,0AE7,0CA9,12E2,2C69,2E82,0949,0086,0038,0001
0015,01C1,FD6C,FD09,FEC0,93AB,000A,041B,0A97,0CA3,12F7,2BE0,2EE0,09C7,0099,003D,0002
