Report: 2016-07-19_AA0006_r-018-03.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 018-03
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/05,08:33:51
Report date/time: 2016/08/05,16:33:54
Secs per rec: 0168
# of recs: 0050
Battery level: 02CB
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01BD,FD66,FD0C,FEC4,9375,000A,0326,0951,0B99,117E,2934,2E9C,0E7C,02F8,009A,0009
0001,01BB,FD67,FD08,FEC0,9376,000A,03DA,0A88,0D75,138D,2C1B,2DBA,098C,007B,002F,0007
0002,01BC,FD67,FD08,FEC0,936B,000A,03AE,0B62,0CFC,137A,2C2A,2DCE,0947,0077,0029,0006
0003,01BB,FD69,FD0C,FEC3,939A,000A,038A,0A1D,0CE5,12A6,2D12,2EC0,09C6,0098,0033,0005
0004,01BB,FD68,FD0B,FEC0,93A7,000A,038A,0A20,0C7A,1318,2D47,2E6C,0A0C,0075,0032,0005
0005,01BB,FD68,FD09,FEC2,9395,000A,03C0,0A42,0CA5,1357,2C45,2E40,0A2E,0097,0047,0006
0006,01BB,FD67,FD0C,FEC0,939B,000A,03A9,0A0F,0CD6,12DC,2D2A,2E83,09D8,0079,002F,0004
0007,01BB,FD66,FD0E,FEC0,9356,000A,03B7,0A8D,0D11,131A,2CA4,2DAF,09E6,007C,002E,0004
0008,01BB,FD67,FD0C,FEC0,9390,000A,03E6,0A07,0C7E,1345,2D2F,2E2A,09E3,007B,0027,0002
0009,01BB,FD66,FD0B,FEC0,9351,000A,03D9,0A65,0D2C,134F,2C46,2DE5,09DA,006D,0025,0001
000A,01BB,FD67,FD0B,FEC0,936E,000A,03CF,0A9E,0CD5,13C1,2C60,2DF7,0956,007D,003A,0007
000B,01BB,FD67,FD09,FEBF,9385,000A,039B,0A98,0C72,13BA,2CE5,2DFD,096A,0099,003C,0005
000C,01B9,FD67,FD0A,FEC1,93A7,000A,0385,0A81,0CDC,135D,2C68,2E70,09B6,0090,0043,0007
000D,01BA,FD67,FD0B,FEC0,9397,000A,0385,0A7B,0D3E,1338,2CD2,2D8D,0A03,008A,0033,0002
