Report: 2016-07-19_AA0006_r-019-01.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 019-01
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/05,16:33:54
Report date/time: 2016/08/06,00:33:56
Secs per rec: 0168
# of recs: 0050
Battery level: 02C9
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01BB,FD64,FD0E,FEC0,9369,000A,0342,0977,0C3F,12A3,29B4,2DEF,0DAD,0215,0060,0009
0001,01BB,FD67,FD08,FEC0,938A,000A,03A0,0A99,0D9A,148E,2CA8,2C73,0965,0072,0035,0002
0002,01BB,FD67,FD08,FEC3,9384,000A,0398,0AC3,0D83,1419,2CEF,2CC0,092B,007D,0033,0003
0003,01BB,FD68,FD07,FEBE,93A9,000A,03A7,0ADE,0D27,13EA,2C98,2D0D,099E,0086,0041,0009
0004,01BC,FD68,FD09,FEC3,937E,000A,03AD,0B28,0E0F,1409,2C2E,2C73,0944,007F,002A,0003
0005,01BB,FD66,FD0C,FEC0,938C,000A,03C4,0AFA,0DF8,14B9,2C34,2C09,0902,0098,003F,0007
0006,01BB,FD67,FD0B,FEC0,9378,000A,03C6,0B0F,0E23,14D6,2C0A,2B9D,090F,009E,004D,0009
0007,01BC,FD63,FD09,FEC0,9372,000A,03E1,0B4F,0DB7,13BA,2BF5,2CD5,0946,008A,0033,0004
0008,01BC,FD67,FD08,FEC3,93A4,000A,03B7,0AE8,0DCB,145A,2D14,2C19,08EC,0096,002B,0006
0009,01BC,FD67,FD09,FEC1,936E,000A,03AA,0B6A,0E3A,14C8,2C6B,2B5F,08CF,0091,002C,0002
000A,01BC,FD67,FD0E,FEC0,939F,000A,03D5,0B31,0E5F,140B,2CD4,2BC7,08F2,0073,0027,0008
000B,01BC,FD64,FD09,FEC3,9385,000A,03E8,0B57,0E36,145B,2C53,2BE7,08F8,0065,001C,0002
000C,01BD,FD67,FD0C,FEC0,938D,000A,03BC,0B70,0DBB,1427,2C41,2C6D,090E,0082,0039,0008
000D,01BD,FD66,FD09,FEC1,9381,000A,03E5,0B2F,0DC8,1458,2C57,2C13,0936,007D,0029,0007
000E,01BD,FD67,FD08,FEC0,9394,000A,0393,0B6A,0DFE,1484,2B94,2CED,08DE,007F,0033,0004
000F,01BD,FD64,FD09,FEC3,938D,000A,0405,0B45,0E0A,140D,2BE7,2C7C,0904,008A,0036,0005
0010,01BE,FD68,FD09,FEC0,9391,000A,03C7,0B83,0E15,1446,2BE4,2CC7,0889,007A,003B,0003
0011,01BE,FD67,FD0C,FEC0,9392,000A,0400,0B82,0DF6,13FD,2C62,2C1E,08F1,0081,0025,0006
0012,01BE,FD67,FD0B,FEC0,936A,000A,0421,0BC1,0DF3,1482,2B87,2BEE,08F5,0075,0030,0004
0013,01BE,FD67,FD0C,FEBF,93A9,000A,03FF,0BF6,0DF2,1446,2B46,2C70,08F7,008F,003E,0002
0014,01BE,FD67,FD0B,FEC1,9385,000A,0422,0B6E,0E19,1463,2B63,2C3A,0916,0089,0037,0006
0015,01BE,FD67,FD0C,FEC0,93A5,000A,040D,0B47,0E07,1461,2C29,2BEA,0927,0072,0038,0005
0016,01BE,FD67,FD09,FEC0,938D,000A,0409,0B49,0E10,1481,2BC6,2BEF,0939,0087,0031,0004
0017,01BE,FD67,FD07,FEC2,9391,000A,03C5,0B2D,0DC8,143B,2C1E,2C78,093C,009F,0027,0004
0018,01BE,FD67,FD0C,FEBE,9379,000A,03F9,0B12,0DDF,143C,2C50,2C65,08D2,0084,0041,0007
0019,01BE,FD67,FD0C,FEC0,93AB,000A,03E4,0B24,0DB1,1399,2CDB,2D1E,08CF,006D,0021,0003
001A,01BF,FD67,FD0C,FEC0,93B4,000A,03F1,0B65,0DDA,13CE,2C6D,2C7A,091B,007A,0037,0003
001B,01BE,FD67,FD0B,FEC0,938F,000A,03F0,0B4C,0E1D,143A,2BF0,2C36,091D,0082,0034,0003
001C,01C0,FD67,FD08,FEC0,938E,000A,03E4,0B77,0E19,1444,2B4E,2CE4,08E3,0085,0035,0007
001D,01BE,FD67,FD0C,FEC1,93A6,000A,0408,0B8B,0E4A,14AC,2BAC,2BE0,08CC,007A,003E,000D
001E,01BF,FD67,FD0C,FEC0,9394,000A,03D9,0B46,0E00,1432,2C73,2C4D,08CE,0085,002E,0002
001F,01C0,FD67,FD0B,FEBF,93BA,000A,03CF,0B23,0DE3,14BD,2CA0,2BA3,0920,0088,0035,0008
0020,01C0,FD67,FD0C,FEC1,93AE,000A,03F1,0B38,0DED,142F,2CB0,2BF1,091F,007B,0027,0007
0021,01C2,FD67,FD08,FEC3,93B2,000A,0413,0B5F,0E1A,1453,2C38,2BD1,0906,008A,0035,0005
0022,01C1,FD67,FD09,FEC1,93D0,000A,03E2,0B7E,0E3B,13FE,2C9B,2C2D,08C6,006E,0034,0007
0023,01C1,FD67,FD0A,FEC1,93B5,000A,03CA,0B54,0DA3,13B6,2C44,2D08,0937,008A,002F,0002
0024,01C0,FD67,FD0C,FEC1,93B9,000A,03F8,0B28,0DCE,1377,2C1E,2D3F,0931,007F,003F,0008
0025,01C2,FD68,FD0C,FEC4,93B4,000A,03F2,0B4B,0DFB,1420,2C21,2C52,093C,0088,0023,0002
0026,01C0,FD68,FD0E,FEC0,93CC,000A,03D3,0B8B,0DB5,13FD,2BC9,2D1C,0927,0081,002B,0004
0027,01C2,FD69,FD0A,FEC0,93AF,000A,03B9,0B5C,0DC1,13C8,2BA1,2D04,098B,00AA,0030,0007
0028,01C1,FD67,FD07,FEC3,93CF,000A,03F9,0AD1,0D8D,1360,2CD1,2D19,0973,0080,0034,0007
0029,01C2,FD67,FD0C,FEC0,93A5,000A,03F4,0B42,0DF1,1444,2B96,2CDE,0905,0088,0031,0008
002A,01C2,FD67,FD09,FEC3,93E6,000A,03D7,0B49,0D32,13A8,2C67,2D7A,094B,0081,0039,0006
002B,01C3,FD64,FD07,FEC1,93DE,000A,03D6,0B30,0DBA,13E0,2BF3,2D73,091D,008A,002F,0002
002C,01C3,FD67,FD08,FEC0,93CD,000A,03A6,0B14,0DCD,1421,2CE1,2C22,0952,008C,0042,0002
002D,01C3,FD65,FD0C,FEC0,93B6,000A,03E4,0B69,0DC0,1379,2BA4,2D5F,0973,0087,002A,0009
002E,01C2,FD67,FD0B,FEC3,93BE,000A,03E0,0AE0,0D1E,1303,2CF8,2D87,099F,007F,003E,0002
002F,01C3,FD67,FD07,FEC0,93BB,000A,03BA,0AD0,0D3B,136E,2C19,2E2D,098F,0085,002B,0003
0030,01C4,FD68,FD08,FEC0,93C8,000A,03DA,0AE0,0D50,138D,2D17,2D5C,0909,0082,0030,0003
0031,01C4,FD67,FD0B,FEBF,93B4,000A,03D0,0B74,0D6F,13C2,2BC2,2D41,0977,0090,002F,0006
0032,01C3,FD69,FD0F,FEC0,93C5,000A,03D3,0B6C,0D4E,1366,2C22,2D22,09C4,0088,003D,0005
0033,01C4,FD66,FD09,FEC7,93BB,000A,03CC,0B49,0DCE,1345,2C06,2D85,0967,0078,0026,0003
0034,01C4,FD67,FD07,FEC1,93E6,000A,03B9,0AAC,0D40,13E0,2D1A,2D0C,096D,0097,0034,0003
0035,01C4,FD67,FD0E,FEC3,93E6,000A,03C2,0AF4,0DA6,13CE,2CA2,2D2B,0947,0080,0026,0002
0036,01C4,FD67,FD08,FEC3,93EC,000A,03AF,0A4E,0D30,134D,2DBE,2DA0,096D,0084,001D,0006
0037,01C4,FD6B,FD0C,FEC0,93E2,000A,03E6,0B57,0D51,135A,2C67,2D54,0985,007E,0036,0006
0038,01C4,FD6F,FD0B,FEC0,93AD,0009,03E9,0AEE,0D17,1401,2C0B,2DA4,094B,008F,0035,0000
0039,01C4,FD68,FD09,FEC1,93BE,000A,03CD,0B05,0DB4,13F5,2C8F,2CCD,0912,009A,0034,0007
003A,01C4,FD67,FD0F,FEC0,93D1,000A,03DC,0AFD,0D8B,132A,2CAA,2D64,096B,009F,002A,0001
003B,01C4,FD67,FD0B,FEC0,93C3,000A,03E1,0B8A,0E19,13F6,2BAA,2CCF,0923,0071,0039,0003
003C,01C5,FD67,FD0A,FEC0,93C4,000A,03DF,0BCA,0D60,13F9,2C0E,2CE1,091B,0078,003D,0003
003D,01C4,FD67,FD08,FEC3,93D9,000A,03B8,0B6E,0DBD,13B9,2C80,2C75,0986,0086,0037,0005
003E,01C5,FD67,FD09,FEC1,93E3,000A,03C3,0AB5,0D1A,1413,2C80,2D2F,09BE,008E,003C,0007
003F,01C4,FD66,FD08,FEC1,93FA,000A,039A,0AED,0D7C,1392,2CA4,2D33,09CF,0088,0032,0005
0040,01C4,FD67,FD0C,FEC1,93DA,000A,03D9,0AF5,0D41,135D,2D5F,2CF3,095E,007F,003B,0004
0041,01C6,FD67,FD07,FEC0,93D2,000A,03CC,0B1A,0D56,13CA,2CC3,2D1B,093D,006E,003D,0006
0042,01C6,FD68,FD08,FEC2,93C0,000A,03C0,0B13,0D84,13F3,2CE1,2CCD,0911,0085,0030,0002
0043,01C4,FD67,FD0B,FEC3,93C0,000A,03E9,0AFE,0D9C,13D5,2C65,2D00,093B,008C,0035,0007
0044,01C7,FD67,FD07,FEC3,93D9,000B,0B11,0D38,13AF,2D7F,2CAB,0969,0070,0019,0003,0002
0045,01C7,FD67,FD08,FEC1,93EA,000A,03F3,0AF6,0E84,1440,2E26,2AD4,08C4,0066,0015,0004
0046,01C4,FD69,FD08,FEC0,9416,000B,0ADD,0D60,143C,2D46,2CE4,093A,0073,0033,0008,0001
0047,01C6,FD67,FD0C,FEC1,93FC,000A,03B6,0AB5,0CED,135F,2D3B,2D94,09CD,0082,0024,0003
0048,01C6,FD67,FD08,FEC1,93C5,000A,03E0,0B48,0D7A,13E1,2CF0,2C57,0932,008A,003A,0005
0049,01C5,FD66,FD09,FEC1,93F1,000A,03AF,0AA9,0D47,13B8,2D4F,2D58,093D,007C,0036,0004
004A,01C7,FD6B,FD09,FEC3,9402,000A,0381,0A6A,0D46,1358,2E13,2D1F,098F,0081,0030,0007
004B,01C4,FD69,FD08,FEC1,93FA,000A,03B8,0AC6,0D37,1376,2D2C,2D4D,09A4,0073,0037,0008
004C,01C6,FD69,FD09,FEC2,93E3,000A,03C1,0A7A,0D10,139F,2D01,2DAE,09A4,007F,0024,0003
004D,01C6,FD67,FD09,FEC0,93D0,000A,039E,0A9B,0D83,139A,2CF5,2CF7,09E6,0085,0021,0002
004E,01C6,FD67,FD09,FEC3,93DC,000A,03B5,0AFF,0D28,13D2,2C8E,2D7D,095F,007E,0044,0002
004F,01C7,FD69,FD09,FEC0,93DE,000A,03B0,0AA3,0CAD,13FB,2D25,2D5B,098C,0097,0038,0008
TurtleSense 0.2503 -- CC 4.0 BY-SA NerdsWithoutBorders.Net
--end of report--
