Report: 2016-07-19_AA0006_r-021-01.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 021-01
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/07,16:34:14
Report date/time: 2016/08/08,00:34:18
Secs per rec: 0168
# of recs: 0050
Battery level: 02C6
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01BE,FD68,FD09,FEC3,9360,000A,0405,0BAA,0E95,13A9,29A7,292D,0BE8,0232,0079,000C
0001,01BE,FD68,FD0E,FEBE,939D,000A,046D,0D3B,10B6,15D5,2CBA,26EA,0717,0071,003A,0004
0002,01BE,FD67,FD0F,FEBE,9379,000A,049A,0D8E,111F,15E9,2C0F,2646,074F,007D,0023,0005
0003,01BE,FD67,FD0B,FEBE,9387,000A,0453,0D46,10A7,154D,2BE9,27C6,0789,008F,0030,0003
0004,01BE,FD67,FD0B,FEC0,93A3,000A,04A0,0E22,114B,15FE,2B19,26C4,0727,0064,002D,0003
0005,01BE,FD68,FD08,FEC3,93AA,000A,0479,0DC3,1067,1624,2C30,26AD,0751,0080,002F,0006
0006,01BE,FD67,FD09,FEC6,936C,000A,04B5,0DEC,10DB,164A,2B22,2673,071D,00A7,0048,0005
0007,01BE,FD66,FD08,FEC7,936C,0009,0516,0E5C,11EA,1661,2AA3,2556,0706,0082,002E,0000
0008,01BE,FD67,FD07,FEC3,93B7,000A,04A4,0EC2,1139,1664,2B62,25E2,06B3,0086,0034,0003
0009,01BE,FD67,FD08,FEC3,93A3,000A,0562,0EFF,1250,16CB,2AEC,23FC,0698,0076,002B,0006
000A,01BE,FD67,FD08,FEC0,9378,000A,053A,0F6D,12C0,16BF,29BE,2477,068A,0073,001E,0002
000B,01BE,FD67,FD0C,FEC2,93A5,000A,04F5,0E98,1117,16F1,2AD9,2579,070D,0080,002E,0003
000C,01BE,FD69,FD08,FEC0,93B0,000A,0509,0E56,123E,16CA,2A92,252A,06C9,008B,002F,000A
000D,01BE,FD67,FD0B,FEBE,93BC,000A,0542,0E83,1168,167C,2A65,25DE,0713,0089,0033,0001
000E,01BE,FD68,FD08,FEBF,9389,000A,0527,0E9A,118D,1659,2AB5,25A6,06E0,006E,0037,0002
000F,01BE,FD67,FD08,FEBF,9370,000A,0531,0EB9,120A,171C,294F,259A,06B9,0086,0034,0004
0010,01BE,FD6C,FD09,FEC3,93A5,000A,0510,0E96,11AA,1687,2A9C,25B0,06D2,0079,0031,0006
0011,01BE,FD67,FD08,FEBE,93A4,000A,0537,0E59,11A2,1703,2A8D,2541,06E9,007D,0038,0003
0012,01BE,FD67,FD08,FEC0,93B2,000A,0511,0EE7,118E,1629,2AFB,2559,06E9,0088,0036,0008
0013,01BE,FD68,FD07,FEC1,9391,000A,0508,0DF7,118D,1646,2AB2,2632,0741,0071,0025,0004
0014,01BE,FD67,FD0C,FEBE,9390,000A,04F2,0DFA,1162,1673,2AB4,25ED,0755,009B,0039,0005
0015,01BE,FD67,FD09,FEC0,939F,000A,0502,0EB7,10DF,15F9,2AE1,2647,073C,007B,002A,0005
0016,01BE,FD69,FD0C,FEBE,936D,000A,04AA,0D6E,115F,162A,2B2A,26B3,0745,006F,0034,0007
0017,01BE,FD67,FD09,FEC0,939A,000A,04E8,0DD2,1138,1608,2A80,2732,072D,0086,0039,0002
0018,01BE,FD67,FD0B,FEC0,93A3,000A,04E7,0D98,10C5,1635,2AEB,270A,0789,0076,0031,0005
0019,01BE,FD66,FD0C,FEC3,93A9,000A,0523,0E61,1181,1593,2A31,26E5,0742,0080,0036,0003
001A,01BE,FD68,FD09,FEC0,93A4,000A,04B0,0E34,1113,15F8,2ADD,26C5,0766,0084,0027,0002
001B,01BE,FD67,FD0B,FEC3,9391,000A,04DE,0E06,1195,16A6,2A72,2676,06E1,0082,0024,0003
001C,01BE,FD67,FD09,FEBF,9394,000A,04F5,0E43,11D0,167A,2B1D,2567,06C6,008B,0038,0005
001D,01C0,FD67,FD0C,FEC1,93C2,000A,04FA,0DCD,1124,1667,2B00,265D,075F,0073,003D,0004
001E,01BF,FD66,FD0C,FEC1,93CA,000A,04EC,0E10,1103,1696,2B8E,25F9,06FB,0078,0036,0005
001F,01BE,FD67,FD08,FEC0,93A2,000A,04DF,0E90,1133,16B1,2A3B,265C,0717,006F,002C,0006
0020,01C0,FD67,FD08,FEC0,93BE,000A,0495,0DDD,1191,160A,2BAD,266F,06DC,007B,0036,0008
0021,01BE,FD68,FD0B,FEC0,93BB,000A,04D6,0E64,11DC,15F0,2AD9,25F6,072E,007F,0038,0001
0022,01BF,FD67,FD0B,FEC0,93BE,000A,04E7,0E02,1144,15F9,2BB4,260C,0720,0079,003B,0004
0023,01BF,FD67,FD08,FEC0,93C0,000A,0528,0EBC,1196,1627,2A7C,25BF,073D,007E,0024,0005
0024,01BF,FD66,FD08,FEBF,93AA,000A,04E3,0E9F,114C,1652,2A4C,2624,0759,008C,002F,0006
0025,01C1,FD6C,FD09,FEC0,935C,000A,0514,0EAF,11A3,1750,29DD,254D,06FC,0069,0012,0005
0026,01C0,FD66,FD07,FEC1,9370,000A,0552,0F7B,121A,1629,287E,261C,06FB,0092,0037,0002
0027,01C0,FD68,FD08,FEC0,9382,000A,0507,0ED9,11B8,16C5,29D5,2584,0706,0093,0031,0002
0028,01C0,FD67,FD0B,FEC3,938E,000A,0541,0ED2,11E3,16A9,2976,2581,072B,008D,003D,0003
0029,01BF,FD67,FD07,FEC1,9390,000A,051F,0F36,1220,16DB,28E0,255D,072D,009E,0033,0005
002A,01C0,FD67,FD07,FEC6,93A8,000A,0572,0F61,1252,16B2,297A,24F0,06AE,0081,0033,0005
002B,01C0,FD67,FD0B,FEC0,93A7,000A,054B,0F49,121D,1681,298B,259E,069E,007D,002E,0003
002C,01C1,FD67,FD0C,FEC1,93C0,000A,051B,0EF8,11F0,16CC,2A91,24E3,06BF,008A,0031,0003
002D,01C0,FD67,FD0C,FEC0,93BA,000A,052F,0F0A,115E,1629,2A30,25DF,0736,0082,0030,0003
002E,01BF,FD65,FD0B,FEC0,938B,000A,0548,0EF5,11BD,163A,2997,25CC,073F,007A,0032,0009
002F,01C0,FD67,FD0C,FEC0,9391,000A,0553,0F62,127A,1726,284A,2525,071C,0086,0029,0002
0030,01C0,FD67,FD0B,FEC3,936A,000A,056B,0F7F,11D5,169E,2917,24FB,0705,00B1,0041,0004
0031,01C0,FD67,FD09,FEBD,9386,000A,057C,0F8B,11D0,1712,28C3,258A,06B2,0073,0029,0002
0032,01C0,FD67,FD07,FEBE,93A0,000A,055B,0F7B,1258,168A,2976,24F8,06BC,008C,002C,0006
0033,01C1,FD67,FD08,FEBF,938A,000A,0538,0F98,1201,16D1,2930,24F4,06FE,0092,0032,0002
0034,01C1,FD69,FD09,FEC3,9399,000A,0570,0F8A,121D,1750,291D,24AC,06AD,0085,0031,0006
0035,01C1,FD67,FD0B,FEC0,9385,000A,055A,0F68,1257,167E,291C,2561,06B7,0086,002F,0005
0036,01C1,FD67,FD0C,FEC0,93BE,000A,0555,0F4A,11C2,16B9,2972,257A,0711,0075,0028,000A
