Report: 2016-07-19_AA0006_r-021-02.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 021-02
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/08,00:34:18
Report date/time: 2016/08/08,08:34:23
Secs per rec: 0168
# of recs: 0050
Battery level: 02C5
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01C1,FD67,FD09,FEC1,93C4,000A,0465,0CF0,0F9B,1451,28F1,2688,0BD9,02AE,0076,000D
0001,01C0,FD68,FD0C,FEC0,93BC,000A,054E,0F07,11B9,164B,2B1E,24B5,06D8,007F,0034,0005
0002,01C0,FD6C,FD08,FEC0,93A6,000A,0573,0F47,11C5,1682,2A23,252B,06A3,0087,0029,0004
0003,01C0,FD67,FD08,FEC0,939F,000A,055C,0F87,125F,1718,29D2,23FB,06C2,0085,002D,0004
0004,01BE,FD67,FD09,FEC3,939F,000A,0547,0F5E,11FF,1768,29FF,245E,0686,0079,0033,0004
0005,01C0,FD68,FD0C,FEC0,93B3,000A,059F,0F58,1244,16AB,29D9,247F,06C0,007C,0034,0005
0006,01BE,FD68,FD08,FEC1,93B9,000A,055B,0F0D,11F8,169D,2A6D,24EB,06C6,0070,002B,0003
0007,01C0,FD67,FD0C,FEC0,93A8,000A,058E,0F98,11DB,1596,2AA5,24C2,06FA,0071,003B,0004
0008,01C0,FD67,FD08,FEBF,9391,000A,0536,0F46,1210,16EB,29CE,24F5,06C7,0063,0029,0004
0009,01C0,FD67,FD0B,FEBC,9399,000A,053A,0F47,1275,16FF,29AF,24AA,06B3,0072,0023,0003
000A,01C0,FD67,FD08,FEC0,938D,000A,054E,0EFE,11FD,16A2,2A00,24F9,06F4,0085,002A,0006
000B,01C0,FD67,FD08,FEC3,938C,000A,0537,0F20,11F4,160D,2A01,2587,06C7,0097,0049,0005
000C,01C0,FD68,FD09,FEC1,9385,000A,0580,0F02,1226,16B9,2A3E,24A1,06BF,0056,002C,0004
000D,01C0,FD66,FD09,FEC1,9394,000A,0566,0F2A,124E,16DA,29B6,24D7,06A5,0073,0034,0003
000E,01BF,FD67,FD09,FEC0,938F,000A,054A,0F6A,11DB,16C7,2920,255F,0707,0089,0026,0004
000F,01BF,FD67,FD08,FEBF,93A7,000A,0527,0F1B,1230,16A6,2AC6,2470,06CA,0063,0027,0005
0010,01BF,FD68,FD08,FEC0,9390,000A,05A3,0F51,1281,16BE,2947,2492,06C9,0090,002A,0001
0011,01BF,FD67,FD08,FEBC,9387,000A,0570,0F5A,12CB,16CA,2947,2482,067B,0092,0048,000A
0012,01C0,FD63,FD09,FEC0,939F,000A,0530,0F34,1232,16C1,29CA,2508,06D4,0078,0029,0001
0013,01BF,FD67,FD09,FEC3,93B8,000A,0547,0F80,11BD,1713,2988,251A,06C2,0085,0033,0005
0014,01BF,FD67,FD09,FEC4,93A0,000A,0571,0FE9,1224,1673,2987,24F3,0691,0074,002A,0006
0015,01C0,FD67,FD0C,FEC0,93AD,000A,0576,0F72,123F,1702,2A1A,2441,065B,0090,003B,0003
0016,01BE,FD68,FD08,FEC1,9382,000A,0577,0F63,1211,171D,29C2,2482,067C,0084,0032,0004
0017,01BF,FD67,FD08,FEC1,939C,000A,0533,0F91,1221,170E,29BE,2479,06CC,0080,0023,0003
