Report: 2016-07-19_AA0006_r-023-01.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 023-01
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/09,16:34:35
Report date/time: 2016/08/10,00:34:39
Secs per rec: 0168
# of recs: 0050
Battery level: 02C4
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01B8,FD67,FD09,FEC0,934E,000A,0444,0BEF,0F73,1454,2A57,26CF,0B62,0262,0062,0008
0001,01B9,FD67,FD0B,FEC3,935C,000A,04EA,0E5B,11CC,166E,2C48,2498,0637,0084,003D,0005
0002,01B9,FD67,FD08,FEC0,934D,000A,055C,0EC6,11FD,1674,2D1B,2374,056A,007B,003A,000C
0003,01B9,FD67,FD07,FEC0,9352,000A,0560,0F2E,11E6,16A7,2B72,23FE,05FE,0087,003E,0004
0004,01B9,FD66,FD09,FEC0,9360,000A,050E,0E05,11BA,15E6,2B8C,25CB,069A,007F,0035,0008
0005,01B9,FD69,FD09,FEC1,9380,000A,04AA,0E54,1166,16CE,2CD6,2449,0664,008A,003A,0007
0006,01BA,FD67,FD08,FEC0,936C,000A,04B6,0DEF,113C,1685,2C69,251C,06B0,0095,0038,0004
0007,01B9,FD67,FD07,FEC0,9361,000A,04FB,0EC4,115A,1671,2C68,2439,0671,008C,0036,0003
0008,01B9,FD68,FD0C,FEC0,937B,000A,0506,0E45,116B,1690,2C8C,247E,065C,0092,0038,0005
0009,01B9,FD68,FD09,FEC0,936A,000A,04DF,0E1D,11AD,1642,2CE2,2469,0664,008D,003D,0006
000A,01BB,FD67,FD0B,FEC0,9394,000A,04EA,0DE6,115D,15DC,2CF7,2553,0682,007C,0040,0003
000B,01BB,FD68,FD0B,FEC2,9379,000A,04BF,0D9A,1151,1667,2D1B,2534,0663,0075,003A,0007
000C,01BC,FD67,FD0A,FEC0,9375,000A,04CE,0DB8,1195,1655,2C7C,2547,063F,0098,0062,0009
000D,01BB,FD68,FD09,FEC1,9384,000A,04F7,0E6D,118D,161E,2BBF,2588,066A,008F,0030,0005
000E,01BB,FD67,FD07,FEC3,936C,000A,04D3,0DE4,1124,164B,2CCE,254C,066A,0084,0037,0007
000F,01BA,FD67,FD08,FEC0,9389,000A,050E,0E1E,1131,164D,2CDA,2489,06BC,008B,002D,0008
0010,01BB,FD68,FD0B,FEBF,939A,000A,04CB,0DB8,10CA,16A0,2D60,2527,0672,0078,0036,0006
0011,01BB,FD66,FD07,FEBE,939C,000A,04ED,0E38,10C4,164B,2D02,24EA,06AF,0086,003E,0009
0012,01BC,FD64,FD09,FEBE,9398,000A,04FD,0E0A,111A,16B3,2D54,2487,061E,008E,0034,0009
0013,01BB,FD67,FD09,FEC0,9396,000A,04EB,0E54,1134,166C,2C12,2528,06C7,0082,002D,0007
0014,01BC,FD64,FD09,FEC0,937E,000A,04E3,0E7F,115B,1681,2C62,24EE,0641,0071,0038,0006
0015,01BC,FD67,FD07,FEC2,9393,000A,04F9,0E77,110C,1669,2C46,252F,067A,0083,0033,0009
0016,01BC,FD67,FD07,FEC0,9375,000A,04CA,0DD9,1161,162D,2C5F,258D,06A2,0077,003B,0004
0017,01BD,FD67,FD0B,FEC0,937D,000A,04E5,0DE2,1134,1619,2C27,2596,06E5,008B,002F,000D
0018,01BC,FD68,FD09,FEC0,937A,000A,04F1,0DD7,1189,1709,2B84,253F,06AD,0071,0038,0007
0019,01BD,FD67,FD0E,FEBE,938F,000A,04CE,0E24,1184,169D,2BD1,253A,06AF,0087,0033,0008
001A,01BE,FD67,FD08,FEC3,9390,000A,0502,0EDF,115F,1657,2C06,2490,06B8,007A,002D,0004
001B,01BD,FD63,FD07,FEC3,9357,000A,0528,0F09,1233,16C4,2B3A,23C2,0680,0077,0037,0005
001C,01BE,FD67,FD07,FEC2,9378,000A,04FD,0E06,1187,1683,2BC5,252A,06C4,0071,0040,0007
001D,01BE,FD68,FD07,FEC0,9387,000A,0519,0E6F,116C,168F,2B12,258D,06B0,0081,002F,0005
001E,01BE,FD67,FD08,FEC1,93A5,000A,04EB,0DD7,1144,171D,2C49,24F3,066D,008D,0045,0007
001F,01BE,FD67,FD0B,FEC0,939D,000A,050A,0E55,1127,1634,2CB2,2514,0669,007F,002F,0006
0020,01BF,FD69,FD0B,FEC0,93BA,000A,04CA,0E08,10ED,1626,2C67,25C3,0706,007F,0022,0004
0021,01BE,FD67,FD0C,FEBE,939D,000A,049A,0E7F,10DA,1656,2C1E,25D0,06C0,006D,0031,0008
0022,01BF,FD67,FD0B,FEC3,93C2,000A,04F5,0D9F,10FF,166B,2C9B,25A7,06CA,008B,0029,0004
0023,01C0,FD67,FD08,FEC7,93C9,000A,0528,0DE5,11B3,1699,2CC7,245F,0699,007C,002C,0009
0024,01C0,FD67,FD08,FEC0,9388,000A,0562,0E8D,119B,16B8,2B27,2525,0647,0087,0029,0003
0025,01BF,FD6C,FD09,FEC0,93DB,000A,0515,0E5D,11F2,169B,2BCD,2490,06D2,0086,0024,0003
0026,01C0,FD67,FD0C,FEC3,93C7,000A,051D,0DF6,11CF,165C,2C43,24E3,06C0,0075,002B,0003
0027,01C0,FD67,FD0C,FEC0,93C9,000A,0505,0E99,11A9,16CC,2BBF,24A4,06AB,0083,0023,0002
0028,01C1,FD67,FD0C,FEC0,93A1,000A,052F,0EFB,1169,167C,2BB0,24CE,0656,008E,002A,0006
0029,01BF,FD6B,FD08,FEC4,9392,000A,050A,0F21,125B,1641,2BA3,2448,0631,0072,0037,0006
002A,01C1,FD67,FD08,FEC0,93AC,000A,0514,0E65,11C5,16D9,2B99,24BD,068E,007D,002D,0007
002B,01C1,FD67,FD0C,FEBF,93A5,000A,050F,0ED1,11C4,1624,2BE0,24D7,0676,0079,0034,0003
002C,01C2,FD67,FD08,FEC3,93AC,000A,04E8,0EAD,11FB,1616,2C33,248E,067E,008E,0034,0005
002D,01C3,FD67,FD0C,FEC0,93A8,000A,04E5,0E17,116B,1641,2BB3,25B5,06E1,0076,003B,0006
002E,01C2,FD67,FD08,FEC1,93B0,000A,04F6,0E27,11B6,1609,2B94,25B7,06DA,007F,002A,0006
002F,01C0,FD67,FD0A,FEC1,93CA,000A,04A5,0DE5,110E,16BF,2C19,25C7,06D1,008D,002F,0006
0030,01C3,FD68,FD07,FEC1,93BC,000A,04FF,0DC6,1174,165C,2C8B,2532,06B4,0089,002A,0003
