Report: 2016-07-19_AA0006_r-023-02.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 023-02
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/10,00:34:39
Report date/time: 2016/08/10,08:34:42
Secs per rec: 0168
# of recs: 0050
Battery level: 02C3
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01C5,FD68,FD0C,FEC3,93DE,000A,03CB,0B6D,0E1C,13EB,2B64,275E,0C6C,02B7,00AF,000B
0001,01C6,FD67,FD0C,FEC3,93DC,000A,045D,0CCD,100D,1648,2E98,262E,06D0,0082,003F,0006
0002,01C6,FD67,FD08,FEC3,93C3,000A,04AA,0D25,1016,1648,2DD3,25F8,070F,0088,002E,0006
0003,01C6,FD67,FD0C,FEC0,93E3,000A,0451,0CF7,100A,15E2,2DAD,2742,070A,007D,0035,0004
0004,01C6,FD66,FD08,FEC1,93EB,000A,0465,0CC0,1001,15B1,2E98,26B5,0713,007D,0033,0004
0005,01C7,FD66,FD0C,FEC3,9404,000A,046F,0C5D,0F60,15B8,2F1D,2702,073B,008F,0033,0004
0006,01C7,FD66,FD09,FEC3,9402,000A,04B8,0CF1,1015,15B6,2E78,264D,0723,007D,0024,0005
0007,01C6,FD67,FD0E,FEC3,93FB,000A,046C,0D5F,0FEA,1546,2E5D,26E3,0704,0086,0034,0002
0008,01C6,FD67,FD0C,FEC3,9407,000A,043C,0CA7,0FDF,15AF,2ED2,26AC,0748,008D,003D,0006
0009,01C7,FD69,FD0E,FEC0,93EA,000A,045D,0CCD,0FC0,15C2,2DFE,26C7,07B3,008D,0032,0007
000A,01C6,FD66,FD09,FEC1,93DA,000A,0410,0CBD,0F87,15AA,2E3F,2758,078B,0083,002F,0008
000B,01C5,FD67,FD08,FEC1,93D4,000A,0466,0C67,0FCE,15DD,2EBB,2681,0767,008A,002E,0001
000C,01C6,FD68,FD08,FEC0,93DD,000A,0465,0CE6,1017,1614,2E6D,2611,073A,0071,0039,0005
000D,01C7,FD66,FD08,FEC3,93DA,000A,048C,0C30,0FDC,15A4,2EB2,26B8,077A,0082,0034,0004
000E,01C6,FD67,FD09,FEBF,93C7,000A,043B,0CEA,1027,1629,2E6D,262E,0702,0090,0021,0004
000F,01C4,FD68,FD09,FEC3,93D0,000A,04A5,0CF3,1050,161E,2D6C,2664,074C,008C,001C,0006
0010,01C6,FD67,FD0B,FEC1,93E0,000A,0460,0D04,101C,1607,2DE9,25E4,07C9,0089,0034,0006
0011,01C7,FD67,FD0E,FEC0,93EF,000A,0495,0CEF,0F9A,1635,2E8F,25EB,0765,007F,0038,0006
0012,01C6,FD68,FD07,FEBF,93F5,000A,0462,0D13,0FC2,15CF,2E73,2633,079E,0080,0022,0009
0013,01C7,FD68,FD08,FEBF,93DB,000A,044B,0D65,0FFD,1636,2E6B,262D,06AF,0071,0038,0008
0014,01C6,FD66,FD07,FEC0,93C6,000A,0492,0D6D,1082,1590,2DCC,25E1,0745,007E,003C,0009
0015,01C5,FD67,FD08,FEBE,93E7,000A,0498,0CAF,0F83,15E8,2E78,2675,077F,0095,002D,0007
0016,01C6,FD67,FD08,FEC4,93D2,000A,0496,0D93,1057,15F8,2D94,25BE,0734,0093,003E,0003
0017,01C6,FD67,FD08,FEC0,93CC,000A,0486,0D54,1052,162A,2D6B,25CE,0788,0075,0039,0007
0018,01C7,FD69,FD08,FEC1,93C9,000A,04BD,0D50,1047,164F,2DF3,256C,0711,0075,0037,000A
0019,01C5,FD69,FD09,FEC1,93D7,000A,04B8,0D6D,102E,15DF,2DF8,25CE,0721,0086,0034,0004
001A,01C5,FD65,FD07,FEC1,93D0,0009,047B,0D87,1051,1590,2E16,25DA,0753,007C,002E,0000
001B,01C6,FD67,FD07,FEBE,93F1,000A,0484,0D8D,1020,15BC,2E62,25F3,06E7,0091,0035,0002
001C,01C6,FD68,FD09,FEC0,93C0,000A,04A8,0E67,113C,15F2,2CDD,2525,06C9,0087,0028,0009
001D,01C4,FD67,FD07,FEBF,93D2,000A,04DD,0DE4,1138,165B,2CDD,250C,06EA,007B,0029,0007
001E,01C6,FD6B,FD0B,FEC0,93E6,000A,04F3,0D4E,104E,1690,2D3D,2606,06CC,0085,002A,0009
001F,01C6,FD68,FD08,FEC0,93C5,000A,04E6,0DAD,10FE,1628,2CE8,256D,0702,007A,0036,0005
0020,01C4,FD6C,FD0B,FEBE,93BE,000A,0526,0E3B,112A,1606,2C25,2552,06F2,008D,002E,0009
0021,01C5,FD67,FD0C,FEC2,93E0,0009,04D3,0DE8,10CC,1637,2D76,24E9,071B,007D,002B,0000
0022,01C6,FD69,FD09,FEC1,93F4,000A,049C,0D93,104E,1663,2E43,2526,06F3,008D,0028,0003
0023,01C4,FD67,FD08,FEC1,93BE,000A,04C7,0DAA,115D,162B,2D33,24E9,06F2,007F,0034,0004
0024,01C4,FD68,FD0C,FEC0,93B2,000A,0527,0E5B,114F,1680,2C51,2467,0704,007C,0024,0005
0025,01C4,FD67,FD09,FEBC,93AF,000A,0529,0EB2,1159,161F,2BFC,24B4,06EB,007F,003C,0006
0026,01C4,FD66,FD08,FEC0,93CB,000A,0501,0E43,10C5,1643,2CCA,2508,0706,0078,0027,0008
0027,01C4,FD67,FD07,FEC6,93B9,000A,04C0,0E6D,1148,1653,2C35,255F,06AF,0081,0027,0006
0028,01C5,FD67,FD07,FEC3,93C1,000A,04EA,0E2F,1131,1621,2C43,252E,0729,0089,002F,0004
0029,01C2,FD67,FD07,FEC0,93DA,000A,04E5,0D8C,10E7,16A3,2D5E,2493,072B,007F,003C,0008
002A,01C3,FD67,FD08,FEC0,93D1,000A,04CE,0E48,1076,1606,2CB8,25B9,0728,0078,0027,0007
002B,01C4,FD67,FD09,FEC0,93C7,000A,04B5,0E1A,1090,158B,2D05,25EA,0741,007D,002D,0003
002C,01C4,FD68,FD0A,FEC0,93D2,000A,04E3,0DF4,1076,1632,2D54,256A,06F9,006C,002A,0006
002D,01C5,FD68,FD0C,FEC0,93D3,000A,04DC,0DE4,10BD,15A7,2CE8,25D4,073D,007D,0035,0004
002E,01C4,FD64,FD09,FEC1,93A4,000A,04D8,0DD6,10DC,15EE,2C76,25E1,071B,0084,0032,0004
002F,01C4,FD68,FD09,FEC1,93C4,000A,052E,0DF5,10E5,1626,2CA1,25B5,069C,0075,0029,0006
0030,01C4,FD67,FD0B,FEBE,93D7,000A,04E8,0E6A,1039,15D3,2C9B,25F3,0748,007C,0023,0004
0031,01C4,FD67,FD08,FEC1,93D8,000A,04DD,0DD4,10ED,1619,2CDB,2575,0739,0074,0023,0001
0032,01C3,FD65,FD0C,FEC3,93B5,000A,04ED,0E71,10AF,1644,2C44,257B,06F9,0086,0022,0004
0033,01C4,FD67,FD07,FEC6,93E2,000A,0500,0D3A,106A,1633,2DF2,2552,0713,0084,002D,0003
0034,01C4,FD68,FD07,FEC4,93DE,000A,04BB,0DB1,10EF,1646,2D81,24D8,0734,008C,0020,0004
0035,01C3,FD67,FD0B,FEC3,93E7,000A,04A3,0D48,10D1,168A,2D62,25C9,06D3,0070,0030,0003
0036,01C4,FD67,FD08,FEC0,93A2,000A,0509,0DB5,110E,160D,2C80,25C5,06DB,0070,0035,0004
0037,01C4,FD67,FD07,FEC0,93B3,000A,04C5,0DD9,112C,1633,2C97,2567,0709,007F,002E,0002
0038,01C3,FD67,FD07,FEC0,93BB,000A,049A,0DB2,111D,16A2,2CC7,256C,06B2,0090,0032,0009
0039,01C4,FD69,FD09,FEC0,93C6,000A,04B0,0D93,1093,15B7,2D33,2611,0733,0088,0037,0003
003A,01C4,FD68,FD07,FEC3,93EC,000A,04D3,0D77,109F,1684,2E10,24FA,06C7,0073,0038,0003
003B,01C4,FD67,FD08,FEBF,93B3,000A,0584,0EB5,11E8,1678,2C7D,239C,063A,0094,002E,0005
003C,01C3,FD68,FD09,FEC0,93E5,000A,0501,0E54,1097,15F6,2DC4,24D4,06CF,006C,0029,0007
003D,01C3,FD67,FD0C,FEC0,93DA,000A,0487,0D6F,1059,160A,2DBB,25CC,0757,0080,0022,0001
003E,01C3,FD67,FD09,FEC0,93C2,000A,04AB,0DC0,1054,15AF,2DE1,25B1,0700,0090,002F,0003
003F,01C3,FD68,FD09,FEC1,93AD,000A,050E,0E21,10E3,1687,2D4C,24A7,0682,006F,002C,0004
0040,01C3,FD67,FD0C,FEC4,93B9,000B,0E39,106A,1643,2D4F,24FF,069D,006C,0038,0003,0001
0041,01C2,FD66,FD09,FEC3,93DC,000A,04E7,0DD6,100E,166D,2E42,24C9,06F0,0083,0023,0003
0042,01C3,FD65,FD07,FEC3,93C7,0009,0546,0E13,1088,16EF,2D92,23E7,070B,005F,0014,0000
0043,01C4,FD67,FD0C,FEC3,93BD,000A,0505,0DEC,10DD,163C,2DE3,24B0,06A0,0064,001B,0001
0044,01C3,FD67,FD09,FEC3,93C9,000A,04BF,0E5B,10B3,1634,2D64,24DB,06DF,006F,0032,0009
0045,01C2,FD68,FD08,FEC0,93B9,000A,04F2,0E1F,110B,165F,2D18,24EE,067F,0080,0036,0003
0046,01C1,FD67,FD07,FEC1,93AD,000A,04E4,0E1B,114A,160E,2CD1,24F5,06DA,0079,0036,0007
0047,01C1,FD69,FD09,FEC1,93D2,000A,0530,0DA2,10EA,1628,2DB0,24F4,0697,0074,003E,0001
