Report: 2016-07-19_AA0006_r-024-01.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 024-01
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/10,16:34:46
Report date/time: 2016/08/11,00:34:50
Secs per rec: 0168
# of recs: 0050
Battery level: 02C2
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01C0,FD68,FD0E,FEBE,93CC,000A,03CF,0AE5,0DBE,1442,2D61,2816,0AF3,0230,0074,000A
0001,01C2,FD67,FD07,FEC3,93AA,000A,0458,0CC7,0FE8,15FA,3059,2572,05F5,0097,0047,000B
0002,01C1,FD64,FD0B,FEC1,9399,000A,0487,0C9B,0FDD,1587,2F2A,267C,06A2,008D,0037,0007
0003,01C2,FD66,FD09,FEC0,93B5,000A,0486,0C79,0F6C,155F,3015,2645,06DE,0076,0037,0006
0004,01C2,FD67,FD0B,FEC0,93A7,000A,0452,0C80,0F8C,1620,2F1C,2643,06FA,0091,0036,0009
0005,01C2,FD68,FD09,FEC6,93B3,000A,048A,0C80,0FA4,1588,2FB1,2634,06BE,0099,0037,000A
0006,01C3,FD69,FD0F,FEC1,93D1,000A,0403,0C02,0EAD,154E,30E8,2766,06C9,007B,0039,0006
0007,01C3,FD67,FD0C,FEC0,93D5,000A,042F,0C4B,0EF4,1578,2FEC,2747,06F7,0086,003A,0005
0008,01C4,FD67,FD08,FEBC,93D2,000A,040A,0C06,0EC9,1581,3095,26E7,073F,007B,003C,0006
0009,01C3,FD6B,FD08,FEC0,93B7,000A,044E,0C47,0FBF,14DE,2FFF,26FA,06C3,0089,0036,000A
000A,01C3,FD67,FD07,FEC1,93B4,000A,044B,0C39,0F46,154B,3026,26F0,06D1,0080,0033,0005
000B,01C3,FD68,FD0C,FEC2,93D2,000A,046F,0C06,0E87,1581,307D,26EF,0717,007C,004D,0009
000C,01C4,FD6C,FD07,FEBE,93C5,000A,0432,0C1F,0F29,153F,2FBC,2755,0735,009A,002A,0002
000D,01C4,FD68,FD08,FEC6,93B6,000A,03EF,0BDA,0EA5,1599,3001,278E,074B,008E,003F,0008
000E,01C4,FD67,FD08,FEC1,93DD,000A,040F,0B91,0EF2,158E,3090,2729,073F,0089,0035,0007
000F,01C4,FD67,FD0C,FEC0,93E1,000A,0414,0C06,0ECD,15FF,3013,26E9,0746,0098,001C,0005
0010,01C4,FD69,FD07,FEC3,93D9,000A,043E,0C8C,0F3F,1586,2FD1,2706,06C4,0074,0037,0004
0011,01C4,FD67,FD09,FEC0,93CD,000A,0420,0CBC,0F3D,160C,2F9A,26A2,06A9,008E,002F,0006
0012,01C4,FD67,FD0B,FEC3,93D4,000A,0485,0C82,0F90,15EE,2FA8,2620,06D9,007C,002B,0007
0013,01C7,FD67,FD08,FEC1,93B8,000A,0479,0CF4,1030,1583,2F15,265B,065B,0080,0040,000D
0014,01C7,FD67,FD0C,FEC1,93BD,000A,0457,0C7D,0FFA,15C5,2F92,261C,06BF,007D,003A,0006
0015,01C6,FD69,FD0C,FEC1,93E2,000A,049B,0C9E,0FE8,15D8,2FB9,25E6,0699,0083,002A,0004
0016,01C6,FD67,FD0B,FEC0,93B8,000A,0480,0D11,1071,1616,2E22,25F2,06D5,0086,002E,0003
0017,01C7,FD63,FD0C,FEC0,93C5,000A,0459,0C9C,0FCD,15EF,2F5E,2648,06BC,0084,002A,0004
0018,01C5,FD67,FD0C,FEC0,93D7,000A,046E,0C99,0FFE,15F6,2FA7,25D4,0698,008C,0038,0005
0019,01C6,FD66,FD0A,FEC0,93C1,000A,046D,0C4A,0F86,15F5,302C,25A5,06FF,007E,0038,0009
001A,01C6,FD67,FD09,FEC0,93F6,000A,0423,0C43,0F40,15A6,2FD2,26F6,072F,0084,002B,0004
001B,01C7,FD67,FD08,FEC3,93E7,000A,03E0,0BC5,0F07,15EA,3059,26EE,0758,0084,002C,0002
001C,01C7,FD69,FD09,FEC3,93D2,000A,040C,0BFA,0F59,155F,2FD9,2717,0743,00A1,003C,0004
001D,01C7,FD68,FD09,FEC0,93FB,000A,040D,0B9B,0EE2,163F,3041,26E2,0753,0083,0032,0007
001E,01C7,FD66,FD09,FEC1,93E8,000A,0473,0C11,0EC8,15B2,2FD5,2728,0739,0077,0036,0007
001F,01C7,FD68,FD0C,FEC3,9405,000A,0437,0BDD,0EA1,15BA,3081,2762,06F5,0092,0029,0003
0020,01C7,FD67,FD09,FEC6,940A,000A,0420,0BF5,0E6A,1555,318E,26BA,0734,007F,0036,0005
0021,01C7,FD67,FD09,FEC3,93FB,000A,0425,0C37,0EC2,156C,2FFF,2784,0745,0078,0028,0009
0022,01C8,FD67,FD0B,FEC1,93F9,000A,0436,0C14,0EA7,1629,3064,264D,0769,0094,002F,0002
0023,01C8,FD67,FD06,FEC3,93E1,000A,045B,0BFA,0F37,161D,2F28,2760,06FC,007E,002F,0007
0024,01C7,FD68,FD0B,FEC0,93DF,000A,0439,0C8F,0F5D,1596,2EEA,275B,072A,007E,002E,0009
0025,01C7,FD67,FD08,FEBF,93DB,000A,0438,0CAD,0FF4,1576,2E5D,2748,0718,0084,0042,0009
0026,01C9,FD67,FD07,FEC0,93CA,000A,0402,0C4F,0F7F,1585,2EDD,2763,0786,007A,002F,0006
0027,01C9,FD69,FD0C,FEC3,9409,000A,0423,0BF6,0EFA,150D,2FF7,2762,07CD,008F,0033,0001
0028,01CA,FD67,FD07,FEC6,93FE,000A,0405,0BDA,0ED6,1619,2FA9,275F,0788,006E,002B,0007
0029,01CA,FD67,FD07,FEC7,9414,000A,0462,0BF6,0E9B,1613,303D,26F9,0707,009A,0032,0005
002A,01CA,FD67,FD0C,FEC6,940F,000A,0431,0CA0,0F40,15F1,2FD7,2644,0731,0091,002C,0004
002B,01CA,FD6C,FD08,FEC0,93EF,000A,0449,0C7D,0F03,157A,3083,269A,06E3,0070,0035,0007
002C,01CA,FD67,FD09,FEC0,93DA,000A,049C,0CC6,0F79,15E4,2EFA,267A,06EB,0083,0037,0002
002D,01CA,FD67,FD0B,FEC0,93E6,000A,0456,0CE6,0F2C,1601,2F14,26CA,06F5,0077,0032,0001
002E,01CA,FD67,FD09,FEBF,93F0,000A,0458,0CA0,0EAE,15CF,2F62,273B,072F,007A,0033,0002
002F,01CA,FD67,FD09,FEC1,940E,000A,03E5,0C20,0F44,15F0,3037,26F8,070E,0069,002C,0003
0030,01CB,FD68,FD09,FEC4,9402,000A,045E,0C70,0F5E,15F2,2EBB,26E1,0799,007D,002F,0003
0031,01CB,FD67,FD09,FEC0,93FF,000A,042F,0B9F,0EF4,15CD,2FBA,278E,0778,0088,0022,0006
0032,01CA,FD67,FD0C,FEC0,9406,000A,0401,0BDB,0E59,1553,3069,27B2,07B5,0072,0036,0006
0033,01CA,FD69,FD08,FEBF,942B,000A,044A,0BE0,0EBE,15A6,2FDB,2742,07D6,006F,003A,0001
0034,01CC,FD67,FD08,FEC0,9413,000A,0401,0BBA,0EFF,15B0,2FF4,277A,078C,007B,0033,0001
0035,01CB,FD67,FD09,FEC0,9412,000A,03D8,0B90,0E7F,157A,3038,2862,0785,006A,0026,0002
0036,01CC,FD67,FD09,FEC3,9425,000A,03F3,0B78,0D8F,1531,3081,287B,083A,0096,0025,0009
0037,01CC,FD67,FD08,FEC0,93FC,000A,03D9,0B3E,0EA8,158B,2F86,2894,07D6,0089,0034,0005
0038,01CA,FD67,FD0B,FEC6,941D,000A,040A,0B48,0DEB,15AF,2FEE,289E,07F1,0081,002E,0005
0039,01CC,FD68,FD08,FEC1,940C,000A,03C3,0B29,0DE9,1556,3047,28CC,0803,008A,003A,0007
003A,01CC,FD66,FD0C,FEC0,93FA,000A,03D5,0B2C,0DBC,1508,2FFA,295B,082D,0086,0029,0004
