Report: 2016-07-19_AA0006_r-024-03.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 024-03
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/11,08:34:51
Report date/time: 2016/08/11,16:34:54
Secs per rec: 0168
# of recs: 0050
Battery level: 02C3
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01C7,FD67,FD0B,FEC3,93FC,000B,0A2B,0C40,141F,2E43,285B,0C0D,029D,00A3,0014,0001
0001,01C7,FD6C,FD0C,FEC1,93DD,000A,03F3,0BB0,0DDD,15A6,3145,2757,076F,0072,0031,0009
0002,01C7,FD67,FD08,FEC0,93F1,000A,03FA,0BB7,0DB2,1523,31C5,27C3,073A,0074,002F,0006
0003,01C7,FD67,FD08,FEC0,93E1,000A,03F0,0B69,0DFC,1628,308B,278F,0786,008D,0035,0002
0004,01C7,FD67,FD07,FEC3,93EA,000A,0408,0B32,0DB4,154D,3174,27CF,07BE,0072,0033,0009
0005,01C7,FD67,FD07,FEC0,93F9,000A,03C6,0B81,0D48,15C8,31B3,2741,07D6,009A,003B,0003
0006,01C9,FD67,FD08,FEC3,93F6,000A,03DB,0B2C,0D6F,15D9,3157,27CE,07CA,0081,002F,0008
0007,01C7,FD67,FD08,FEC3,93EE,000A,042C,0B5C,0DB5,160F,3115,275E,0768,0097,0027,0009
0008,01C7,FD67,FD08,FEC0,93D9,000A,0420,0B2F,0D93,159E,306A,2830,0813,006C,003B,0005
0009,01C7,FD66,FD08,FEC1,93E2,000A,03F9,0AFA,0E1D,153E,3168,279C,07CF,007E,0041,0002
000A,01C7,FD67,FD07,FEC3,93F2,000A,03DD,0B04,0D08,159B,316C,28BA,077E,0083,003A,000D
000B,01C7,FD67,FD09,FEC0,93F6,000A,03EB,0B0C,0D73,159B,325C,2747,0783,0096,002E,0007
000C,01C7,FD69,FD0F,FEC0,93E7,000A,0414,0B72,0DB1,15EC,31D0,26C0,076F,0088,0038,0005
000D,01C7,FD67,FD08,FEBC,93E4,000A,03F4,0B8B,0DCC,1567,315F,276B,07B9,007A,0030,0005
000E,01C7,FD67,FD08,FEC6,93EE,000A,041F,0B2A,0D6D,159A,316A,2808,0769,008D,0032,0004
000F,01C6,FD68,FD09,FEC0,93C1,000A,0436,0BD9,0DBF,15C1,30B0,27C5,070D,0076,0033,0007
0010,01C6,FD67,FD09,FEC0,93FA,000A,0402,0B45,0D30,158F,31D4,27B7,0799,0096,002C,000E
0011,01C7,FD67,FD0C,FEC3,93E4,000A,03F6,0B14,0DB9,1620,319C,2750,074D,0087,003B,0006
0012,01C7,FD68,FD06,FEC3,93DD,000A,03DD,0B6A,0DF2,156C,3231,271C,0720,0087,0039,000B
0013,01C6,FD67,FD0C,FEC1,93EE,000A,03FA,0AE0,0D49,1539,323A,27A4,07DA,0094,003E,0008
0014,01C6,FD67,FD09,FEC3,93FF,000A,03CC,0B06,0D3E,15A4,31AF,277B,084E,00A1,0029,0009
0015,01C6,FD64,FD08,FEC0,93D7,000A,03E2,0B85,0DA3,1564,3187,277F,078D,0090,0041,0005
