Report: 2016-07-19_AA0006_r-026-02.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 026-02
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/13,00:35:09
Report date/time: 2016/08/13,08:35:13
Secs per rec: 0168
# of recs: 0050
Battery level: 02C0
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01D1,FD64,FD0B,FEC0,9456,000B,08E1,0B32,1339,2F0B,298B,0D4E,02D8,009E,0008,0001
0001,01D2,FD67,FD07,FEC3,946B,000A,03D7,0A0D,0B04,1637,32B5,28C8,090F,0090,002C,0004
0002,01D2,FD67,FD08,FEC0,943F,000A,03B0,0A9B,0BEE,15CF,32E0,280F,088A,0095,0026,0003
0003,01D3,FD67,FD09,FEC3,944B,000A,03CA,0A4E,0C29,158B,31D9,2936,08A8,007B,0048,0005
0004,01D5,FD68,FD09,FEC7,9452,000A,03B6,0A34,0BB4,163C,3256,2881,08DE,0092,002C,0005
0005,01D4,FD66,FD09,FEC3,946F,000A,03C1,0A14,0C11,157F,32CB,2936,0844,009D,0024,0004
0006,01D3,FD67,FD09,FEC6,9458,000A,03EE,0A49,0C0D,169C,322B,27E2,08BC,006A,0041,0004
0007,01D2,FD69,FD0A,FEC1,944E,000A,03D7,0A99,0C33,1584,3284,2880,0857,0085,0044,0003
0008,01D3,FD6B,FD07,FEC1,945F,000A,0414,0AA5,0BBA,1600,32FC,2809,080B,00A5,0032,0005
0009,01D2,FD66,FD08,FEC6,9447,000A,03ED,0A4D,0C70,1548,334D,27FA,0850,0095,0028,0001
000A,01D3,FD66,FD08,FEC3,944C,000A,03C9,0AD9,0C5C,15A7,32BE,2864,07CA,008E,0024,0009
000B,01D2,FD67,FD08,FEC1,9460,000A,03A3,0A1A,0BC9,15F1,31E2,29A9,087D,00A1,003C,0004
000C,01D2,FD69,FD08,FEC1,9468,000A,03C4,0A90,0BDB,1633,32C2,282B,0848,0092,003C,0003
000D,01D3,FD67,FD08,FEC0,9452,000A,03C7,0A51,0C47,1588,32C8,28B3,082D,0080,0037,000C
000E,01D2,FD68,FD08,FEC0,9435,000A,0395,0A7F,0BF0,15A6,32A6,288F,0880,00A2,0030,0004
000F,01D3,FD67,FD08,FEC1,9467,000A,0410,0A8D,0BF1,15D0,324D,28C3,0831,008D,0037,0004
0010,01D1,FD67,FD08,FEC3,945D,000A,03DE,0A7E,0C1D,1613,329A,280F,0868,008B,0034,0001
0011,01D2,FD66,FD08,FEC0,945F,000A,03D0,0A62,0BF1,15FF,3389,27A5,0852,0098,0022,0003
0012,01D1,FD66,FD08,FEC1,946A,000A,03F7,0AC3,0BBC,1626,32E5,27F9,082E,008E,002E,0006
0013,01D2,FD64,FD0B,FEC3,9468,000A,03F1,0ABE,0B9F,15DC,3326,2856,07F5,0097,0034,0002
0014,01D2,FD68,FD09,FEC0,946A,000A,03D8,0AC6,0B84,15FA,3345,27CB,0877,0094,0030,0003
0015,01D2,FD66,FD0E,FEC0,944E,000A,03B5,0AF9,0C5C,1569,3273,28A9,07DF,009E,003B,0007
0016,01D1,FD66,FD09,FEC3,9452,000A,03E7,0A76,0B56,15DA,332A,28B3,07FE,00A7,003E,0005
0017,01D1,FD68,FD09,FEC3,943F,000A,03F6,0AB9,0C2B,15BF,331A,2791,0840,008A,002E,0003
0018,01D3,FD66,FD08,FEC3,9447,000A,03E5,0AA1,0C1E,159D,3307,2829,0808,008B,003D,0006
0019,01D1,FD68,FD08,FEC0,9444,000A,03B7,0ACB,0CFD,15E6,323C,27EB,07ED,0092,0031,0008
001A,01D3,FD67,FD0C,FEC1,942F,000A,03DF,0ABD,0C85,1626,322D,27FB,07F9,0094,0030,0003
001B,01D2,FD66,FD09,FEC3,946B,000A,03CF,0A89,0B9E,15F7,3302,2801,08B9,0084,0036,0008
001C,01D2,FD67,FD07,FEBF,9458,000A,03E0,0AB4,0BEC,1609,3338,2781,0842,0099,0033,0008
001D,01D1,FD67,FD0B,FEC1,945E,000A,03BD,0A46,0BE6,15AF,32B7,2892,08A4,008F,0043,0007
001E,01D1,FD63,FD0B,FEC0,944D,000A,03CE,0AC2,0C42,15C5,32BB,27DF,085A,007E,003C,0008
001F,01D2,FD68,FD07,FEC0,9438,000A,041A,0AB6,0CDE,1619,3220,2796,0806,0086,0029,0006
0020,01D3,FD66,FD0C,FEC7,9412,000A,0428,0B0B,0D05,1631,31C9,278C,078B,008F,0036,0004
0021,01D1,FD69,FD09,FEC1,9440,000A,03B2,0AB4,0CA5,15ED,31FF,281C,0867,009A,002A,0002
0022,01D1,FD6B,FD07,FEBE,945A,000A,040D,0B02,0C43,160C,33C7,26BA,07C1,0085,0030,0005
0023,01D1,FD67,FD07,FEBE,944B,000A,03EF,0B0B,0C7B,15D3,326F,277D,0864,0077,0038,0004
0024,01D1,FD68,FD09,FEC3,946B,000A,0408,0AA5,0CDB,1608,31D6,27E2,085A,008F,0034,0006
0025,01D1,FD68,FD09,FEC0,942A,000A,040E,0B6C,0D02,1670,31C4,26D6,07EC,0087,002F,0002
0026,01D1,FD67,FD0B,FEC6,943A,000A,040F,0B2E,0CC5,161E,3202,273C,0808,0094,0038,0008
0027,01D1,FD68,FD09,FEC3,9444,000A,0425,0AF7,0C36,160D,3220,278E,085D,009B,003A,0005
0028,01D1,FD67,FD0B,FEC1,946A,000A,0414,0B06,0C1B,165B,32D9,2721,080B,009D,0035,0003
0029,01D1,FD67,FD0C,FEC0,944F,000A,0412,0B1F,0C60,15F3,325D,2748,083B,00B5,0034,0002
002A,01D1,FD68,FD07,FEC0,9432,000A,0478,0B48,0CD1,15F2,31F5,2754,07A7,0081,003A,0004
002B,01D1,FD68,FD09,FEC3,9437,000A,0476,0B0F,0C78,1688,32E1,26AA,0775,0078,0036,0004
002C,01D1,FD67,FD08,FEC0,9421,000A,03FB,0B26,0CA4,15E3,3292,271D,0801,0090,002F,000A
002D,01D1,FD67,FD0C,FEC0,9445,000A,041F,0AF9,0C99,15EA,329F,277C,07D9,008C,0027,0003
002E,01D1,FD67,FD09,FEC0,9433,000A,0417,0B51,0CF6,15E7,31D6,27A4,07B6,0093,0028,0003
002F,01D1,FD6B,FD07,FEC1,943B,000A,040C,0AE4,0CD9,1671,322C,2729,07CA,009F,003B,0008
0030,01CF,FD67,FD07,FEBF,942F,000A,03FF,0AE8,0D48,15F7,31BA,2785,07DF,009B,0049,0007
0031,01D1,FD68,FD09,FEC6,9433,000A,0433,0B74,0D24,1659,3218,26C9,076C,008F,0031,0002
0032,01D1,FD67,FD09,FEC0,9429,000A,0413,0B3F,0D12,15BA,327F,2722,07B3,007D,0034,0006
0033,01D1,FD67,FD0B,FEC3,9445,000A,0433,0AD8,0CA1,15D9,3269,279F,07EB,008B,0035,000D
0034,01D1,FD64,FD09,FEC3,941A,000A,040F,0B39,0D40,15C6,31C0,27CC,07A1,0072,0026,0007
0035,01D1,FD68,FD0B,FEBF,9417,000A,03E6,0B29,0CD6,15B5,3292,279C,078C,0089,0033,0007
0036,01D1,FD67,FD07,FEC3,941C,000A,0403,0B46,0D4C,165B,31AD,2765,075B,008C,002F,0004
0037,01D1,FD67,FD0C,FEC3,9437,000A,0419,0B03,0D18,162D,31FD,2797,0776,0086,003F,0007
0038,01D0,FD67,FD0C,FEC3,942E,000A,041F,0B0F,0CDB,15FD,3218,2784,07BB,0097,0035,0005
0039,01D1,FD68,FD09,FEC0,943A,000A,041A,0B31,0CC1,1640,31D4,280B,074C,008F,002C,0008
003A,01D0,FD67,FD08,FEC1,9445,000A,0415,0B58,0C91,15D7,3294,2741,07DF,008E,002C,0002
003B,01D0,FD67,FD0A,FEC0,9446,000A,040D,0AC5,0CC5,1629,333C,26C7,07B2,0099,002A,000E
003C,01CF,FD67,FD07,FEC3,944A,000A,044D,0B51,0D3E,15E5,3251,26DF,07B9,0076,0025,0005
003D,01D1,FD64,FD09,FEC7,9445,000A,0424,0B83,0CCE,1667,32A5,2703,073F,0064,001D,0001
003E,01D0,FD67,FD08,FEC1,9415,000A,0418,0B2B,0D6F,15E1,3322,2663,0748,0078,0032,000B
003F,01D0,FD64,FD0C,FEC3,9425,000A,03FD,0B78,0D10,164F,31BB,272A,07B3,0080,0037,0002
0040,01CF,FD69,FD06,FEC0,942B,000A,0439,0B12,0CF9,1598,3240,27F4,0745,0094,003C,0006
0041,01CF,FD67,FD06,FEC1,9419,000A,0418,0B60,0D33,1647,31D9,273A,074E,0087,0036,0009
0042,01D0,FD66,FD09,FEC0,9444,000A,0409,0B23,0C7B,1585,32DC,27AA,07BB,0098,003B,0004
0043,01CE,FD68,FD08,FEC6,942B,000A,03C6,0B1F,0CDD,1654,31E8,27F1,077C,0089,0035,0002
0044,01CE,FD67,FD08,FEC0,9425,000A,0435,0AA9,0CE6,1594,32F2,276E,0796,00A4,002E,0005
0045,01D0,FD67,FD07,FEC1,9421,000A,03E5,0B21,0D2C,157A,3258,27C3,079A,008F,002B,0006
0046,01CE,FD67,FD0B,FEC0,9414,000A,03D0,0B23,0CD1,162E,3287,273D,079D,008D,0032,0002
0047,01CF,FD67,FD07,FEC3,9441,000A,0426,0AF8,0C7D,15CF,32EE,278D,079E,0087,0033,0004
0048,01CE,FD67,FD09,FEC1,941E,000A,041F,0AFA,0C70,1617,329E,2795,077E,0090,0037,0006
0049,01CE,FD67,FD0C,FEC0,9415,000A,03FC,0B15,0CF7,157D,3298,2788,07A6,008F,003A,0001
004A,01CE,FD69,FD08,FEC1,942F,000A,042B,0AA7,0BE1,1618,32E6,278A,083B,0085,0031,0003
004B,01D0,FD63,FD08,FEC0,943E,000A,03FF,0AFA,0C8D,15EF,337D,26A3,07E2,009B,0028,0004
004C,01CE,FD67,FD07,FEC3,9438,000A,0400,0AE0,0C41,167B,32CE,27D3,074D,007B,0030,0003
004D,01CC,FD66,FD0C,FEC0,9441,000A,040E,0B2E,0C3C,162D,321B,2785,0827,008F,0042,0004
004E,01CE,FD67,FD07,FEC2,943D,000A,0431,0B2D,0BF0,15C8,32D7,27DD,07AD,0083,0038,000B
004F,01CF,FD67,FD08,FEC1,9414,000A,0414,0B09,0C80,1587,330F,279C,0780,0092,002E,0005
TurtleSense 0.2503 -- CC 4.0 BY-SA NerdsWithoutBorders.Net
--end of report--
