Report: 2016-07-19_AA0006_r-026-03.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 026-03
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/13,08:35:13
Report date/time: 2016/08/13,16:35:16
Secs per rec: 0168
# of recs: 0050
Battery level: 02C1
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01CE,FD68,FD07,FEC1,9412,000A,0357,09FC,0ADE,1447,2F5F,2955,0C40,0214,0085,000D
0001,01CE,FD66,FD08,FEC7,9421,000A,03DC,0AD9,0C16,169D,32E1,2755,07A9,009B,0033,000C
0002,01CC,FD67,FD07,FEC3,93F1,000A,0404,0AD5,0C60,15B7,3359,2800,0702,007A,0028,0004
0003,01CE,FD67,FD0C,FEC1,940C,000A,03D3,0AC6,0C7B,15C4,3286,2806,07E4,008F,0031,0004
0004,01CD,FD67,FD07,FEC6,943F,000A,0416,0AD8,0B6D,15EF,334D,27F6,07E6,008B,0039,0008
0005,01CE,FD67,FD08,FEC1,941F,000A,0414,0AD6,0C55,1617,32BA,27AB,07A4,0085,0038,0003
0006,01CC,FD67,FD09,FEC3,941E,000A,041C,0AE7,0BFD,15C9,32F2,27B5,07F0,007E,0038,0008
0007,01CD,FD69,FD08,FEC3,9420,000A,03D4,0A93,0C23,15E3,3394,275E,07EA,0098,003E,0001
0008,01CD,FD67,FD07,FEC6,9407,000A,03BC,0A94,0C71,1644,32A2,2822,0775,008A,0037,0008
0009,01CD,FD6C,FD0C,FEC1,942E,000A,03B5,0AB3,0C27,1663,32C3,27E5,07C8,009F,002B,0002
000A,01CD,FD67,FD0A,FEC0,9416,000A,0439,0B25,0C39,1652,325C,273E,07BE,0099,0036,0006
000B,01CC,FD67,FD0C,FEC1,93FC,000A,0419,0B25,0C49,161D,333A,26E3,0758,00A1,0040,0002
000C,01CD,FD67,FD0C,FEC0,941B,000A,040D,0AE6,0C12,16A8,32FE,271C,078D,008E,0034,0005
000D,01CC,FD68,FD09,FEC2,940F,000A,03F9,0B0D,0CA7,15B1,3350,26FE,0787,009C,003B,0005
000E,01CD,FD68,FD09,FEC1,942B,000A,043D,0B4A,0C54,15A9,3262,27D0,07B5,0090,002B,0005
000F,01CC,FD67,FD09,FEC3,9403,000A,03FB,0B10,0C27,15A4,3367,2798,0766,0089,0035,000A
0010,01CD,FD64,FD0B,FEBF,9420,000A,03F4,0B27,0C20,15FD,3400,26C8,074F,0089,0040,0008
0011,01CC,FD67,FD0B,FEC3,942D,000A,048C,0BB3,0C12,16AB,3338,2623,0708,008C,003D,0005
0012,01CD,FD67,FD07,FEC0,9427,000A,0459,0B8C,0C6F,1601,3448,25E6,06E2,008C,0033,0003
0013,01CD,FD67,FD08,FEC3,9403,000A,0432,0B02,0C98,15EF,3293,2774,0763,009B,003D,0006
0014,01CC,FD67,FD0B,FEC0,941F,000A,0437,0B14,0BF7,1638,3300,2761,077B,0085,003D,0007
0015,01CC,FD67,FD08,FEC0,9421,000A,042C,0ADA,0BAA,169A,3307,2790,0777,0095,002D,0007
0016,01CC,FD68,FD08,FEBF,9430,000A,0426,0AE0,0BD0,158A,3347,27CC,07F3,008E,0035,0007
0017,01CC,FD67,FD08,FEC3,9430,000A,03F2,0AB0,0BC6,1666,331A,27DA,0791,009F,0036,0008
0018,01CC,FD69,FD07,FEC3,943D,000A,0454,0B23,0BBA,1602,3425,26A0,077D,008F,0035,0004
0019,01CC,FD67,FD0C,FEC1,942B,000A,03EB,0ADB,0BE8,16BE,3404,26D4,070E,009B,0038,0006
001A,01CC,FD66,FD09,FEC0,9428,000A,044E,0ADD,0BD6,15F2,3360,277F,079C,008B,002D,0002
001B,01CC,FD67,FD07,FEC4,9411,000A,041C,0B36,0C24,15B5,32B8,27A1,07D8,007E,002B,000C
001C,01CC,FD66,FD08,FEC7,9425,000A,0426,0A80,0BEF,15E9,3361,27D4,07AE,008C,0034,0004
001D,01CC,FD64,FD07,FEC0,940D,000A,040B,0B31,0BFD,1606,32CF,26CC,0871,009D,001E,0007
001E,01CC,FD6B,FD08,FEC0,93F3,000A,042E,0B2A,0C2E,160A,32B8,2753,0784,0094,003B,0005
001F,01CC,FD67,FD08,FEC1,93FB,000A,0401,0B3E,0CC6,15DE,32C4,2757,072C,008D,003C,0008
0020,01CC,FD6C,FD0A,FEC0,9408,000A,0423,0AED,0C26,151A,3352,27B3,07DF,008B,003E,000B
0021,01CC,FD6B,FD07,FEC1,9437,000A,043B,0AB9,0C39,1643,32F8,2756,07B0,0097,002B,0007
0022,01CC,FD6B,FD09,FEC0,9428,000A,0406,0AF6,0C12,162D,32FD,278A,0790,009D,0034,0005
