Report: 2016-07-19_AA0006_r-027-03.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 027-03
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/14,08:35:24
Report date/time: 2016/08/14,16:35:26
Secs per rec: 0168
# of recs: 0050
Battery level: 02C0
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01D1,FD67,FD07,FEC1,9417,000A,03E3,0A01,0B07,143D,2F94,2816,0C61,0250,008E,0006
0001,01D0,FD67,FD0B,FEC4,942E,000A,0415,0B1E,0BE1,1612,329E,275B,084F,0090,0028,0008
0002,01D0,FD67,FD0C,FEBF,9440,000A,044B,0AEA,0B4E,1682,333E,275C,07F0,0087,0028,0002
0003,01CE,FD68,FD08,FEC1,943A,000A,041B,0B3F,0B37,15DA,333B,279C,0825,0091,0039,0009
0004,01CF,FD67,FD08,FEC4,9427,000A,045D,0AA8,0BF5,165F,32EB,2744,07D3,008C,003A,0006
0005,01CE,FD68,FD08,FEC3,943A,000A,0405,0ABB,0BF3,160B,339C,275C,07DD,0086,001D,0004
0006,01CE,FD67,FD08,FEC3,9443,000A,043F,0AC8,0BF9,1641,3338,270F,0808,0083,0026,000A
0007,01CE,FD67,FD07,FEC3,9458,000A,0461,0AC7,0B7B,1663,3343,2767,07D3,008C,0044,0005
0008,01CE,FD65,FD0C,FEC3,9430,000A,047A,0B8D,0C13,1624,3325,2690,077A,0088,0039,0002
0009,01CE,FD67,FD09,FEC1,9424,000A,0447,0B55,0C18,1680,32DE,26BF,07A6,0075,0033,0005
000A,01CE,FD67,FD0B,FEC1,9440,000A,0451,0B29,0B79,1645,3357,2733,07A2,009B,003C,0005
000B,01CD,FD67,FD09,FEC1,9420,000A,0462,0B75,0BBC,15B1,33A8,26A8,07C6,009E,0026,0002
000C,01CD,FD66,FD0B,FEC4,9431,000A,042A,0B05,0BDF,1630,3355,270B,07C9,0087,0039,000A
000D,01CD,FD68,FD04,FEC3,9424,0009,0426,0B33,0C1F,164E,32A6,270E,07DD,0095,0038,0000
000E,01CD,FD67,FD07,FEC3,9416,000A,043D,0AE8,0BE9,1690,3334,26C1,07A7,00A7,002E,0007
000F,01CD,FD67,FD07,FEBF,941A,000A,0448,0B63,0BC0,1691,3341,2657,079D,00A5,003D,0007
0010,01CD,FD6B,FD07,FEC0,942F,000A,046E,0AB7,0BC8,15CE,3448,269F,07A8,00A5,0037,0009
0011,01CE,FD67,FD08,FEC0,940E,000A,0469,0B02,0BDB,15E4,3322,2728,07CB,00A1,0029,0005
0012,01CD,FD64,FD0C,FEC0,9421,000A,044E,0AF1,0BA3,162E,33CD,26F9,077D,00A2,002A,0002
0013,01CC,FD67,FD09,FEC3,9438,000A,044C,0AE0,0B74,166D,33CA,2684,081A,008E,0032,0003
0014,01CD,FD67,FD0B,FEC3,9431,000A,045A,0B9C,0B9F,16AC,32E8,26F6,0741,0098,002C,000D
0015,01CD,FD66,FD09,FEC6,9437,000A,0458,0B43,0B2E,166A,33E6,267D,07E8,007B,0034,000A
0016,01CC,FD67,FD08,FEC3,942C,000A,0471,0B17,0B5C,1603,332B,2750,07F0,00A1,0035,0004
0017,01CD,FD67,FD09,FEC2,9442,000A,0476,0AFE,0BE1,168A,32DE,269D,0804,009E,0042,0004
0018,01CC,FD63,FD0F,FEC0,9450,000A,043A,0B25,0B4D,168C,341E,266F,07B7,008E,003E,0008
0019,01CC,FD69,FD07,FEC0,944C,000A,047C,0B26,0B49,1683,336E,26FA,07BF,0083,0031,0003
001A,01CC,FD67,FD0C,FEC4,9449,0009,043A,0B0B,0AF5,17A1,336E,265F,07D8,009A,002F,0000
001B,01CC,FD67,FD07,FEC3,9435,000A,0463,0AD8,0BCC,1639,335C,2701,07D2,0083,003D,0006
001C,01CC,FD67,FD09,FEBE,941E,000A,046F,0B26,0BC7,1647,33D5,2602,07CB,009A,0036,0009
001D,01CC,FD67,FD0B,FEC0,9407,000A,047C,0B3F,0C4B,15DF,3339,26A4,0770,0088,0041,000C
001E,01CC,FD67,FD08,FEC0,942E,000A,043C,0B2F,0C0B,1609,32F9,2710,07E0,008B,0037,0004
001F,01CD,FD67,FD09,FEC1,9426,000A,0442,0B05,0B8F,166D,338C,26C4,07C8,0083,003F,0009
0020,01CC,FD67,FD09,FEC0,9418,000A,0470,0B0D,0BB3,167A,32E0,2774,073C,0092,0045,0007
0021,01CC,FD67,FD09,FEC6,9421,000A,048F,0AEE,0B8C,1639,3387,272C,0769,0086,0038,0005
0022,01CC,FD69,FD07,FEC3,9426,000A,044F,0B7E,0BAE,1651,33D2,25F3,07D1,0087,0035,0008
0023,01CC,FD64,FD08,FEC3,9438,000A,041A,0B51,0B5B,160A,3476,26AA,0786,008E,002D,0007
0024,01CC,FD67,FD07,FEBF,9436,000A,0468,0ADA,0B79,1667,3428,2699,0775,009B,003E,0005
0025,01CC,FD67,FD07,FEC0,941B,000A,044F,0B23,0BE0,160D,33EE,2659,0796,0097,0040,0008
0026,01CC,FD67,FD08,FEC0,940D,000A,0494,0AFB,0BF9,15FF,33B7,269B,0761,0094,0033,000C
0027,01CC,FD67,FD07,FEC0,941E,000A,0454,0B82,0BCD,161F,340B,2602,077E,0094,003A,0003
0028,01CC,FD68,FD08,FEC6,9427,000A,0417,0B1A,0BCF,16C2,3333,270D,073B,00A7,003C,0007
0029,01CB,FD67,FD08,FEC1,9416,000A,0474,0B75,0C30,162B,3418,25CA,0735,0083,0035,0003
002A,01CC,FD66,FD07,FEC1,9412,000A,0463,0B09,0B95,16B5,3363,26D2,0758,0086,0042,0007
002B,01CB,FD68,FD0C,FEC0,9418,000A,0433,0B04,0B59,1640,3447,2683,07BE,008B,002D,0008
002C,01CC,FD64,FD0B,FEC0,9413,0009,044B,0B44,0B6E,1637,333A,26F3,07EA,00A1,0027,0000
002D,01CD,FD67,FD0B,FEC6,940E,000A,045F,0BB8,0C1A,1622,3319,26C2,0715,008E,0039,0004
002E,01CC,FD67,FD09,FEC0,941F,000A,0453,0ADE,0BC7,15F7,33A2,2709,07B0,0083,0043,000F
002F,01CC,FD64,FD0E,FEC0,941D,000A,0455,0B47,0BD6,1675,33DD,263B,0754,008D,0038,0005
0030,01CC,FD67,FD07,FEC3,940C,000A,048A,0AE2,0BA6,1614,33FB,26A6,0781,008B,0037,0002
0031,01CB,FD67,FD07,FEC3,940D,000A,0446,0B8A,0BFF,15EC,33CD,2634,0789,0085,003B,0008
0032,01CA,FD67,FD07,FEC3,9430,000A,0492,0B2E,0BFA,1641,3439,25B5,076E,0098,003B,0006
0033,01CC,FD68,FD0B,FEC0,9424,000A,049B,0B08,0BA2,1665,3379,2671,07CE,0081,003B,0006
0034,01CC,FD67,FD07,FEC0,9403,000A,0467,0B37,0C12,1600,33D3,2626,07A7,007D,002D,0009
0035,01CC,FD67,FD06,FEC3,940F,000A,0446,0B4F,0B8A,1697,334D,26CE,0782,0075,0042,0005
0036,01CC,FD68,FD07,FEC3,942A,000A,0461,0ADB,0B8D,163A,33CE,26BA,07CA,008B,003F,000B
0037,01CC,FD67,FD08,FEC0,942D,000A,043F,0AF0,0BB4,15A0,3445,26F5,07C5,006D,0037,0007
0038,01CC,FD68,FD07,FEC3,9402,000A,047A,0B2D,0C57,1603,33BA,2639,072A,00AB,0030,0009
0039,01CC,FD63,FD0C,FEC3,9412,000A,0446,0B15,0BD1,1645,337C,26B6,07A0,008A,0040,0005
