Report: 2016-07-19_AA0006_r-028-02.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 028-02
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/15,00:35:29
Report date/time: 2016/08/15,08:35:32
Secs per rec: 0168
# of recs: 0050
Battery level: 02BE
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01D5,FD67,FD0C,FEC7,9454,000A,037C,09A9,0A99,1421,2EB3,28DF,0DD1,0285,0081,000C
0001,01D4,FD68,FD0E,FEC3,946D,000A,03E6,0AC0,0B0E,1635,3266,283B,090C,009F,0035,0003
0002,01D4,FD68,FD09,FEC0,944E,000A,03D6,0A74,0BF0,163A,3225,2878,0886,007D,0032,0008
0003,01D5,FD68,FD09,FEC3,9461,000A,03DB,0A8F,0B91,15F4,332E,27B7,08BC,00A5,0029,0003
0004,01D5,FD67,FD09,FEC0,9475,000A,043B,0AD5,0B1C,16A7,32E8,27AB,084A,008B,0038,0002
0005,01D3,FD67,FD08,FEC1,947E,000A,040F,0AF5,0B71,1685,323E,2782,08EF,00A4,002E,0003
0006,01D3,FD67,FD07,FEBE,944B,000A,0456,0AC4,0BF4,1624,3219,27FB,084B,007A,003A,0006
0007,01D4,FD67,FD0C,FEC3,9459,000A,0438,0AA3,0BD4,1654,32CB,27A5,0819,0093,0036,0004
0008,01D2,FD67,FD0C,FEC0,9478,000A,0439,0AC1,0B97,162A,32B6,27F1,0876,006E,002E,0004
0009,01D4,FD6C,FD07,FEC4,947A,000A,0420,0A75,0B6E,15F7,3322,27D2,08A6,00A3,003D,0006
000A,01D3,FD67,FD07,FEC3,947E,000A,040E,0A8C,0AD8,15EB,320D,2980,08C4,0094,003B,0001
000B,01D4,FD63,FD0B,FEC6,945B,000A,0423,0A48,0B50,161C,32BA,283E,08C8,0087,0038,0005
000C,01D3,FD63,FD0B,FEC3,946F,000A,03FA,0AB0,0B07,15F4,32CC,2849,08D4,00A4,0034,0009
000D,01D3,FD65,FD0B,FEC7,946E,000A,0409,0A66,0B2C,1656,3328,27E5,08A7,009E,0027,0004
000E,01D4,FD66,FD08,FEC3,9452,000A,0414,0AB1,0BC9,163A,32E0,272E,08A5,0098,0036,0009
000F,01D4,FD67,FD08,FEC7,9464,000A,040E,0AA8,0B02,1692,32BF,27EC,08B4,0089,0029,0009
0010,01D4,FD67,FD07,FEC1,9467,000A,03C9,0AAC,0BCB,1652,32D2,27A4,087A,00A5,003A,0006
0011,01D4,FD67,FD08,FEC3,9454,000A,03ED,0A3F,0B3E,1610,332D,282E,08AA,008D,0044,0004
0012,01D4,FD66,FD09,FEC3,945E,000A,03AC,0A67,0B83,15A6,3323,28B2,0872,0098,003C,0007
0013,01D4,FD64,FD08,FEC1,947F,000A,0412,0A94,0B14,16B5,323C,285E,08A6,0083,0045,0008
0014,01D2,FD67,FD07,FEC6,9475,000A,0420,0A6A,0B4F,1645,3237,2842,0922,007F,0037,0006
0015,01D3,FD67,FD0B,FEC6,9457,000A,0403,0A59,0BAA,1614,3278,285C,08AE,0090,0029,0002
0016,01D4,FD67,FD07,FEC0,9467,000A,0453,0A40,0B4E,1618,3232,28EA,0882,0096,0033,0007
0017,01D4,FD64,FD09,FEBF,9458,000A,040A,0AC1,0B0C,1654,3272,2811,08DB,009D,002E,0004
0018,01D4,FD67,FD0C,FEC3,947B,000A,044D,0AB3,0AB1,1640,32D0,27FD,08EA,0094,003A,0005
0019,01D3,FD67,FD07,FEC3,947A,000A,0404,0A8A,0B8C,1655,32A2,27C6,08BB,00AF,0035,0004
001A,01D2,FD67,FD0B,FEC1,9487,000A,0439,0AA5,0B47,1684,32A8,27A9,08C0,0085,003D,000B
001B,01D4,FD67,FD07,FEC1,9465,000A,0401,0ADC,0B73,1642,32C2,27FD,084D,0090,0033,0004
001C,01D3,FD66,FD09,FEC6,944A,000A,03D3,0A62,0B79,158A,3320,288D,089D,0095,002F,0004
001D,01D4,FD67,FD07,FEC0,945B,0009,0442,0AA1,0B8A,15AB,3336,281B,0828,0094,0036,0000
001E,01D2,FD67,FD07,FEC0,946A,000A,0447,0A75,0B6B,168D,3230,2859,0855,009B,0039,0004
001F,01D3,FD64,FD08,FEC7,9448,000A,0412,0AA5,0BE2,162C,3339,2792,07F4,0092,002A,0008
0020,01D2,FD67,FD08,FEC7,945E,000A,03C4,0A94,0BDF,1667,3288,2801,0880,0081,0031,0005
0021,01D2,FD68,FD08,FEC3,944C,000A,03BF,0A5F,0B73,162C,32EC,2861,087B,008E,0035,0004
0022,01D2,FD67,FD09,FEC1,944E,000A,03E5,0A9F,0B13,15D2,327E,28CA,08D8,0091,002F,0005
0023,01D2,FD67,FD07,FEC0,944E,000A,03E0,0A92,0B6A,1635,328A,2887,084D,009E,003D,0004
0024,01D2,FD68,FD07,FEC3,9439,000A,03DB,0ADB,0BB8,15B0,32EB,27F1,0862,00A6,0034,0003
0025,01D2,FD67,FD07,FEC7,9469,000A,03CB,0A7B,0B80,15B5,32AF,287C,08FB,0091,0034,0003
0026,01D2,FD67,FD07,FEC3,946B,000A,0408,0AB5,0B4C,1642,3285,2848,0885,0095,0038,0001
0027,01D2,FD6C,FD09,FEC1,9436,000A,03EA,0AAE,0B99,1604,333B,27F5,080A,008D,0037,0003
0028,01D2,FD64,FD08,FEC0,944A,000A,03E8,0B03,0BB6,1648,32DE,27AB,080D,0097,002E,0006
0029,01D1,FD66,FD0C,FEC0,9461,000A,0414,0A5F,0B62,1638,3306,27D2,08AB,0097,0037,0003
002A,01D1,FD68,FD09,FEC1,9460,000A,03E0,0A84,0B92,1612,32FD,27FD,0898,0088,003A,0004
002B,01D2,FD68,FD08,FEC7,9444,000A,03F0,0A5A,0B60,15F5,3293,2885,08B0,00A2,0038,0003
002C,01D2,FD66,FD09,FEBF,943D,000A,03F7,0A4B,0BA2,1584,333E,285A,0872,008C,003D,0002
002D,01D2,FD67,FD07,FEC0,9453,000A,0410,0AB6,0C1B,163E,32CE,2772,0826,00A0,0029,0005
002E,01D1,FD69,FD08,FEC4,9438,0009,044C,0ABF,0C6C,15A3,3275,2798,0845,0093,0039,0000
002F,01D1,FD67,FD0C,FEC2,943F,000A,03CF,0A9A,0C0A,15B7,333A,27F0,081C,00A4,0026,0005
0030,01D1,FD66,FD08,FEC4,9433,000A,03E5,0AD2,0BED,1565,3347,2824,080B,0081,002B,0008
0031,01D1,FD67,FD09,FEC0,942C,0009,042F,0AB7,0C64,1641,3252,2781,080F,0094,002B,0000
0032,01D1,FD64,FD0B,FEC3,944A,000A,0450,0A9A,0BBE,15D9,32E6,27D1,0841,009B,0034,0002
0033,01D1,FD68,FD07,FEC3,9447,000A,03FD,0AFB,0BE7,163C,3338,26E8,082B,00A9,0034,0004
0034,01D1,FD69,FD07,FEC1,945D,000A,0474,0B0A,0B9C,1673,32EE,26FD,0825,0080,003D,0003
0035,01D1,FD69,FD08,FEC0,9453,000A,040E,0AA6,0BBC,1655,32C0,2789,085F,00A3,0042,0001
0036,01D1,FD67,FD0C,FEC0,9450,000A,0403,0AF8,0BE0,1634,33C2,26B2,07FC,0095,0037,0005
0037,01D1,FD6C,FD08,FEC3,9458,000A,040C,0B00,0B6C,1660,32E2,2782,0865,0087,0029,0007
0038,01D1,FD65,FD07,FEC0,9438,000A,041E,0AEC,0C78,16AF,327D,26EB,07C6,00A9,002D,0003
0039,01D1,FD67,FD07,FEC0,945F,000A,0440,0B34,0B8E,164C,32F2,2745,0822,0094,0021,0003
003A,01D1,FD66,FD0C,FEC1,9448,000A,0439,0B58,0C01,1641,3193,27FE,0813,009C,0033,0002
003B,01D1,FD68,FD09,FEC4,9432,000A,03F6,0B20,0C34,15FF,3273,27B5,081A,007B,0027,0005
003C,01D1,FD67,FD09,FEBC,943F,000A,0409,0B11,0C6E,15C0,32A8,275A,0837,0089,0031,0004
003D,01D1,FD66,FD07,FEC1,943A,000A,03FA,0B00,0C5C,1657,3289,26F3,0859,0090,0022,0006
003E,01D1,FD67,FD0C,FEC0,9445,000A,0405,0AD8,0C4C,1685,32BF,2721,07E8,0090,003D,0002
003F,01D1,FD67,FD0B,FEC0,943F,000A,041B,0B1E,0BDD,1639,32B6,2785,07CE,00A4,003E,0005
0040,01CE,FD67,FD09,FEC6,9448,000A,0425,0AB7,0BE9,16E7,32C8,27B6,0793,007A,000F,0002
0041,01D1,FD68,FD09,FEC0,944F,000A,040F,0AC9,0BF1,16AB,33ED,26C0,07B1,0060,0018,0005
0042,01D1,FD67,FD0C,FEC0,944F,000A,0432,0AD2,0C27,1683,335D,26B5,07EC,006F,002C,0008
0043,01D0,FD68,FD07,FEC0,944F,000A,0437,0A98,0C05,15EE,3339,275A,084C,0081,002C,0001
0044,01D1,FD67,FD08,FEC0,9448,000A,03C0,0A85,0BFE,1636,32C2,2871,07D8,0099,0028,0003
0045,01D1,FD69,FD08,FEC6,943E,000A,03F2,0A5E,0C0A,1639,3295,27DA,0871,008B,0036,000A
0046,01D1,FD67,FD07,FEC0,9458,000A,0401,0ACA,0BBB,1649,3295,27B1,086D,009E,0031,0007
0047,01D0,FD68,FD07,FEC0,9452,000A,03F6,0AD1,0BA4,168B,328F,27B9,082B,00B1,0031,0007
0048,01CF,FD67,FD0B,FEC0,944E,000A,043E,0AA7,0B9F,1648,3305,2761,083C,00A1,003B,0004
0049,01CE,FD67,FD0C,FEC3,944E,000A,0452,0A30,0B9C,164E,32C9,2839,083A,0077,002C,0003
004A,01CE,FD66,FD08,FEC6,9441,000A,0404,0B29,0BCA,15C4,32D7,27A3,0846,008D,0037,0002
004B,01D1,FD68,FD09,FEC3,943A,000A,044C,0A99,0BB0,15D5,3335,27F5,0801,0078,002A,0003
004C,01CF,FD67,FD07,FEC7,944B,000A,0437,0ABF,0B87,1685,3286,27A9,0845,0093,003E,0004
004D,01CF,FD66,FD08,FEC3,9458,000A,0424,0B22,0BBC,1701,3289,26A9,086F,0088,002A,0002
004E,01CF,FD67,FD0C,FEBE,9450,000A,044C,0B14,0BE3,161A,32CA,2716,083F,008F,003E,0007
