Report: 2016-07-19_AA0006_r-031-02.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 031-02
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/18,00:36:02
Report date/time: 2016/08/18,08:36:03
Secs per rec: 0168
# of recs: 0050
Battery level: 02BB
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01D6,FD67,FD0A,FEC1,946A,000A,0417,09DC,091F,1444,2D77,2797,1045,0307,00B1,0009
0001,01D6,FD68,FD0C,FEC3,9472,000A,0477,0AFD,09F7,1684,30A7,275A,0B9E,00A2,003B,0007
0002,01D7,FD66,FD08,FEC7,9451,000A,0450,0ABF,09DD,1647,312E,272D,0BD4,00B2,0039,0004
0003,01D7,FD67,FD09,FEC7,9480,0009,043B,0A93,09D5,163B,3171,2777,0BCE,00B2,003A,0000
0004,01D6,FD67,FD08,FEC6,94A1,000A,044E,0B18,0A62,1590,3125,26C1,0C6F,00AA,0042,0008
0005,01D6,FD68,FD09,FEC3,9484,000A,04C0,0A7F,09FD,167E,3102,26CE,0BF9,00C1,003C,0004
0006,01D6,FD69,FD09,FEC3,9468,000A,0480,0ADE,09D9,1680,3130,26E8,0BDC,0082,0038,0003
0007,01D8,FD66,FD08,FEC3,9461,000A,047B,0ABA,0A32,168F,313D,270E,0B58,008A,003C,0002
0008,01D6,FD69,FD09,FEC0,946C,000A,0455,0ADE,0A25,166B,3186,26B8,0B85,00AB,0038,0003
0009,01D7,FD64,FD08,FEC7,9478,000A,0463,0AB0,09F0,1649,316C,26F5,0BDA,00B2,003C,0003
000A,01D7,FD67,FD08,FEC4,947C,000A,046D,0AF1,09F8,1623,3182,272F,0B67,00AF,0038,0004
000B,01D6,FD67,FD07,FEC3,9498,000A,046E,0AB3,0A42,15FC,30DB,27B7,0BA2,00BD,0042,0006
000C,01D6,FD67,FD07,FEC6,9494,000A,045B,0A89,09E5,1649,30EF,27B1,0BE4,00C8,0031,0005
000D,01D8,FD64,FD0B,FEC6,947A,000A,045F,0A6C,0A6D,15F3,3112,274B,0C14,009F,003A,0005
000E,01D5,FD66,FD08,FECB,9482,000A,0456,0AF1,0A3A,158B,3134,2741,0C05,00B7,003E,0007
000F,01D7,FD67,FD07,FEC7,9459,000A,0428,0A4D,09E7,1630,3142,27B1,0BD9,00BD,0041,0003
0010,01D5,FD69,FD09,FEC0,9468,000A,0447,0AA9,09DE,1606,3145,2791,0BE1,00AB,0031,0001
0011,01D7,FD66,FD07,FEC2,945B,000A,043B,0AB8,09A3,16CA,314B,2792,0B1E,00B0,004C,0004
0012,01D6,FD66,FD07,FEC7,945A,000A,043A,0A63,09E2,1605,315F,27F2,0B91,00B9,002F,000C
0013,01D7,FD64,FD08,FECC,946B,000A,0441,0AF8,09A8,164A,31BB,2701,0B9B,00AD,0037,0005
0014,01D7,FD63,FD0C,FEC7,945C,000A,0448,0A73,0A48,1713,306C,271D,0BD4,00B5,0031,0003
0015,01D6,FD68,FD08,FEC0,948C,000A,0483,0AA7,0A7A,1613,30C8,2786,0BA8,00A7,0030,0008
0016,01D5,FD63,FD08,FEC0,945D,000A,0416,0A8D,099F,1631,313D,27B5,0C04,00B6,0036,0008
0017,01D5,FD67,FD09,FEC6,9473,000A,041D,0AF2,0A2E,15D9,30AF,27A3,0BFC,00BC,0050,0003
0018,01D5,FD63,FD0B,FEC3,9475,000A,0403,0A35,09EC,15D0,30E1,28C4,0BEB,00B6,0039,0002
0019,01D5,FD67,FD07,FEC0,9459,000A,0429,0A69,09EF,1695,313D,27AE,0B72,00A8,003B,0003
001A,01D6,FD64,FD07,FEC1,9463,000A,0404,0AB6,09C6,160C,30BD,28CC,0B63,00AF,0037,0005
001B,01D6,FD67,FD07,FEC0,9459,000A,041A,0A83,09C1,1683,3146,27BC,0B8A,00BF,002B,0002
001C,01D6,FD67,FD09,FEC3,9461,000A,040F,0A8F,09B4,15FF,3176,27F9,0BB0,00C0,002C,0005
001D,01D8,FD67,FD09,FEC3,9476,000A,0444,0A5A,09ED,15B6,3163,2827,0BC5,00A3,0040,0003
001E,01D5,FD67,FD08,FEC7,944F,000A,03E9,0A4E,09CB,1647,321C,27D1,0B51,008E,0035,0005
001F,01D5,FD67,FD0C,FEC0,946D,000A,0433,0A6D,0A22,15CF,3161,2810,0B79,00AF,003C,0007
0020,01D5,FD67,FD08,FEC0,9484,000A,045D,0A70,09F3,1651,314A,2705,0C23,00BD,0040,0004
0021,01D5,FD68,FD0B,FEC1,9481,000A,0421,0AA8,0A38,1674,3147,276A,0B8B,009B,002F,0006
0022,01D5,FD64,FD0C,FEC6,9468,000A,042A,0ADC,0A15,168B,31C0,26F1,0B3C,009A,0035,0006
0023,01D6,FD67,FD0C,FEC3,947F,000A,0420,0AC2,0A2C,167D,3152,270A,0B8E,00BB,0044,000B
0024,01D5,FD66,FD08,FEC1,9468,000A,0421,0A8B,09DE,1612,310F,280E,0BCF,00B2,002C,0002
0025,01D5,FD67,FD0C,FEC3,9481,000A,042C,0AC2,0A0D,165A,3133,2781,0B71,00CF,0037,0001
0026,01D5,FD67,FD09,FEC3,9456,000A,03D9,0A69,09D4,15DE,31ED,27CA,0BD3,00A3,0031,0004
0027,01D5,FD66,FD08,FEC4,9448,000A,041F,0AC2,0A34,16A0,312C,2730,0B5A,00A8,0032,0003
0028,01D5,FD68,FD09,FEC3,9453,000A,0433,0A84,09C3,1652,31FF,274E,0B61,00A3,0030,0006
0029,01D5,FD67,FD0B,FEC3,9488,000A,0457,0B03,0A36,1711,3084,272C,0B40,00BD,0032,0008
002A,01D5,FD66,FD08,FEC1,9454,000A,040C,0AD1,09FE,16C6,31B6,2712,0AFC,00B8,0033,0004
002B,01D5,FD66,FD08,FEC3,9455,000A,0447,0ABB,0A1D,164A,318B,273B,0B3D,00AC,0038,0005
002C,01D3,FD63,FD09,FEC2,9453,000A,0410,0AC6,09A5,166D,31F0,2791,0B08,00AC,0035,0001
002D,01D5,FD67,FD07,FEC4,945B,000A,040A,0AD1,0A00,1651,311C,27DC,0B57,009E,003C,0006
