Report: 2016-07-19_AA0006_r-031-03.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 031-03
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/18,08:36:03
Report date/time: 2016/08/18,16:40:23
Secs per rec: 0168
# of recs: 0050
Battery level: 02B4
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01D5,FD67,FD07,FEC3,945C,000A,0439,0A04,095D,1425,2D46,2730,108E,0303,0092,0004
0001,01D3,FD67,FD07,FEC0,944A,000A,0423,0A9D,0A0A,1677,31D6,26AF,0BAB,00A0,0037,0002
0002,01D3,FD67,FD09,FEC3,946E,000A,04AB,0B16,09CA,1672,3159,2686,0BA4,00B3,0033,0008
0003,01D1,FD67,FD0B,FEC3,9461,000A,04AE,0B39,0A14,16C4,3139,25D3,0BB1,00A9,0033,0009
0004,01D2,FD64,FD09,FEC3,945E,000A,04D7,0B33,0A2D,16C1,30DA,261E,0B95,009E,0035,0006
0005,01D2,FD67,FD07,FEC4,944B,000A,0478,0B28,0A7E,16CE,314C,25DE,0B5B,00B2,0022,0006
0006,01D2,FD66,FD07,FEC6,9455,000A,04B1,0AE8,0A7B,16FC,311D,25D3,0B4E,00BF,0040,0008
0007,01D1,FD67,FD08,FEC6,945D,000A,04B3,0BD2,0A4B,1690,30BD,2631,0B1B,00B8,0035,0007
0008,01D1,FD68,FD08,FEC3,945F,000A,04C5,0AD2,0A42,170D,3156,25C6,0B85,009A,003A,0004
0009,01D1,FD66,FD09,FEC3,9463,000A,0491,0ACE,0A40,162E,30C5,2743,0B91,00BB,003C,0006
000A,01D1,FD67,FD09,FEC6,9453,000A,048E,0B23,0A70,16D6,316B,2567,0B95,00BD,0033,0005
000B,01D1,FD67,FD07,FEC0,9443,000A,04C0,0B5A,0A2B,16A3,313F,2623,0B22,009A,003A,0003
000C,01D1,FD67,FD09,FEC6,9439,000A,0481,0B5E,0A31,16AA,321B,24E5,0B9F,00A6,0031,0009
000D,01D1,FD66,FD08,FEBF,9449,000A,049D,0B42,0A94,1649,3144,25D6,0B77,00C8,0030,0004
000E,01D1,FD66,FD09,FEC0,944E,000A,04C8,0BB2,0A44,16E0,3130,2528,0B60,00BA,0037,0007
000F,01D1,FD67,FD08,FEC7,9468,000A,04EE,0B7A,0A35,1682,3127,2565,0BC8,00A5,0043,000D
0010,01D1,FD67,FD0C,FEC3,9449,000A,04D8,0B7A,0A24,166F,31A8,2584,0B45,00BB,0032,0006
0011,01D1,FD66,FD09,FEC0,9445,000A,04D9,0B6A,0A5D,164B,3127,25EB,0B6E,009C,0032,000C
0012,01D1,FD63,FD09,FEC6,9439,000A,0508,0B2D,0A44,177E,30CB,2530,0B4A,00BE,003C,0003
0013,01D1,FD67,FD08,FEC7,9447,000A,04B7,0B2C,0A15,164D,31AC,25A5,0BB6,00AE,0048,0005
0014,01D1,FD67,FD08,FEC0,9443,000A,049A,0BA3,0A4D,16A0,3119,2605,0B2F,009E,002C,0002
0015,01D1,FD63,FD09,FEC0,943B,000A,04CA,0B5F,09FB,173C,315F,252C,0B63,00B2,0036,0005
0016,01D1,FD63,FD07,FEC0,9427,000A,04C3,0B2F,0A1E,169E,317C,25B4,0B60,009B,0049,0005
0017,01D1,FD66,FD0B,FEC1,9451,000A,04B3,0BEC,0A48,1758,3106,253D,0AF1,00A1,0038,0005
0018,01D1,FD67,FD0C,FEC3,9425,000A,04BA,0B5C,0A61,16F3,317F,2526,0B2E,00A3,0042,0003
0019,01D1,FD66,FD07,FEC3,943E,000A,04B8,0BD8,0A0E,1663,31A0,255B,0B48,00B7,003A,0009
001A,01D1,FD63,FD07,FEC0,9461,000A,04DC,0BA6,0A36,168E,30BE,25B0,0BA9,00BF,0040,0005
001B,01D1,FD64,FD08,FEC6,9437,000A,04A6,0B38,0A5E,16CD,316F,25B0,0B26,00B4,0031,0004
001C,01D1,FD67,FD08,FEC3,9453,000A,0503,0B81,0A64,16C3,30F3,2590,0B19,00B9,0049,000A
001D,01D1,FD67,FD08,FEC0,9439,000A,051F,0B81,0A8E,16F7,3176,247A,0B2E,00C6,002A,0006
001E,01D0,FD67,FD0C,FEC0,9437,000A,04D3,0B48,0A31,1711,3170,2591,0AE6,00AB,0041,0007
001F,01D1,FD66,FD07,FEC1,943D,000A,04E4,0BEC,0A0A,1774,312F,249F,0B55,009D,002C,0003
0020,01CF,FD67,FD08,FEC1,9431,000A,04DC,0B78,0A3A,16BA,31FB,24EA,0B33,0087,0048,0002
0021,01D1,FD67,FD09,FEC3,942B,0009,04F0,0BB9,0A5E,1780,3110,24E6,0AD0,00A8,0036,0000
0022,01D0,FD67,FD0C,FEC3,942B,000A,051C,0BEB,0A48,1738,3148,245F,0B26,009F,0035,0003
0023,01D1,FD69,FD07,FEC4,9442,000A,0531,0BB0,0A8B,176C,3128,2404,0B55,00A5,0040,0004
0024,01D0,FD66,FD0B,FEC0,9441,000A,0502,0BAC,0A78,16E2,3150,2497,0B49,00B8,004C,0005
0025,01D1,FD66,FD09,FEC7,945F,000A,051E,0B82,0A31,1708,30E2,24DF,0BCD,00B5,003D,0006
0026,01D0,FD67,FD08,FEC0,9446,000A,04D2,0C0D,0A39,176E,30AC,24FF,0B23,00AD,003C,0009
0027,01CE,FD67,FD08,FEC0,9448,000A,04F7,0BA1,0A55,1733,31A8,24CE,0AC1,00AB,003D,0009
0028,01CF,FD6B,FD09,FEC1,9432,000A,04CF,0BC2,0A3B,1722,30CA,2550,0B39,009F,0047,000B
0029,01CF,FD67,FD08,FEC3,942E,000A,04D3,0BAB,0AC6,1758,30D9,24E4,0AED,00A9,003B,0004
002A,01D0,FD64,FD08,FEC3,9429,000A,0528,0B75,0A7F,1789,30C8,24DF,0AD4,00BD,0044,0008
002B,01D0,FD66,FD07,FEC0,9436,000A,051B,0C0A,0A29,173D,30FC,2491,0B31,00AA,003E,0005
002C,01D1,FD67,FD07,FEC3,943F,000A,0518,0B53,0A1C,16D9,317E,2548,0B3F,00A1,0038,0001
002D,01D0,FD67,FD07,FEC3,942E,000A,04E1,0BB8,0A77,1788,30FB,2492,0B14,00B0,0042,0003
002E,01D0,FD64,FD0C,FEC3,9431,000A,0554,0BF4,0A08,1764,310D,242B,0B49,00AE,0048,0006
002F,01CE,FD67,FD07,FEC1,941C,000A,04E4,0C3B,0A0A,175F,3203,23BD,0AEA,00A6,0041,0003
0030,01CE,FD65,FD09,FEC0,9445,000A,0550,0C0D,0A76,17C2,30C5,23D4,0B21,00B6,003B,0005
0031,01CF,FD6C,FD08,FEC0,944A,000A,0527,0BE8,0A7C,1773,31C4,2397,0ADA,00C3,004C,0008
0032,01D1,FD67,FD07,FEC6,9449,000A,0568,0BF8,0A6D,170A,310C,241A,0B28,00C5,005A,0005
0033,01CE,FD67,FD0B,FEC3,9422,000A,04D1,0C00,09D4,172A,3137,24E5,0B33,00BB,003F,000A
0034,01D1,FD68,FD07,FEC3,9418,000A,0513,0B91,0A2F,1711,3134,24CA,0B40,00B1,003C,0009
0035,01D1,FD67,FD0B,FEC4,9440,000A,0512,0C04,0A6A,16F0,3187,24D0,0AA1,0091,0040,0007
0036,01CE,FD67,FD08,FEC3,9441,000A,051D,0BE4,0A40,16EC,304E,2541,0B8B,00B8,003C,0006
0037,01CE,FD67,FD07,FEC3,942F,000A,0530,0BCF,0A76,1760,3106,2418,0B43,00B3,003C,000A
0038,01CE,FD66,FD08,FEC6,942A,000A,0522,0C07,0A96,1716,30FF,241F,0B55,009E,0039,000B
