Report: 2016-07-19_AA0006_r-032-03.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 032-03
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/19,08:43:21
Report date/time: 2016/08/19,16:43:24
Secs per rec: 0168
# of recs: 0050
Battery level: 02BA
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01D0,FD64,FD07,FEBF,9427,000A,03BC,098A,0910,1421,2DC5,2763,10AC,0320,00AA,0012
0001,01D0,FD67,FD0C,FEC1,9425,000A,04B2,0AE1,09DC,1756,31AC,25A8,0B20,00A9,0041,0002
0002,01D1,FD66,FD09,FEC3,9415,000A,044F,0B4A,0A13,1706,3149,25B2,0B73,00B3,003F,0003
0003,01CE,FD64,FD0B,FEC3,9427,000A,043D,0AED,0A28,1765,321B,2512,0B49,00B3,0041,0006
0004,01CE,FD66,FD08,FEC3,942A,000A,0478,0B02,0A18,16BF,31D6,25A1,0B71,00B2,003E,0001
0005,01CF,FD67,FD07,FEC3,9413,000A,045B,0AB2,09E0,16C6,3193,2631,0BAA,00AD,003D,0008
0006,01CE,FD66,FD08,FEC3,9427,000A,0489,0AD9,09F7,1795,31B7,255D,0B43,00AF,0029,000A
0007,01CE,FD67,FD0B,FEC1,942D,000A,0483,0AFC,0A52,180A,3141,24FB,0B36,009F,003D,0004
0008,01D0,FD68,FD09,FEC3,9418,000A,0482,0B06,0A22,177A,3183,259F,0AE6,009B,0047,000A
0009,01CD,FD67,FD07,FEC6,93ED,000A,0445,0B43,0A8A,1797,323B,24C5,0A56,009C,004B,0007
000A,01CE,FD67,FD09,FEC0,9405,000A,0481,0ADE,0AAB,1712,322C,24E7,0B08,009A,002D,0007
000B,01CE,FD66,FD07,FEC3,940C,000A,044B,0B23,0A31,1771,31BA,24DA,0B7C,00A8,003F,0005
000C,01CE,FD67,FD08,FEC3,9417,000A,0474,0AFC,09D7,176F,326E,24B9,0B6B,0091,0038,0006
000D,01CD,FD67,FD08,FEC4,940E,000A,0477,0AD8,09BE,17B8,3197,2586,0B3B,00AA,0041,0006
000E,01CE,FD6C,FD08,FEC1,93F2,0009,0455,0AEB,0A64,170F,326A,255F,0AA9,00A0,002D,0000
000F,01CE,FD67,FD07,FEC3,9402,000A,04B6,0B48,09E8,17EC,3218,2418,0B0F,00B4,0036,0007
0010,01CE,FD67,FD07,FEC3,9437,000A,04AB,0AEA,0A53,179C,30FC,2542,0B99,009D,003A,0005
0011,01CE,FD67,FD0C,FEC3,9401,000A,046A,0B07,09FF,1818,3249,2455,0B05,0096,0038,0008
0012,01CE,FD67,FD07,FEC3,9415,000A,04FA,0BB4,0A20,17C2,3227,23E3,0AA7,0085,0049,0006
0013,01CE,FD63,FD07,FEC4,942B,000A,04C2,0B7D,0A1C,186B,3202,23D2,0AA8,00A5,0038,000C
0014,01CE,FD68,FD09,FEC6,9406,000A,04A8,0B46,0AA1,177E,31CF,2482,0AD9,0096,0035,0004
0015,01CC,FD67,FD07,FEC1,9408,000A,04EC,0B1F,0A19,181B,318D,2476,0AE0,00A3,0040,0003
0016,01CD,FD67,FD0B,FEC7,941B,000A,0510,0B7A,0A2D,17CD,319B,23E6,0B49,009C,0030,0001
0017,01CE,FD67,FD07,FEC3,9438,000A,0533,0BC5,09EF,18A0,31B9,22DA,0B41,00B8,001E,0007
0018,01CE,FD67,FD08,FEC1,93EF,000A,04A0,0B87,09EB,181B,3205,2402,0AB0,00A4,005D,000A
0019,01CC,FD67,FD07,FEC1,93FB,000A,04D0,0BAE,0A76,17F6,318A,238C,0B0B,00A4,0040,000C
001A,01CC,FD67,FD0C,FEC3,9421,000A,048E,0BAF,0A07,17E0,322A,23F5,0B00,0094,0042,0008
001B,01CC,FD67,FD09,FEC0,941B,000A,04E8,0B63,09F9,1785,31F9,243B,0B42,008A,004B,0007
001C,01CC,FD67,FD08,FEC1,9413,000A,04C6,0B48,0A6A,1829,3131,245F,0B09,009F,002F,000B
001D,01CC,FD67,FD09,FEC0,93FA,000A,048D,0B1C,09F8,1798,329D,2432,0B04,00A4,0044,0006
001E,01CC,FD64,FD08,FEC7,93F2,000A,04B8,0B94,0A18,17BF,31F6,2467,0A96,0094,0040,0008
001F,01CC,FD67,FD08,FEC0,93FE,000A,044E,0AFF,0A11,172E,31C1,25B8,0B17,00A8,0030,000A
0020,01CC,FD67,FD09,FEC3,9401,000A,046C,0B34,0A1C,178B,3190,2538,0B20,00A3,002E,0001
0021,01CD,FD70,FD07,FEBE,93ED,000A,0444,0B45,0A56,171A,3220,24D2,0B2F,00A4,002C,0003
0022,01CC,FD64,FD09,FEC0,9410,000A,048C,0B1A,0A56,17A8,3156,2510,0B14,00B6,0037,0005
0023,01CC,FD64,FD08,FEC6,9404,000A,0462,0B1D,0A14,178B,32AA,24F0,0A56,00BC,0038,0002
0024,01CC,FD68,FD0B,FEC3,9402,000A,0477,0B09,0A36,17D2,32B7,2453,0A90,00AA,002D,0009
0025,01CC,FD67,FD0A,FEC1,940C,000A,0460,0B67,0A64,1734,3388,23B2,0A95,009A,003E,0006
0026,01CC,FD67,FD09,FEC0,93EF,000A,0465,0B6B,0A93,1761,326A,246F,0A7A,008C,003F,000D
0027,01CC,FD67,FD09,FEC6,940A,000A,04BD,0C1C,0A70,1851,31E7,2370,0A49,008B,003F,0006
0028,01CC,FD67,FD07,FEC4,9405,000A,04AF,0B57,0AAF,185A,32EE,22C8,0A57,00A2,0041,0006
0029,01CC,FD67,FD09,FEC7,9417,000A,04C3,0B47,0A69,189F,3270,2369,0A63,008C,0036,0007
002A,01CC,FD68,FD08,FEC3,940A,000A,04B8,0B98,0A4C,17CA,3170,2448,0AEB,00C0,003A,0007
002B,01CC,FD67,FD07,FEC6,9429,000A,04DF,0B8C,0A9F,181E,31AF,2386,0AEC,00A3,003A,0003
002C,01CC,FD67,FD08,FEC0,93FD,000A,04D0,0B50,0A55,1892,32E2,2316,0A1B,00AA,0035,0004
002D,01CC,FD66,FD08,FEC6,9410,000A,050F,0B60,0A35,17A3,31C8,24A4,0A79,0092,004B,0007
002E,01CC,FD67,FD08,FEC3,93FE,000A,04E7,0BB6,0A86,18BA,32AC,224E,0A4C,009A,003D,0004
002F,01CC,FD66,FD08,FEC1,93EC,000A,04F4,0BA3,0A9D,1898,3267,2206,0ABA,00A7,004E,0004
0030,01CC,FD66,FD09,FEC0,93E6,000A,04FE,0BC6,0A6D,183F,31F0,22C4,0ADD,009B,0047,0003
0031,01CC,FD67,FD08,FEC1,9404,000A,04FA,0BC0,0A27,18AC,31C1,2307,0AED,0088,0036,0004
0032,01CB,FD63,FD09,FEC3,93FC,000A,0547,0BEB,0A4B,18F1,322D,222B,0A41,00AD,0043,0005
0033,01CC,FD67,FD06,FEC0,93F5,000A,053F,0BE7,0A1E,1855,324B,2257,0AD6,009E,0040,0006
0034,01CC,FD67,FD08,FEC3,940E,000A,04FE,0B89,0A76,184A,31EA,22FF,0B01,00A4,0035,0004
0035,01CC,FD66,FD07,FEC6,941A,000A,0559,0C1D,0AB1,18E3,31F1,2196,0A92,00A0,004D,000A
0036,01CC,FD67,FD04,FEC6,93EA,000A,0554,0BE3,0A60,1853,3249,2235,0A94,009F,0046,0009
0037,01CC,FD67,FD08,FEC1,93F5,000A,04F8,0C30,0A94,186A,32CE,21D0,0A62,0090,003D,0002
0038,01CC,FD66,FD07,FEC3,940E,000A,0577,0C20,0A02,1940,31C2,221D,0A77,0097,003E,000A
0039,01CB,FD67,FD0C,FEC3,93F2,000A,0558,0BF3,0A78,18BB,32C1,21B8,0A22,0096,003E,0005
003A,01CC,FD63,FD0C,FEC3,940C,000A,0546,0C94,0A59,1931,319B,216C,0AA5,00A3,004F,000A
003B,01CC,FD66,FD0B,FEC0,93F5,000A,054B,0C32,0A75,18F4,3253,213C,0A9C,00A1,003C,0007
003C,01CC,FD64,FD09,FEC6,93EE,000A,055D,0C30,0A9C,1900,32A0,20B9,0A8E,00A8,002F,0007
003D,01CA,FD66,FD08,FEC1,93EC,000A,0571,0C54,0A79,1974,3161,2167,0A9E,009B,0034,0005
003E,01CC,FD67,FD08,FEC3,9414,000A,0578,0C4B,0A5F,1912,321D,2145,0A7B,00B6,004C,0001
003F,01CB,FD63,FD0B,FEC3,940D,000A,0579,0C47,0A63,190C,31D8,2195,0A9F,0091,003A,0007
0040,01CB,FD66,FD09,FEC1,93F3,000A,0572,0C17,0A56,183F,324E,222C,0A83,009A,003D,0001
0041,01CB,FD63,FD09,FEC6,93ED,000A,0578,0BFF,0A6D,18BF,321E,2186,0AB2,00A8,0045,0007
0042,01CB,FD67,FD07,FEC6,9402,000A,056B,0C35,0A35,194C,3287,2128,0A56,009C,0038,0008
0043,01CC,FD68,FD0C,FEC1,9400,000A,056A,0CA1,0AC8,18D4,320B,2166,09FE,0095,004B,000A
0044,01CC,FD67,FD0B,FEC6,940E,000A,05A9,0C7B,0A72,1984,3254,2050,0A68,009E,0040,000A
0045,01CC,FD66,FD08,FEC6,942D,000A,055D,0C01,0A2E,18EA,32B6,2151,0ABA,00AA,003E,000E
0046,01CC,FD69,FD07,FEC3,93F9,000A,0544,0C52,0A36,18E1,3278,21D4,0A56,007B,002C,0003
0047,01CC,FD69,FD07,FEC4,940A,000A,04DE,0BE3,0A3E,18B5,32C7,22C5,0A26,008E,0015,0001
0048,01CC,FD69,FD0C,FEC0,93FC,000A,04D4,0B93,0A46,185F,3282,22E4,0AB0,00AC,0029,0005
0049,01CB,FD66,FD08,FEC3,93F2,000A,04AC,0B54,0A96,188E,3236,2303,0AAC,0095,0047,000D
004A,01CB,FD67,FD07,FEC3,93E5,000A,0477,0B67,0A5C,185B,3323,22BF,0A9E,0097,002E,000B
004B,01CC,FD66,FD0C,FEC1,93F2,000A,049D,0AB8,0A29,17CB,32D5,2472,0A8F,0091,003B,0007
004C,01CB,FD63,FD0B,FEC0,93FD,000A,047E,0AD7,0A4F,181E,3223,24B7,0A6B,00AB,0045,0006
004D,01CB,FD65,FD07,FEC3,9401,000A,0496,0AE0,0A5B,17AB,3260,2465,0AC4,00A5,004D,000A
004E,01CC,FD67,FD09,FEC1,9400,000A,0481,0AD3,0A5F,1721,32CB,24A5,0AE4,0098,0038,0008
004F,01CC,FD67,FD07,FEC3,93EB,000A,045D,0AA1,0AB6,1730,320E,25B0,0A58,00A3,004A,0004
