Report: 2016-07-19_AA0006_r-033-02.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 033-02
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/20,00:43:28
Report date/time: 2016/08/20,08:43:30
Secs per rec: 0168
# of recs: 0050
Battery level: 02B9
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01CE,FD66,FD07,FEC3,942D,000A,0359,095D,0893,1465,2D1D,27D5,113C,039D,00A8,000C
0001,01CE,FD67,FD08,FEBF,9444,000A,03CC,0A42,0998,1698,31A1,2726,0C66,00A2,0034,0003
0002,01CF,FD69,FD08,FEC0,9406,0009,0400,0A4B,09FC,16BB,30FF,275A,0BAD,00C9,0035,0000
0003,01CD,FD67,FD09,FEC3,940A,0009,03D8,0A13,09E6,161E,3189,27B8,0BE7,00BE,0035,0000
0004,01CE,FD66,FD08,FEC7,9432,000A,046D,0AB3,09E5,1770,320A,2557,0B81,0098,0041,0002
0005,01CE,FD64,FD0B,FEC0,9429,000A,0433,0A66,09FC,16CA,325F,261A,0B8C,0097,0027,0007
0006,01CE,FD66,FD08,FEC1,941B,000A,03CF,09FE,09A1,164D,31AE,27BD,0C13,00A5,0038,0005
0007,01CE,FD67,FD07,FEC6,940E,000A,0401,0A42,09E6,168F,321B,268B,0BD6,00A2,0033,0005
0008,01CE,FD66,FD09,FEC1,9429,000A,03A8,0A13,0A06,16C0,31CF,2706,0BD9,00B5,0040,0005
0009,01CF,FD63,FD07,FEC3,9411,000A,03E6,0993,0997,1600,3105,28C0,0C5B,00A3,003C,0002
000A,01CE,FD68,FD07,FEC0,9429,000A,03E2,09B0,0A16,1684,30C4,281E,0C32,00A7,003C,0006
000B,01CD,FD67,FD08,FEC1,9431,000A,03BF,0A49,09E5,15E6,30D1,28B5,0BE2,00BC,0037,0003
000C,01CE,FD67,FD07,FEC0,9417,000A,03DA,09C6,0A1A,15E2,3158,2890,0BB2,00A9,0034,0004
000D,01CD,FD67,FD09,FEC3,9422,000A,03DC,09FA,09C0,15D4,3197,2887,0BCB,0094,0035,0006
000E,01CC,FD67,FD09,FEC6,941D,000A,03D5,0A06,09EE,16F1,31D2,26FC,0BB4,00AC,002E,0007
000F,01CD,FD67,FD09,FEC0,941B,000A,03F1,0A08,09F0,16D0,3113,27A1,0BCC,009E,003F,0005
0010,01CD,FD67,FD0E,FEC0,943B,000A,0418,0A2E,09E4,16DA,3189,2783,0B49,00A0,003B,0007
0011,01CD,FD66,FD09,FEC6,9408,000A,03B8,0A0A,09B3,1647,3183,27F0,0BEC,00AD,003B,0005
0012,01CE,FD67,FD0A,FEC2,940D,000A,03F2,0A08,09B2,1644,3221,2799,0B91,009B,0032,0005
0013,01CC,FD63,FD07,FEC3,9415,000A,03BE,0997,096A,160D,31AE,28A5,0C0A,00B7,0032,0003
0014,01CE,FD67,FD0C,FEC0,9423,000A,03A7,098A,099D,161C,3230,2843,0BD1,00B3,003E,0004
0015,01CD,FD67,FD0C,FEC1,9424,000A,03B5,0A1E,09BD,1620,311B,283A,0C29,00BC,0037,0003
0016,01CD,FD64,FD0B,FEC2,940F,000A,037F,09B7,0968,1638,3196,286A,0C51,00A4,0041,0003
0017,01CC,FD67,FD0C,FEC1,940D,000A,037F,0997,097D,15B1,312A,2947,0C68,00AB,0040,0005
0018,01CD,FD67,FD0C,FEC1,9407,000A,0366,098D,09BC,159D,3169,2917,0C4C,00AA,003D,0008
0019,01CD,FD66,FD09,FEC3,93FD,000A,03D6,0978,09DA,15D6,316A,28C0,0BF0,00A5,003E,0002
001A,01CD,FD64,FD0C,FEC7,9407,000A,03D1,0A01,09B9,15F3,3138,2893,0BEA,00A6,002B,0003
001B,01CC,FD66,FD0C,FEBC,9412,000A,03D0,09C2,09C3,15DC,3185,28D1,0BB7,00A2,002E,0004
001C,01CC,FD63,FD07,FEC3,93E6,000A,03BD,097A,0A0A,1587,3192,28BE,0BDF,00AF,0037,0009
001D,01CC,FD64,FD0C,FEC0,93F2,000A,036F,098D,09FC,1606,3163,28B7,0BDF,00B8,003F,0004
001E,01CD,FD68,FD0B,FEC3,9411,000A,0375,09B4,09CC,1615,3147,28EC,0BEA,00AD,003C,0001
001F,01CC,FD67,FD08,FEC1,93F1,000A,037C,08EF,099E,164B,3173,298B,0B9E,00C6,0039,0002
0020,01CC,FD67,FD08,FEC3,93EA,000A,0394,0965,0A22,1653,30EA,2923,0B8E,00A1,003B,0005
0021,01CC,FD63,FD0C,FEC0,93E0,000A,037E,0A02,09AA,163A,3242,2844,0B22,0096,0037,0007
0022,01CC,FD64,FD0C,FEC0,93E2,000A,039D,090F,0A09,15CC,3187,294B,0BBF,0091,003A,0005
0023,01CC,FD67,FD07,FEC4,93E7,000A,037A,0953,09CB,164D,30DF,2964,0BCC,00B4,003C,0003
0024,01CC,FD67,FD09,FEC4,93FB,000A,0369,093E,0989,15B5,3154,29F8,0BED,00A5,0034,0004
0025,01CC,FD67,FD09,FEC3,93E2,000A,036C,094C,09A2,1609,31A2,2992,0B4E,00C0,0038,0005
0026,01CC,FD69,FD07,FEC3,9410,000A,038F,0955,09C3,15EE,30FF,2936,0C76,009E,002E,0004
0027,01CC,FD63,FD09,FEC0,940C,000A,0369,0968,09B8,15F6,31B5,29B3,0B45,00A6,0034,0006
0028,01CC,FD66,FD0C,FEC0,9407,000A,03B0,09B7,09F4,156F,32A3,2890,0B32,00A3,0031,0004
0029,01CC,FD64,FD09,FEC0,93F7,000A,035F,096D,09EA,15BB,322E,2938,0B5C,008B,0038,0001
002A,01CC,FD67,FD07,FEC0,940C,000A,0348,098D,0A08,158D,3177,298C,0BC4,00A2,0037,0002
002B,01CC,FD66,FD0A,FEC1,9401,000A,038E,0930,09E1,15B7,30D8,2A0B,0BE1,00B4,0030,0003
002C,01CC,FD66,FD08,FEC0,93E6,000A,038D,09B2,0A25,1567,320F,28AA,0B86,00AD,0029,0006
002D,01CC,FD64,FD07,FEC6,940A,000A,03A9,0968,0999,15A4,3226,28C1,0C02,0094,003A,0005
002E,01CC,FD67,FD0C,FEC3,9409,000A,03AE,099C,0A12,15E5,3233,2856,0B50,00A7,0041,0007
002F,01CA,FD67,FD08,FEC3,940A,000A,038F,097E,0A02,15F7,3220,28C8,0B45,0099,003D,0001
0030,01CB,FD67,FD0B,FEC3,93CE,000A,036B,0985,0A46,15E2,3164,2908,0B74,00A1,0032,0003
0031,01CB,FD64,FD09,FEC3,93E2,000A,0372,0983,0A2F,15A1,31E4,28F2,0B6E,009D,0039,0003
0032,01CC,FD64,FD04,FEC0,93DA,000A,0345,099D,0A4D,158E,3171,293D,0B98,00AC,0025,0006
0033,01CA,FD67,FD07,FEC0,93EA,000A,0347,09B7,0A35,1626,3196,28E9,0B2B,00AB,0033,0009
0034,01CB,FD66,FD0C,FEC3,93D0,000A,036E,0955,0A6B,1591,311D,298D,0B9B,009D,002B,0004
0035,01CB,FD67,FD07,FEC1,93DF,000A,035F,097B,0A15,1561,3175,29E4,0B68,0094,0039,0001
0036,01CB,FD67,FD0E,FEBF,93CE,000A,035F,098C,0A12,15B2,31DE,28DF,0B8B,0096,003A,0007
0037,01C8,FD67,FD07,FEC3,9400,000A,0349,097D,0A61,15B5,323C,290C,0AF7,00A8,0039,0004
0038,01CA,FD67,FD08,FEBF,9409,000A,0356,0959,0A3B,1541,3173,2A3E,0B4D,00A4,003A,0002
0039,01CB,FD67,FD0B,FEC0,93F9,000A,036F,0995,0A22,14E0,31FD,299F,0B7C,00A1,0035,0005
003A,01CB,FD66,FD0C,FEC3,93E6,000A,0362,08FB,09E2,151E,312E,2ACF,0BC6,00A7,001D,0002
003B,01CA,FD67,FD09,FEC0,93CC,000A,0331,08ED,0A20,14EF,31C7,2A83,0B70,00A8,003B,0002
003C,01CA,FD66,FD0C,FEC3,93FE,000A,037A,08F3,09C4,1510,31A0,2A84,0BA9,00B1,0037,0008
003D,01C9,FD69,FD07,FEC3,93EF,000A,031D,0960,0A5B,1621,31CB,297B,0AE1,0096,0034,0005
003E,01CA,FD67,FD08,FEC3,93F2,000A,036A,09F1,09FF,150B,322D,294D,0B42,00A3,002A,0004
003F,01CA,FD63,FD08,FEC0,93CE,000A,0364,098A,0A54,1552,31B7,29A9,0B41,0082,0016,0001
0040,01CA,FD66,FD11,FEC3,93E4,000A,0367,0945,09DE,15F8,3168,2A07,0B43,0090,001B,0005
0041,01CA,FD67,FD08,FEC3,93D2,000A,0383,09CE,0A50,15AE,31D5,2912,0ACB,008A,0039,000E
0042,01CA,FD68,FD07,FEC3,93D2,000A,037D,0942,0A2C,15AA,31F1,295B,0B21,0096,0033,0007
0043,01C9,FD64,FD07,FEC1,93FB,000A,035B,097F,09BC,156A,31FC,2926,0BF0,00AB,0037,0007
0044,01C9,FD67,FD0F,FEBF,93ED,000A,0377,0997,0A04,15A7,3201,28DB,0B62,00BD,0035,0004
0045,01C7,FD67,FD09,FEC3,93DA,000A,0394,09FE,0A01,15D2,3280,27FA,0B1F,0097,0040,0005
0046,01C8,FD67,FD0C,FEC0,93CD,000A,03AE,0A09,0A8E,1652,312D,2836,0B04,0095,0036,0004
0047,01C9,FD63,FD04,FECE,93E9,000A,039C,09A7,0A72,1659,32AA,27BD,0A85,00B5,0036,0004
0048,01C8,FD64,FD0B,FEBE,93C5,000A,039A,0A21,0A78,167B,31B8,27C7,0ABE,008F,0046,0005
0049,01C9,FD67,FD08,FEC3,93DE,000A,03A0,0A97,0AA4,16AD,31D1,2748,0A63,00A4,0033,0003
004A,01C9,FD63,FD0A,FEC4,93D2,0009,03B2,0A2C,0A8A,1680,315E,27DE,0AFB,008B,0028,0000
004B,01C8,FD67,FD07,FEC4,93E7,000A,03AF,09F9,0AC7,1670,31FF,277B,0ABC,009C,0033,0003
004C,01C9,FD63,FD09,FEC1,93DD,000A,03CF,09CC,0A16,1644,324C,2771,0B4B,00A9,0031,0006
004D,01C7,FD63,FD08,FEC1,93C6,000A,039C,098F,0A1A,15D8,322D,2882,0B1E,009E,003D,0001
004E,01C7,FD63,FD0B,FEC3,93C7,000A,038B,0987,0A55,1603,3203,27FD,0B86,0090,003B,000C
004F,01C7,FD67,FD07,FEC1,93CB,000A,038C,09CC,0A81,163B,31FF,27A8,0B38,009B,0038,0005
TurtleSense 0.2503 -- CC 4.0 BY-SA NerdsWithoutBorders.Net
--end of report--
