Report: 2016-07-19_AA0006_r-034-02.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 034-02
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/21,00:43:37
Report date/time: 2016/08/21,08:43:40
Secs per rec: 0168
# of recs: 0050
Battery level: 02B8
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01C7,FD66,FD09,FEC3,93D4,000A,0328,084A,0919,12F0,2DBB,2A15,10AB,0324,00AC,000E
0001,01C8,FD64,FD09,FEC7,9404,000A,0352,099B,09C1,14C6,30F2,2B17,0BAC,00AA,002E,0003
0002,01C8,FD67,FD07,FEC1,93DC,000A,033B,09A0,0A5A,155A,315C,29F1,0B1D,00B1,0030,0002
0003,01C9,FD63,FD07,FEC0,93EE,000A,0360,090F,09CE,1533,31A8,2A5E,0BA0,0096,003D,0005
0004,01C8,FD68,FD0C,FEC2,940B,000A,0333,091F,09CA,1591,315F,2A7E,0BB0,0092,0038,0007
0005,01C7,FD66,FD09,FEBE,93EA,000A,0368,09FE,0A52,15BA,315E,2914,0B46,0083,003B,0002
0006,01C8,FD66,FD09,FEC6,93CE,000A,037C,0968,0A95,1548,31FD,293C,0AFC,009B,0038,0005
0007,01CA,FD67,FD08,FEC1,93BF,000A,0373,093A,0A75,151A,308F,2AB2,0B4C,00AE,0045,0003
0008,01C8,FD67,FD07,FEC6,93E5,000A,0340,0959,0A06,14B9,31CD,29FF,0BE1,009A,003F,0007
0009,01C9,FD69,FD0B,FEC0,93F0,000A,0369,0950,09B6,148D,30FA,2B07,0C12,0098,0042,0007
000A,01C7,FD67,FD09,FEC3,940C,000A,0397,090E,0A0B,14F9,3151,29F7,0C2A,00B5,003A,0002
000B,01C7,FD64,FD0B,FEC0,93D9,000A,0321,0934,09DE,1514,316D,2A99,0BAF,0091,0044,0008
000C,01C8,FD66,FD0C,FEC2,93E8,000A,034D,095F,0A01,14B5,3180,2ABD,0B69,00AA,0035,0001
000D,01C7,FD67,FD08,FEC1,93D1,000A,038E,0900,0A27,14C8,30F1,2AE0,0B91,00AF,0041,0002
000E,01C7,FD66,FD0B,FEC3,93F1,000A,0344,08F0,09FB,14B7,3212,2A61,0BC8,00A0,002E,0002
000F,01C7,FD64,FD0C,FEC3,93EE,000A,0344,090E,09CB,14AD,31A5,2A8A,0C04,00B0,003E,0003
0010,01C7,FD67,FD09,FEC6,940D,000A,0319,095C,099C,1584,315C,2A3F,0BFE,00A9,002F,0007
0011,01C7,FD67,FD0B,FEC6,93ED,000A,0351,08CA,0991,151A,30CA,2B34,0C41,00B6,002E,0004
