Report: 2016-07-19_AA0006_r-035-02.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 035-02
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/22,00:43:47
Report date/time: 2016/08/22,08:43:50
Secs per rec: 0168
# of recs: 0050
Battery level: 02B8
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01CF,FD64,FD07,FEC3,9425,000A,0371,0897,07A3,13EA,2D6B,28C3,122A,037C,00B0,000C
0001,01CE,FD64,FD09,FEC3,9439,000A,0418,09EC,08F7,1720,30ED,27BD,0C87,00A7,0040,0006
0002,01CE,FD64,FD08,FEBF,944B,000A,03BA,094A,08CF,1634,318F,28CA,0CED,00B5,0047,0002
0003,01CC,FD66,FD09,FEC3,942E,000A,03E0,0979,08D6,1654,3133,28A2,0CE5,00B1,003A,0006
0004,01CE,FD68,FD09,FEC2,9424,000A,03DF,099F,0883,169A,319E,2811,0D14,00A1,0021,0004
0005,01D0,FD67,FD0C,FEC0,9414,000A,0406,0997,08C1,15EF,318B,28AD,0C98,00BD,0039,0001
0006,01CE,FD63,FD0E,FEC0,9437,000A,03D2,09B9,08BE,1667,31C5,284D,0CA6,0095,0036,0004
0007,01CE,FD67,FD0C,FEC1,943A,000A,0410,09BA,0950,1644,30A2,28D1,0C63,00C6,003E,0002
0008,01D0,FD63,FD0B,FEC0,9432,000A,040E,0969,091E,15CB,3197,2936,0C30,0098,0039,0004
0009,01CE,FD67,FD09,FEC3,941F,000A,03FC,0942,08FA,1698,314B,2875,0C9E,00AE,003C,0007
000A,01CF,FD67,FD08,FEC3,9417,000A,03D6,096D,08FD,16D6,315C,281A,0C8E,00AF,0047,0007
000B,01CD,FD61,FD07,FEC7,9417,000A,03B1,0914,08BF,1658,30E0,2988,0CEB,00A7,003F,0002
000C,01CE,FD67,FD0B,FEC3,941D,000A,0391,0941,091E,15C1,318C,2957,0C83,00C6,003F,0001
000D,01D1,FD67,FD0C,FEC3,942F,000A,03E9,0970,08C7,164D,3152,2891,0CD2,00C4,0042,0007
000E,01D0,FD67,FD08,FEC6,9411,000A,03C1,0980,0936,154E,31A5,290B,0C9A,00B1,004B,0006
000F,01CE,FD67,FD08,FEC1,9435,000A,03B0,0986,08C5,1614,3150,295A,0CA3,00A5,002E,0006
0010,01D0,FD67,FD09,FEC7,9435,000A,03B7,096C,08C5,15E5,3139,2957,0CEB,00B3,0036,0004
0011,01CF,FD66,FD0F,FEBF,942B,000A,03ED,095C,08E1,158F,3195,290E,0CEF,00A9,0035,0002
0012,01CE,FD67,FD0E,FEC6,942F,000A,0388,094A,086D,1583,3155,2A8B,0CAA,00AB,0033,0005
0013,01CF,FD66,FD09,FEC0,944A,000A,03B8,0907,08B2,1544,3158,2A0C,0D3E,00BB,0034,0004
0014,01CE,FD64,FD09,FEC0,942A,000A,03C6,0967,0904,1579,30C2,2990,0D32,00BA,0039,0009
0015,01D0,FD67,FD0B,FEC3,940E,000A,03B0,08F5,089C,151E,30F2,2ACA,0D0C,00B0,0033,0004
0016,01CE,FD63,FD06,FEC3,9410,000A,03C0,0972,08C2,1590,31A3,2982,0C8A,00A5,0032,0006
0017,01CE,FD63,FD0F,FEC0,9412,000A,0384,0973,089F,15C0,314B,29F3,0C90,00BC,002F,0003
0018,01CE,FD66,FD08,FEC3,9410,000A,03A5,093B,089E,156E,314B,29D1,0D1A,00AF,0037,0008
0019,01CE,FD66,FD0C,FEC3,93F5,000A,0389,096C,08B1,1507,30B3,2B02,0C9F,00B9,0037,0004
001A,01CF,FD65,FD09,FEC2,942C,000A,03D3,0967,084C,14F4,3163,2ACF,0C96,00A1,0042,0007
001B,01CE,FD67,FD08,FEC0,941B,000A,039E,090A,08C8,156D,311E,2A93,0CBC,008E,003C,0007
001C,01D0,FD64,FD0B,FEC0,940D,000A,039A,09A3,08EA,15AE,3071,2A09,0CBA,00B3,0047,000A
001D,01CE,FD67,FD09,FEC0,941F,000A,03E9,091D,0891,1579,3187,29D6,0CAE,00B3,0047,000A
001E,01CE,FD65,FD0A,FEC0,942D,000A,03CD,09A9,0892,1540,30AA,2A58,0CE2,00CF,002F,0003
001F,01CE,FD66,FD0C,FEC3,9443,000A,03B6,0968,08BE,15DC,30E4,29BE,0CFF,00AC,003B,0003
0020,01CD,FD64,FD08,FEC6,9417,000A,038B,092C,08E0,150D,31E6,29BD,0CF4,00A8,0030,0004
0021,01CE,FD65,FD0B,FEC0,941D,000A,03B3,0929,08D6,1503,31E7,29EC,0C87,00C0,004B,0003
0022,01CE,FD67,FD07,FEC3,9435,000A,03AF,0943,086E,15F7,3097,2A7B,0CE2,00B7,002D,0006
0023,01CE,FD67,FD08,FEC3,9427,000A,03CF,0910,0873,15A5,3187,29E4,0CB3,00D5,0035,0008
0024,01CE,FD67,FD0C,FEC0,940B,000A,03C5,08EA,08C8,15F8,3187,29C3,0C68,00A6,003F,0005
0025,01CE,FD66,FD0F,FEC0,9416,000A,03BF,094E,08D2,15B5,30E8,2A52,0C6F,00A0,0034,0005
0026,01CE,FD67,FD0C,FEC1,9449,000A,03E1,0953,08AD,1570,315C,29B8,0CDB,00C3,0041,0005
0027,01CE,FD67,FD07,FEC2,9428,000A,03BE,0963,08B5,151C,3007,2AD0,0D5B,00B8,0044,0008
0028,01CE,FD63,FD08,FEC3,943B,000A,03A2,08EE,08D7,1591,30E2,2A88,0CE8,00AA,0042,0005
0029,01CD,FD64,FD09,FEC3,942F,000A,039E,0958,08B4,156D,3180,29A6,0D0D,00AC,0035,0004
002A,01CE,FD67,FD07,FEC3,9414,000A,03B7,0971,08F2,15D2,3153,297D,0C79,00AA,0033,0002
002B,01CD,FD67,FD08,FEC6,942B,000A,0416,0928,08AB,15AA,3247,28BB,0CBC,0090,0043,0007
002C,01CD,FD67,FD07,FEC1,940B,000A,038A,0990,08BF,1602,31A0,294F,0C64,00A3,0037,0003
002D,01CC,FD67,FD08,FEC4,940E,000A,03D8,08E8,08E3,15E3,30DD,2A3F,0C79,00BA,0032,0007
002E,01CE,FD67,FD08,FEC1,942E,000A,038E,0935,086A,155A,316B,2A5F,0CEB,00B2,0036,000A
002F,01CD,FD67,FD0C,FEC3,942E,000A,03BE,0916,08E5,155A,317F,2A26,0C71,00C8,003A,0003
0030,01D0,FD67,FD0C,FEC6,941E,000A,0395,092A,0854,1568,30FF,2A53,0D7C,00A5,002C,0004
0031,01CD,FD64,FD09,FEC6,9409,000A,03B0,091E,08A0,15C3,3155,2A1A,0C75,00AC,0043,0005
0032,01CE,FD66,FD08,FEBF,940C,000A,0395,090A,08CA,150E,3180,2A6E,0CAE,00B6,003F,0004
0033,01CD,FD67,FD08,FEC3,9426,000A,037C,092A,0860,14EE,313F,2AE7,0D28,00A8,0034,0008
0034,01CC,FD66,FD0C,FEC3,9416,000A,03BE,08F8,08AE,15D3,310A,29CB,0D24,00A8,003C,0002
0035,01CC,FD63,FD0B,FEC0,93FD,000A,038D,094D,08D4,157C,31C9,298E,0C97,00AC,0031,0008
0036,01CC,FD66,FD09,FEC1,9409,000A,03E6,0965,0901,15BC,310A,2956,0C9D,00B6,0048,0006
0037,01CC,FD67,FD0B,FEC3,9427,000A,03B1,0971,0894,15C4,316A,29C4,0C93,00A7,003F,0006
0038,01CC,FD67,FD08,FEC0,9426,000A,039A,08E7,0851,1526,310B,2B03,0D40,00B1,002E,0001
0039,01CD,FD63,FD08,FEC3,9409,000A,03A1,0915,0879,156F,3184,2A1A,0CE0,00B0,0038,0005
003A,01CC,FD66,FD0C,FEC3,9420,000A,03BE,0959,0852,1519,30E7,2AA6,0D26,00B8,002F,0004
003B,01CC,FD67,FD08,FEC1,941A,000A,03B9,098B,08C0,15B6,3157,299E,0C8A,00A8,0035,0004
003C,01CC,FD67,FD09,FEC7,9424,000A,039A,0922,08BB,1551,31F5,299C,0CCC,00C0,003B,0004
003D,01CC,FD63,FD07,FEC4,9401,000A,0396,08BF,0894,14F2,3129,2B1E,0CF9,00A6,003A,0006
003E,01CC,FD67,FD09,FEC0,9409,000A,03AB,0892,08BB,14D7,3104,2B07,0D4F,00AA,0033,0003
003F,01CC,FD67,FD08,FEC3,9403,000A,03AF,0911,084A,1530,3182,2AF7,0C66,00A5,0037,000E
0040,01CC,FD64,FD08,FEC3,9436,000A,039C,0918,0859,15A0,3119,2A81,0D2A,00AB,0018,0002
0041,01CC,FD67,FD0C,FEC0,93FA,000A,03FC,08CB,08A2,1439,30FC,2BA5,0D0A,0096,0014,0003
0042,01CC,FD63,FD09,FEC3,9429,000A,035B,092A,0882,14D6,30E0,2B3F,0D34,00AD,0045,0007
0043,01CC,FD67,FD0A,FEC3,9407,000A,0391,08CE,0888,1493,30F5,2B96,0D29,00AC,0027,0006
0044,01CC,FD66,FD09,FEC1,93FB,000A,03B5,0901,08E7,14FE,3155,2A6A,0CB2,00AA,0041,0004
0045,01CC,FD67,FD0B,FEC0,9404,000A,0391,08DE,0860,153E,3107,2B10,0CFD,00A6,0035,0008
0046,01CC,FD66,FD0B,FEC0,93FF,000A,03A4,0901,08CC,1521,3188,2A84,0C6D,00B3,003C,0005
0047,01CC,FD63,FD0C,FEC3,9406,000A,03B7,0925,0899,1597,30CE,2A14,0D4C,0099,002E,0005
0048,01CC,FD64,FD0B,FEC3,9415,000A,0390,0919,0939,1517,3191,29A1,0D11,009F,0036,0004
0049,01CC,FD63,FD0C,FEC1,941A,000A,03EF,097C,087A,15BB,310D,2977,0D18,00AB,002E,0005
004A,01CC,FD65,FD0B,FEC3,93F8,000A,0414,0931,0902,1584,3128,299F,0C98,008B,003B,0008
004B,01CC,FD66,FD09,FEC7,9417,000A,038F,0925,08CB,1540,314F,2A13,0D3A,008C,002F,0001
004C,01CA,FD63,FD09,FEC3,941C,000A,03BF,092D,0888,1584,3174,2A03,0CD0,0097,0040,0006
004D,01CC,FD64,FD0C,FEC3,9415,000A,0390,0936,08C3,1530,3153,2A51,0CD5,009F,0040,0004
004E,01CC,FD64,FD09,FEC3,9405,000A,03E7,0989,0874,165E,314C,2950,0C46,00A1,003F,0001
004F,01CC,FD67,FD07,FEC6,9405,000A,03B0,09CA,08E2,1589,319D,2936,0C5F,00B4,0033,0007
TurtleSense 0.2503 -- CC 4.0 BY-SA NerdsWithoutBorders.Net
--end of report--
