Report: 2016-07-19_AA0006_r-035-03.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 035-03
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/22,08:43:50
Report date/time: 2016/08/22,16:43:54
Secs per rec: 0168
# of recs: 0050
Battery level: 02B8
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01CC,FD65,FD0B,FEC1,941C,000A,035C,0878,0816,1378,2E98,2976,1141,02D0,0087,0014
0001,01CB,FD6F,FD09,FEC0,93ED,000A,03E6,0924,08D8,1596,3235,28AC,0C95,00BD,003B,0007
0002,01CA,FD69,FD0C,FEC0,9429,000A,03A5,0951,088F,15EC,30C9,2A32,0CEC,00A7,0026,0004
0003,01CC,FD67,FD0B,FEC4,93FD,000A,03C1,0996,089C,15C8,317B,2974,0C7D,0096,0039,0007
0004,01CC,FD67,FD08,FEC3,9414,000A,0379,090F,08AE,16BA,314B,291D,0CCC,00A6,0043,0007
0005,01CB,FD63,FD09,FEC1,93FA,000A,03AD,0932,0906,14F3,3103,2A2F,0D06,00BA,002C,0004
0006,01CA,FD64,FD0B,FEC3,9416,000A,03B6,0940,086A,15A4,318B,2971,0D2C,00A0,0041,0009
0007,01CB,FD63,FD08,FEC0,9406,000A,03B3,0951,0921,1536,30C8,2A65,0C93,00B1,0036,0004
0008,01CB,FD67,FD0B,FEC3,942C,000A,03BD,0944,0891,15A8,3134,29C6,0CF9,00B3,0044,0008
0009,01CA,FD66,FD0B,FEC3,93F7,000A,0398,0903,08BB,1577,3188,29EE,0CC9,00AC,003A,0005
000A,01CA,FD67,FD0B,FEC0,9408,000A,03A6,0952,088B,15C9,3163,29FF,0C6F,00B7,0031,0003
000B,01CB,FD66,FD08,FEC1,9408,000A,039B,095B,08AE,15DF,3211,2958,0C2E,00A5,0046,0003
000C,01C9,FD67,FD0E,FEC3,93EA,000A,0396,0929,08A9,153A,31BB,29B9,0CE9,00B4,0033,0004
000D,01CA,FD67,FD08,FEC1,93EC,000A,03C5,09A8,08F4,15D0,313E,299F,0C11,0099,002F,0005
000E,01CA,FD66,FD0C,FEC3,93EA,000A,03AD,0915,08E7,1588,313D,29C1,0CB3,00CB,003C,0001
000F,01C9,FD66,FD09,FEC0,93F0,000A,039F,0968,08DB,1546,310E,2A70,0C55,00B5,0038,0008
0010,01CA,FD67,FD0C,FEC2,93D9,000A,038B,0918,08E6,152D,30EB,2AA3,0C9B,00B5,0041,0004
