Report: 2016-07-19_AA0006_r-036-01.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 036-01
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/22,16:43:54
Report date/time: 2016/08/23,00:43:59
Secs per rec: 0168
# of recs: 0050
Battery level: 02B7
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01C7,FD67,FD0C,FEC0,9409,000A,0386,0893,07F0,13BF,2DCF,29EA,1076,0364,009B,0013
0001,01C9,FD66,FD07,FEC3,93DD,000A,03C7,0938,094D,15B8,3125,29B2,0C21,00AA,0030,0007
0002,01C9,FD67,FD08,FEC0,93DD,000A,03B1,0999,0927,15B8,30FF,29C7,0C21,008F,0033,000B
0003,01CA,FD63,FD07,FEC0,93FB,000A,03F4,0953,08AD,1589,3265,2974,0BCE,008C,0046,0005
0004,01C9,FD64,FD0D,FEC0,93FF,000A,03C6,097F,08BA,1541,31B4,29F2,0C36,009A,0045,0004
0005,01CA,FD63,FD0B,FEC4,940F,000A,03AD,095D,0892,154C,3110,2AC3,0C8B,0088,003D,0004
0006,01CA,FD67,FD0C,FEC6,93EA,000A,03AC,093F,0903,148B,317A,2AA6,0C57,00AF,0045,0006
0007,01C8,FD63,FD0C,FEC3,93EB,000A,03E2,0948,08B5,152A,3233,29B2,0C13,00A2,0043,0005
0008,01C9,FD63,FD0C,FEC3,9402,000A,03D5,096A,08E3,14C2,3227,29C4,0C67,009A,002F,0003
0009,01CA,FD69,FD09,FEC0,9405,000A,03C5,08F9,0896,14B8,3205,2AAD,0C4A,00AB,0048,000A
000A,01CA,FD68,FD09,FEC1,93E3,000A,03BA,08C9,08FE,1451,314B,2B3B,0C95,00BE,002F,0009
000B,01CA,FD67,FD09,FEC0,93EC,000A,0392,0958,08F4,14EC,31DE,2A4C,0C0D,00A8,003C,0007
000C,01CA,FD60,FD0C,FEC1,940E,000A,039C,0918,0889,14DA,31CF,2AEF,0C5D,0099,0042,0001
000D,01CA,FD67,FD0C,FEC1,93EC,000A,03A1,08E3,08CE,14E3,314C,2B14,0C68,00AB,003C,0008
000E,01CB,FD67,FD08,FEC3,93F0,000A,0383,09AC,0901,147F,31C8,2A7E,0C08,00AC,0043,0004
000F,01CA,FD63,FD08,FEC3,93DC,0009,03B4,0931,0915,14BB,3195,2AEF,0BE6,0080,003D,0000
0010,01CB,FD67,FD0B,FEC0,93F6,000A,03CB,0936,0965,1493,307D,2B4D,0C51,00A6,0037,0005
0011,01CC,FD63,FD0B,FEC0,9417,000A,03CB,0A2C,09C1,15F3,315E,28BA,0B6A,009E,0047,0005
0012,01CB,FD63,FD08,FEC7,93F5,000A,03B2,095C,0903,1535,316A,2A76,0BD2,00B6,0043,0004
0013,01CA,FD61,FD08,FEC3,9403,000A,03DB,0954,094E,14C5,3187,2A67,0BEF,009A,003E,000C
0014,01CB,FD67,FD08,FEC3,9417,000A,03E8,092E,0898,148D,30F9,2B7E,0C7D,00A6,0039,0009
0015,01CB,FD65,FD09,FEC3,93ED,000A,039F,0989,0958,14AF,3137,2AB7,0BEF,009B,0043,0003
0016,01CC,FD64,FD07,FEC7,93FC,000A,0400,0971,0963,1570,3198,29C6,0B75,00AB,0036,0004
