Report: 2016-07-19_AA0006_r-036-02.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 036-02
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/23,00:43:59
Report date/time: 2016/08/23,08:44:02
Secs per rec: 0168
# of recs: 0050
Battery level: 02B7
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01CE,FD64,FD09,FEC3,9428,000A,032E,07A1,06FF,122E,2E12,2CF9,1154,032C,0096,000B
0001,01CE,FD67,FD0C,FEC0,942E,000A,0396,082F,078D,13A6,317D,2D14,0DBF,00B0,0032,0004
0002,01CC,FD67,FD0B,FEC4,9441,000A,03AA,082E,0759,133A,31A6,2E17,0D1A,00B1,004B,0003
0003,01CE,FD66,FD0B,FEC0,9443,000A,0398,084F,07B5,13A7,317D,2D81,0D1C,00A6,003D,0003
0004,01CE,FD67,FD08,FEC1,9443,000A,03C9,08A1,07B0,1430,31D9,2CAD,0CA0,00A6,002C,0001
0005,01CF,FD64,FD09,FEC1,941C,000A,03D2,08BA,080B,14AA,3148,2C5B,0C51,00A4,003D,0006
0006,01CE,FD67,FD08,FEC4,9440,000A,03C8,08BA,081D,14BC,3152,2BDF,0CD5,00A2,0036,0007
0007,01CD,FD67,FD0B,FEBC,9433,0009,03E0,08E7,07AC,145D,3202,2BC7,0C99,00C2,003F,0000
0008,01CE,FD67,FD08,FEC1,9409,000A,03C5,0910,0830,141D,31E5,2BCF,0C47,00BB,002F,0002
0009,01CE,FD63,FD0C,FEC3,9431,000A,03E2,08D9,0774,13EA,322C,2C69,0C8E,00A3,004E,0004
000A,01CE,FD67,FD08,FEC0,9429,000A,03B5,08A5,07F3,1454,317A,2C71,0CC7,0093,003C,0007
000B,01CE,FD67,FD09,FEC6,9401,000A,03BC,08BD,0874,13D2,31FD,2BA1,0CC1,00A2,003C,0005
000C,01CE,FD64,FD0B,FEC2,941F,000A,03C0,08DF,07FA,1470,312D,2C65,0CC2,0093,0028,0007
000D,01CE,FD67,FD08,FEC3,943D,000A,0397,0874,07BD,13E3,3259,2C68,0D11,0096,0028,0002
000E,01CE,FD66,FD0B,FEC3,9418,000A,0403,08D7,07EE,13F5,31CF,2C27,0C8B,0095,0040,0005
000F,01CE,FD67,FD0C,FEC4,9412,000A,03AB,087E,07D9,132A,31F4,2D11,0CCF,00BB,0053,0004
0010,01CE,FD66,FD0C,FEC1,941E,000A,03D4,08C3,07C4,13E8,3181,2D29,0C46,00B3,0034,0004
0011,01CD,FD67,FD0B,FEC0,9436,000A,0381,08C6,07CC,1335,3237,2D08,0CB4,00B5,0044,0002
0012,01CD,FD63,FD06,FECF,943E,000A,03B9,0890,078E,13E8,319A,2CA6,0D32,00C0,0048,0005
