Report: 2016-07-19_AA0006_r-038-01.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 038-01
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/24,16:44:15
Report date/time: 2016/08/25,00:44:19
Secs per rec: 0168
# of recs: 0050
Battery level: 02B5
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01C0,FD63,FD0C,FEC1,938D,000A,0443,076D,0527,14E5,3434,287C,0E06,0282,008B,000E
0001,01C0,FD63,FD0C,FEC1,93A2,000A,04BE,084F,055C,1656,387B,2881,0926,0079,0041,0007
0002,01C0,FD67,FD0A,FEC0,939D,000A,04B0,0821,0576,16AD,3809,2918,08CE,0085,0031,0004
0003,01C0,FD63,FD0C,FEC4,93AA,000A,04C4,0812,059C,1616,38B9,2868,092F,0072,0056,000A
0004,01C0,FD63,FD0B,FEC1,9380,000A,04A6,0842,05A8,16A5,386B,285E,08AE,0084,004B,0005
0005,01C2,FD63,FD0C,FEC0,939B,000A,0497,07D8,0583,1633,38F6,28EE,08B2,0091,004C,0003
0006,01C0,FD64,FD0F,FEC3,9381,000A,0462,0869,0601,1671,388D,2846,08A2,008A,0041,0004
0007,01BE,FD60,FD0C,FEC3,9395,000A,048D,0889,05D3,16DA,37FB,2879,089D,0081,003A,0006
0008,01C0,FD63,FD0E,FEBF,939F,000A,04D7,0875,05C0,16BE,37E9,286D,08C8,0075,003C,0006
0009,01C0,FD66,FD0B,FEC3,93A4,000A,04D6,0807,059E,1732,37F4,287A,08BB,0085,0042,0007
000A,01C1,FD60,FD0C,FEC3,9383,000A,04A8,0894,05C7,1707,3855,2846,082C,0073,0037,0008
000B,01C0,FD64,FD08,FEC1,938B,000A,046C,088F,05B2,16C3,3816,286B,08B4,0096,004C,0004
000C,01C1,FD66,FD0C,FEC3,9399,000A,047B,0869,0589,1694,3875,2882,08C2,009A,0040,0005
000D,01C0,FD67,FD0C,FEC3,93CE,000A,0461,0800,0569,16CE,3888,290C,08DD,007E,003D,000A
