Report: 2016-07-19_AA0006_r-038-02.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 038-02
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/25,00:44:19
Report date/time: 2016/08/25,08:44:23
Secs per rec: 0168
# of recs: 0050
Battery level: 02B5
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01C4,FD63,FD0B,FEC3,93CF,000A,045F,07BB,0510,14B2,33EE,26CA,0EE7,038D,00BF,0008
0001,01C4,FD63,FD0C,FEC0,93B0,000A,0508,08EF,05D3,172F,38C1,2663,08C3,0081,004A,0005
0002,01C4,FD61,FD0F,FEC1,93CD,000A,054E,08A4,05E5,1723,38C0,25F7,095A,0088,0037,0003
0003,01C3,FD64,FD0C,FEC1,93BF,000A,04D8,08E9,057C,171B,39F5,25DE,08C8,0086,0044,0002
0004,01C4,FD63,FD11,FEC3,93CC,000A,0528,0873,05C0,173E,3908,2683,0900,0072,0030,0006
0005,01C3,FD67,FD0E,FEC1,93E1,000A,050B,0870,05A1,16F8,386B,2728,098D,006E,003E,0001
0006,01C4,FD66,FD0F,FEC6,93CC,000A,051E,08C3,0557,1772,3913,2652,08FC,0089,0034,0004
0007,01C3,FD61,FD0C,FEC0,93D5,000A,0504,08A9,0568,16CB,38D6,2730,092D,008B,0033,0004
0008,01C3,FD63,FD0C,FEC3,93D7,0009,04EF,089D,0602,17A6,392D,258D,092A,0082,003D,0000
0009,01C3,FD61,FD0E,FEC4,93BE,000A,0533,08B4,05BD,17BD,3910,25C1,08BE,0085,0046,0003
000A,01C3,FD61,FD0C,FEC4,93BF,000A,04E1,08D3,05C6,16C8,39BB,2664,08B4,0072,0034,0004
000B,01C4,FD61,FD0B,FEC0,93B2,000A,051E,0910,05F7,17A3,387F,265D,0857,0079,0038,0006
000C,01C4,FD63,FD0B,FEC0,93DF,000A,054F,0884,057D,179A,38FA,2644,08FA,0088,002F,0006
000D,01C3,FD61,FD0C,FEC1,93D6,000A,04F7,0844,057A,1772,3967,2648,0939,0086,0039,0008
000E,01C4,FD63,FD0C,FEC0,93DC,000A,04E7,0892,05A8,1734,3936,269F,08ED,008B,0035,0005
000F,01C4,FD66,FD0B,FEC3,93C9,000A,04E8,08B5,0593,1753,38EF,268D,08F5,008D,0047,0001
0010,01C4,FD67,FD0C,FEBF,93AD,000A,0511,092E,05D4,1756,3861,2642,08CD,008C,0045,0003
0011,01C3,FD63,FD0C,FEC0,93B6,000A,04FB,08AF,05D8,16F7,3925,265D,08EC,008D,003F,0003
0012,01C4,FD67,FD0B,FEC0,93A2,000A,0551,08F4,05FD,173F,38FC,260F,085B,0084,0036,0001
0013,01C4,FD63,FD0C,FEC6,93BE,000A,0515,0854,05CA,17B4,38D7,2677,08B8,008A,003F,0008
0014,01C5,FD63,FD0A,FEC3,93C6,000A,0504,089B,05D6,1770,38E6,2663,08F0,0070,0036,0002
0015,01C3,FD63,FD0C,FEC1,93D3,000A,04AA,0857,0596,1709,38FF,2743,092E,0085,0039,0005
0016,01C3,FD63,FD08,FEC1,93B2,000A,0520,08D8,05E7,1747,383F,267E,0903,008B,003F,0002
0017,01C3,FD64,FD0C,FEC3,93B3,000A,052C,089F,05B6,1793,39CC,2597,0873,0086,0041,0002
0018,01C3,FD63,FD0C,FEC4,93AD,000A,0508,08AB,0609,17B6,3907,255E,0919,0082,0037,0004
0019,01C3,FD61,FD0C,FEC3,93A0,000A,057D,08EB,0611,181C,3936,2474,089B,0085,003E,0003
001A,01C4,FD66,FD09,FEC0,93AF,000A,0509,089A,05B6,17E8,3978,25A7,089A,0080,0034,0001
001B,01C3,FD64,FD0E,FEC0,93AD,000A,04F3,08CE,05E0,174E,38E4,2653,08BC,008F,003A,0002
001C,01C3,FD63,FD0F,FEC0,93B9,000A,054C,08C8,05B9,1835,3977,2515,0869,0085,003C,0001
001D,01C4,FD67,FD0C,FEC1,93D1,000A,0527,08C1,0582,175F,3998,25BE,08E6,0088,0043,0001
001E,01C3,FD63,FD0F,FEC0,93C8,000A,0532,0896,0565,1809,3981,253E,0928,0074,0031,0006
001F,01C3,FD66,FD0C,FEC6,93B7,000A,0521,08BA,0597,17C4,3937,259E,08FF,007D,002C,0004
0020,01C3,FD66,FD0C,FEC0,9396,000A,0515,0973,0637,173F,3936,250A,0889,008E,003D,0004
0021,01C3,FD61,FD0C,FEC3,939E,0009,052A,092D,0644,177B,3940,2506,086E,009E,0036,0000
