Report: 2016-07-19_AA0006_r-039-03.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 039-03
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/26,08:44:33
Report date/time: 2016/08/26,16:44:36
Secs per rec: 0168
# of recs: 0050
Battery level: 02B6
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01C7,FD63,FD0C,FEC6,93C3,000A,049F,07E2,0599,1516,33FC,2799,0DD2,02A5,0081,0006
0001,01C5,FD63,FD0C,FEC7,93D8,000A,04E2,08B5,05E1,1743,3917,25A3,0996,008E,0038,0007
0002,01C6,FD63,FD0C,FEC1,93B8,000A,0504,08C9,05C9,1738,390F,25B6,0953,008E,003F,0005
0003,01C4,FD60,FD0C,FEC0,93D0,000A,0509,088E,05E2,16D4,38F2,2663,0960,0081,0044,0009
0004,01C4,FD61,FD0F,FEC0,93CE,000A,04F9,0958,063B,1625,3848,264F,09B9,0092,0036,0005
0005,01C4,FD63,FD0A,FEC0,93EC,000A,051E,093C,0610,1674,3820,265E,09B8,008C,0044,0008
0006,01C6,FD67,FD0C,FEC3,93D1,000A,04C5,0944,0649,1620,3812,26D3,099B,008B,0048,000C
0007,01C4,FD63,FD0C,FEC3,93B6,000A,04E7,097D,06D1,15AB,380C,26DE,0909,0096,0048,0005
0008,01C4,FD61,FD0B,FEC3,93D3,000A,04B3,08D9,067A,15FF,3836,2729,098F,008D,0050,0003
0009,01C4,FD63,FD0C,FEC3,93E4,000A,04DE,095C,0689,167C,37FD,260C,09D2,007B,0046,0009
000A,01C4,FD63,FD0C,FEC3,93D6,0009,04C9,092E,06B7,15B1,37CD,26F2,09CD,00A9,0042,0000
000B,01C6,FD63,FD08,FEC3,93AA,000A,04E5,096A,06D8,163A,379F,26DC,0911,007E,0037,0008
000C,01C4,FD61,FD0B,FEC0,93D9,000A,04D3,08D8,0702,15CA,384A,26A0,0999,0096,0043,0006
000D,01C4,FD64,FD08,FEC7,93E1,000A,04EC,0913,06C2,157A,37E4,26ED,0A02,008F,003E,0006
000E,01C4,FD60,FD09,FEC3,93E3,000A,04C2,08E3,06B2,15A0,377F,27CA,09DD,007C,0043,0007
000F,01C4,FD61,FD0C,FEC3,939D,000A,0494,0916,06F4,15E5,37FA,26AD,09A9,008D,0035,0008
0010,01C6,FD65,FD0E,FEC3,93CE,000A,04FA,0981,06D7,1528,37DF,2743,0963,0082,0048,0005
0011,01C4,FD63,FD0C,FEC0,93E1,000A,04EB,08DF,06CA,15B0,37C3,2757,09A5,009A,003D,0007
0012,01C3,FD61,FD0C,FEC3,93B1,000A,04CF,0951,075D,1505,37BB,26F3,09AD,0080,004D,0007
0013,01C4,FD63,FD0F,FEC3,93C7,000A,0491,0948,0707,1596,37BC,272C,09A3,007A,0043,0009
0014,01C3,FD64,FD09,FEC0,93BE,000A,04A3,0970,0761,15A3,3779,26A1,09B1,008F,0045,0008
0015,01C4,FD61,FD0C,FEC3,939C,000A,04C4,09CF,07A5,15CF,370C,2668,095D,008C,0032,0006
0016,01C3,FD64,FD0C,FEC3,93D1,000A,04ED,0906,0708,15DD,372E,2740,099F,009D,004B,0004
0017,01C3,FD64,FD0F,FEC3,93AE,000A,04E8,097F,06F5,156A,3838,2680,095F,0075,0051,000B
0018,01C4,FD63,FD09,FEC3,93A1,000A,04BF,0964,0749,1628,37B4,25E3,09A3,007D,004D,0009
0019,01C3,FD63,FD0C,FEC7,93A4,000A,04A6,0996,0723,15D6,3704,2704,098E,0083,004C,000A
001A,01C3,FD63,FD0B,FEC3,93CA,000A,04D7,09CB,070C,14F4,37B7,26D8,09BE,0081,0052,0008
001B,01C3,FD61,FD0C,FEC3,93A5,000A,04C6,0934,0734,1580,37B1,26EE,099A,0077,0040,0007
001C,01C3,FD63,FD0A,FEC3,93AC,000A,04D8,09BC,0713,153B,3838,2658,095F,0093,0042,0006
001D,01C3,FD63,FD0C,FEC6,93C0,000A,04C6,09BA,073E,153B,36B2,271F,09F5,00B1,0046,000A
001E,01C3,FD61,FD08,FEBE,93C9,000A,04ED,0985,06EE,15C7,3799,268A,09A2,0088,004A,000B
001F,01C3,FD61,FD0C,FEC1,93B8,000A,0502,094B,06DB,1578,3789,270B,09BA,0079,004D,0004
0020,01C3,FD67,FD0C,FEC0,93B2,000A,049C,094D,070F,15FC,37BE,26B7,097A,0077,004E,000A
0021,01C2,FD63,FD0C,FEC1,93A7,000A,04B9,097C,0718,1560,37E3,2680,09A8,009D,0046,000C
0022,01C2,FD61,FD0C,FEC3,93A0,000A,050A,0938,0748,15B7,383A,25E4,096A,008C,0045,0006
0023,01C3,FD61,FD0B,FEC1,93A1,000A,04E9,096C,073E,157C,3743,26D1,0981,00B3,0040,000A
0024,01C2,FD62,FD0C,FEC6,939F,000A,04B5,093E,0731,15D5,37A5,262D,09E1,009B,0053,0005
0025,01C3,FD63,FD09,FEC0,93B2,000A,04D9,093B,071A,1563,3796,2727,0977,0095,0050,0008
0026,01C3,FD63,FD0E,FEC3,93A5,000A,04C1,096D,06FF,157A,375A,2789,093F,0091,003A,0011
0027,01C3,FD64,FD0B,FEC4,93A8,000A,0490,0968,072D,154F,37ED,26EB,097A,0086,004B,0011
0028,01C2,FD63,FD0C,FEC0,93BA,000A,04B7,09C3,07A2,1574,37AD,2676,0947,0085,0039,0002
0029,01C3,FD63,FD0B,FEC6,93C9,000A,0497,0999,0753,156B,3685,2791,0A05,0079,0042,0005
002A,01C3,FD66,FD09,FEC3,93C6,000A,04C8,098A,0762,158D,36DB,26F4,09C5,009A,0051,0006
002B,01C3,FD61,FD0E,FEC3,939B,000A,04C0,0932,0778,1524,376F,2760,0975,0087,0039,0009
002C,01C3,FD61,FD0C,FEC0,9395,000A,04B2,0963,0751,1569,37A9,26E2,0975,0077,004B,0004
002D,01C3,FD63,FD0C,FEC2,93A1,000A,04CE,099C,0706,14FB,375A,2742,09D9,0075,0041,000B
002E,01C1,FD63,FD08,FEC7,939F,000A,0467,0935,0715,1527,376C,27C5,09C8,007C,004D,0005
002F,01C2,FD63,FD0C,FEC3,93CE,000A,04B1,0922,0701,1532,374C,274E,0A59,0093,003B,0007
0030,01C2,FD66,FD0C,FEC3,93D3,000B,08F3,0707,14FA,3732,27E6,0A29,007F,004E,0005,0001
0031,01C1,FD67,FD0C,FEC0,93DC,000A,04AC,096B,0730,1559,371F,27AA,0991,0094,0046,0008
0032,01C3,FD61,FD0F,FEC0,93BE,000A,04C1,0925,0752,15B9,36BD,271C,0A23,007E,004F,0004
0033,01C3,FD63,FD0C,FEC3,93A9,000A,04C8,0908,071E,160E,3775,26AE,09B6,008F,003E,0007
0034,01C2,FD63,FD0C,FEC0,93A3,000A,049F,0992,0784,15B5,36FA,26AA,09A5,0099,004D,000A
0035,01C2,FD61,FD0C,FEC0,93AE,000A,04C7,098C,0734,1552,371A,2724,09B3,009A,0043,0007
0036,01C3,FD63,FD0C,FEC4,93A8,000A,04B4,094B,0735,157C,3708,2778,09B5,0080,0039,000A
0037,01C4,FD63,FD0F,FEC0,93B7,000A,04A0,093B,0741,15C7,3751,278B,0930,008D,002D,000E
0038,01C3,FD60,FD0C,FEC3,93C7,000A,04D9,093A,06DF,153C,3712,2762,0A2D,00A2,0052,0004
0039,01C3,FD63,FD0C,FEC3,93D1,000A,0476,092E,071B,1573,36D9,27BB,0A39,0084,0044,000A
003A,01C3,FD60,FD0C,FEC0,93B7,000A,0492,08FD,06FD,14C4,37B3,2868,0974,008C,0046,0006
003B,01C3,FD61,FD0E,FEC0,93BF,000A,04BF,095B,0734,155C,3737,2753,09AF,009B,003F,0002
003C,01C3,FD63,FD0C,FEC3,9398,000A,04C2,0974,0763,1515,37D5,26C6,0985,0080,0045,0005
003D,01C3,FD61,FD0C,FEC3,93C0,000A,04B8,08F0,06C5,1502,37A1,27AA,0A22,0099,0047,0004
003E,01C2,FD63,FD08,FEC7,93B7,000A,048C,09BF,0722,156D,373C,2714,09C3,0085,003E,0007
003F,01C3,FD63,FD0B,FEC6,93B1,000A,049D,09B9,06E5,151F,37FB,26A6,09C4,009A,0050,0008
0040,01C3,FD64,FD0B,FEC3,939B,000A,04EE,0979,06FF,157D,3732,26E8,09C3,0099,003C,0006
0041,01C1,FD61,FD0E,FEC0,93B8,000A,04BA,0972,071E,1555,3765,2730,09BB,0080,0042,0007
0042,01C3,FD66,FD08,FEBF,93CA,000A,04F4,0965,06B8,153C,378D,270F,0A1F,008E,002C,0008
0043,01C3,FD60,FD08,FEC6,93AB,000A,04BF,0931,072F,1516,3734,27BC,09EE,007C,001B,0001
0044,01C4,FD66,FD09,FEC3,93CD,000A,04B3,0957,06C5,1572,36EB,284D,09C2,007A,0017,0001
0045,01C4,FD63,FD0E,FEC0,93C5,000A,04AF,0997,0713,1564,378A,26FD,09CF,007B,0029,000E
0046,01C4,FD61,FD0B,FEC0,93B2,000A,04B8,0976,076D,14B6,3740,27A5,09A6,0087,0049,0006
0047,01C3,FD63,FD0B,FEC3,9393,000A,049A,0958,06EA,159B,37C7,2718,098A,0082,0029,0008
0048,01C4,FD63,FD09,FEC4,938F,000A,049D,0909,0762,15A0,37B4,26D1,098A,008C,0044,0008
0049,01C3,FD60,FD0E,FEC3,93A4,000A,04CD,0986,0758,14E2,3814,2708,0936,0078,0047,0006
004A,01C4,FD63,FD0C,FEC3,93A4,000A,04CE,0977,0787,156E,3732,273F,0938,0077,0044,0006
004B,01C4,FD61,FD0C,FEC3,93C4,000A,04B3,09F8,070E,15DD,3757,267F,098B,0087,003F,0007
004C,01C4,FD63,FD0C,FEC0,93B2,000A,04C2,0990,0722,14FF,378B,27A8,094C,0076,0042,0008
004D,01C4,FD61,FD09,FEC3,93A3,000A,04A9,09BC,072E,1505,3739,2727,09E5,0087,0036,0009
004E,01C4,FD64,FD0C,FEC6,93B2,000A,04AF,0920,06FD,14FD,37A2,2774,0A0A,007B,004A,0004
004F,01C4,FD63,FD0C,FEC1,93AE,000A,049E,0963,073C,15AA,376B,270E,0983,008D,003B,0003
TurtleSense 0.2503 -- CC 4.0 BY-SA NerdsWithoutBorders.Net
--end of report--
