Report: 2016-07-19_AA0006_r-040-01.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 040-01
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/26,16:44:36
Report date/time: 2016/08/27,00:44:40
Secs per rec: 0168
# of recs: 0050
Battery level: 02B5
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01C4,FD60,FD0C,FEC3,93B4,000A,0461,0869,0641,1363,3356,2901,0E0D,0260,007B,0007
0001,01C4,FD61,FD0C,FEC3,93C7,000A,0466,092B,0756,1592,36F9,27C3,09C1,0083,0044,000A
0002,01C4,FD63,FD09,FEC1,93E9,000A,0475,0921,06F6,159B,3721,27C4,09E0,00A7,0053,0003
0003,01C4,FD63,FD0C,FEC1,93DB,000A,04C6,08FB,068E,15B0,375D,2819,0991,0080,0050,0005
0004,01C4,FD63,FD0C,FEC6,93D4,000A,04DB,0948,0705,15FE,36F1,26FF,09F7,0079,0046,0008
0005,01C6,FD67,FD0C,FEC3,93E1,000A,04E7,08D2,066A,159F,3848,2731,09EB,0081,0034,0006
0006,01C6,FD63,FD0F,FEC6,93D1,000A,04AD,08E4,06DE,156C,37C5,276C,09E4,0090,0046,000B
0007,01C6,FD61,FD11,FEBF,93C7,000A,04AB,08BF,06B8,15AD,374B,2816,09D6,007A,003B,000C
0008,01C4,FD63,FD0E,FEC3,93E9,000A,0485,08C2,067C,15AA,375F,2864,09E9,0079,004C,000B
0009,01C7,FD63,FD0C,FEC7,93ED,000A,04AD,08DF,065A,1556,37DD,2848,09BB,0089,0044,0004
000A,01C6,FD63,FD0B,FEC7,93C3,000A,0470,08DF,0672,15A8,3759,286E,09B7,008E,0042,000C
000B,01C6,FD61,FD09,FEC6,93E1,000A,04A3,0904,0669,1574,3864,2788,09A3,0089,0040,0005
000C,01C7,FD63,FD09,FEC0,93ED,000A,04C0,0901,0679,1586,37CB,27BE,09D2,0087,0040,000B
000D,01C6,FD63,FD0C,FEC3,93E0,000A,04E1,08C4,06B0,1579,3778,2851,097C,008A,003B,0008
000E,01C6,FD63,FD0C,FEC6,93C8,000A,047C,08DB,06AD,15B8,37E5,27A2,09B5,008A,0041,0005
000F,01C7,FD63,FD0C,FEC0,93F2,000A,047B,08D4,06D6,1564,3707,28BF,09D1,008A,0043,0005
0010,01C7,FD63,FD09,FEC3,93E3,000A,047E,0908,06C6,14CF,37E1,2893,0978,008E,0042,000C
0011,01C6,FD61,FD0C,FEC0,93FC,000A,04AF,0872,066C,154E,37C0,28F7,099B,008B,003F,0005
0012,01C6,FD66,FD0C,FEC1,93E8,000A,04B7,08DE,064A,15C5,3867,2787,098A,008F,003B,0002
0013,01C7,FD67,FD0A,FEC6,93C9,000A,04B5,08D7,06DE,1543,3816,27D7,0958,008B,004B,0001
0014,01C7,FD63,FD0C,FEC1,93F5,000A,04BA,08D7,0606,15E0,387F,275C,09C2,0090,004A,0007
0015,01C7,FD63,FD0A,FEC4,93DA,000A,0486,08DA,06BA,15D7,382A,2772,096D,0094,0043,0009
0016,01C7,FD61,FD0C,FEC4,93C2,000A,0483,08A9,066C,15B4,38B9,281C,08EA,0074,0040,0003
0017,01C7,FD67,FD0B,FEC0,93E1,000A,04B3,087C,05D9,1577,38BD,2813,09A8,00A4,003F,0007
0018,01C8,FD63,FD0F,FEC0,93D2,000A,0468,08AD,0608,16AA,37E7,27D4,097F,0084,0045,0008
0019,01C7,FD67,FD0A,FEC0,93F0,000A,04A6,08CE,0624,16C5,37DE,27A5,0947,007D,0042,000A
001A,01C7,FD64,FD0B,FEC0,93DB,000A,0497,08AF,05B7,1622,3808,285D,0977,0092,0040,000E
001B,01C8,FD63,FD0D,FEC0,93E8,000A,04B3,088E,05EA,1645,3846,27F4,0965,008B,004A,0004
001C,01C8,FD67,FD0C,FEC0,93F8,000A,04B3,086D,0592,15D8,3829,2888,09F4,0090,0037,0002
001D,01C8,FD66,FD0C,FEC0,93E5,000A,04A9,0876,060B,15E3,3818,2876,097C,008C,003C,0006
001E,01C9,FD61,FD0B,FEC4,9419,000A,04EE,082B,0588,1738,384F,2763,09D4,008B,002E,0001
001F,01C8,FD63,FD0C,FEC0,9410,000A,050F,086A,05C1,1685,38AE,2690,0A39,0099,003B,0006
0020,01C9,FD67,FD0E,FEC0,93F1,000A,04FF,0888,05B7,1663,38DA,2732,0961,008A,0053,0006
0021,01CA,FD67,FD0C,FEC3,93DE,000A,04DF,08CB,054B,16A1,395D,26E8,0952,0075,0035,0007
0022,01CA,FD63,FD0E,FEC3,9414,000A,04BC,0821,055C,16C9,3914,2714,0A0B,0091,0047,0007
0023,01CA,FD60,FD0C,FEC0,93F6,000A,04DA,0850,0549,1774,384E,2719,09C1,0091,0050,0006
0024,01CA,FD66,FD0C,FEC0,9409,000A,04CD,084B,0545,1723,3891,2761,09B6,00A3,0035,0009
0025,01CA,FD61,FD0C,FEC0,93F6,000A,04DD,0806,0540,1777,38DE,2706,09B0,007D,0046,0005
0026,01CA,FD61,FD0F,FEC0,940D,000A,04D8,0856,057B,16CB,3900,2746,0983,0089,0040,0007
0027,01CA,FD64,FD0B,FEC6,9409,000A,050A,0840,0547,1731,38E8,26AC,09D2,008B,0051,0005
0028,01CA,FD61,FD0C,FEC1,93E7,000A,0511,0899,0550,1797,38DC,266B,0949,0075,004D,0004
0029,01CA,FD64,FD09,FEC0,9401,000A,04F6,08B5,0527,171C,38EA,268E,09C4,008C,0047,0004
002A,01CB,FD66,FD0C,FEC3,940D,000A,050C,0807,0528,173B,38A9,26F2,0A16,008A,0056,0006
002B,01CB,FD64,FD0E,FEC0,93E8,000A,0512,085B,05B9,16B0,3971,2670,0966,008E,0038,0005
002C,01CB,FD63,FD0E,FEC1,9408,000A,0510,087C,0562,171E,38AC,268E,09EF,008F,0043,0001
002D,01CC,FD60,FD0C,FEC3,93FC,000A,04E9,087F,0585,1667,38C1,279D,097B,0080,004C,0003
002E,01CA,FD66,FD0C,FEC0,93FE,000A,04E3,0875,0582,1694,38BD,2795,0962,0090,004A,0002
002F,01CB,FD67,FD0E,FEC6,9416,000A,04CA,08C6,05B5,1707,387E,2676,0A13,0086,003C,0001
0030,01CC,FD64,FD0C,FEC3,93FD,000A,04B3,087A,0560,16ED,392B,2706,0984,008C,003F,0003
0031,01CC,FD64,FD0B,FEC0,93F4,000A,050F,08C5,0535,1773,38B5,2678,0974,0097,003B,0005
0032,01CB,FD64,FD0B,FEC3,9413,000A,0510,0829,0530,174B,38E4,26CB,09EA,0087,003A,0005
0033,01CC,FD63,FD0C,FEC0,9404,000A,04EE,087E,0563,1761,38A5,2729,092E,008F,0044,0005
0034,01CC,FD67,FD0E,FEC0,9429,000A,04DC,0861,058B,172A,38D1,26B3,09D5,0095,0043,0006
0035,01CC,FD63,FD0C,FEC3,9408,000A,04F9,0812,055C,16A5,394F,273E,09AF,0082,003B,0003
0036,01CC,FD64,FD0B,FEC2,9417,000A,04DF,084F,052A,16C2,38E2,2784,09D9,0085,0036,0003
0037,01CC,FD64,FD0E,FEC3,93FA,000A,04D2,0891,056D,1710,395A,26A9,094B,0090,003B,0001
0038,01CC,FD63,FD0C,FEC0,9406,000A,052B,0859,0580,178B,3811,26C1,09C7,0083,004B,0010
0039,01CC,FD60,FD0C,FEC3,9416,000A,053F,0839,052D,16FA,3893,2760,09A8,0090,0045,0007
003A,01CC,FD63,FD0E,FEC3,9406,000A,04EA,0811,055C,173F,3907,26A7,09E9,0094,003E,0007
003B,01CC,FD67,FD07,FEC4,9409,000A,0519,0823,0514,173E,38E6,26AE,0A0F,008E,0048,0002
003C,01CC,FD66,FD0C,FEC3,9436,000A,04F3,0837,050B,1764,38A8,26CF,0A54,008D,0040,0005
003D,01CC,FD63,FD0C,FEC0,9420,000A,051B,0800,04BC,16DC,3969,274C,09D9,0097,0046,0002
003E,01CC,FD67,FD0B,FEC3,9408,000A,04D4,0850,0553,1752,38D7,266C,0A0E,009E,004B,0005
003F,01CD,FD64,FD0B,FEC3,9403,000A,0527,0816,04D8,17B3,3998,264C,0987,0092,0039,0005
0040,01CC,FD63,FD0F,FEC3,9408,000A,04FD,08BE,053C,16DA,3944,267F,09B7,007F,0038,0006
0041,01CD,FD67,FD0C,FEC3,9407,000A,04F7,0848,0539,1748,397F,2643,0991,00AB,0046,0003
0042,01CC,FD63,FD0C,FEBF,93FF,000A,04FB,089B,0542,1739,37DF,27AA,0988,009E,003C,0003
0043,01CC,FD61,FD09,FEC3,940B,000B,08B7,0552,1717,38B7,2693,0987,00A2,0046,0006,0001
0044,01CE,FD61,FD0C,FEC0,940A,000A,054D,08D2,0525,17BD,3923,262F,0928,0077,0014,0004
0045,01CD,FD67,FD0C,FEC6,9401,000A,0507,089B,052B,17A4,39DE,257D,0989,0082,0029,0001
0046,01CD,FD63,FD0C,FEC3,9414,000A,050D,085D,057E,1752,394D,26B0,091E,007B,0041,0003
0047,01CE,FD63,FD0B,FEC3,9416,000A,0508,0866,0555,177C,3952,2624,098B,0091,0040,0005
0048,01CC,FD63,FD0E,FEC3,93FE,000A,051D,0820,055B,173F,396E,2658,0971,009D,004B,0008
0049,01CC,FD63,FD0E,FEC3,9421,000A,04FE,0811,04B3,17AC,38D0,26F1,0A16,008F,004A,0003
004A,01CE,FD64,FD0F,FEC1,9437,000A,0517,0883,0507,171A,3947,26E3,0985,008B,003D,0005
004B,01CD,FD65,FD0B,FEC3,9404,000A,0543,0879,0568,175D,387F,269D,099B,0090,0039,0003
004C,01CE,FD61,FD0C,FEC6,9439,000A,051A,0809,0552,16B0,39EE,26C5,097A,0093,0052,0002
004D,01CE,FD63,FD0E,FEC0,9417,000A,04D5,0880,057C,17C0,3885,26BA,0987,0082,0037,0007
004E,01CE,FD64,FD0C,FEC1,940C,000A,04A4,0890,058B,1756,382F,2701,0A0F,007E,0038,0002
004F,01CC,FD63,FD0C,FEC0,940A,000A,04F1,0839,0585,16D8,3871,2798,09AE,0094,0036,0002
TurtleSense 0.2503 -- CC 4.0 BY-SA NerdsWithoutBorders.Net
--end of report--
