Report: 2016-07-19_AA0006_r-040-03.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 040-03
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/27,08:44:44
Report date/time: 2016/08/27,12:44:44
Secs per rec: 00B4
# of recs: 0050
Battery level: 02B6
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01CC,FD61,FD0B,FEC7,49FA,000A,01F0,0340,0236,0953,175B,14C6,09DE,02CB,006B,000C
0001,01CC,FD64,FD0C,FEC1,49FE,000A,0264,043D,0287,0BB9,1C8F,137A,049E,004C,0027,0003
0002,01CB,FD64,FD0C,FEC0,49FD,000A,0287,042D,02A0,0C21,1C2E,1363,0499,003A,0021,0003
0003,01CB,FD67,FD0F,FEC2,49F9,000A,02A5,0447,0297,0BAC,1BC4,13F1,04B0,0046,001E,0001
0004,01CC,FD63,FD09,FEC0,4A0B,000A,0295,046A,027E,0B1E,1C7B,13CB,04C6,003E,0021,0005
0005,01CC,FD63,FD0C,FEC0,4A0E,000A,0261,03FF,027D,0B6C,1CD7,139C,04DD,004E,0025,0002
0006,01CC,FD63,FD08,FEC3,4A02,000A,028B,046A,028A,0BB9,1C20,136B,04BE,0053,002A,0004
0007,01CC,FD66,FD0C,FEC0,49FE,0009,0279,041F,0268,0B59,1CD8,1384,04EE,0044,0017,0000
0008,01CB,FD63,FD0B,FEC3,4A18,000A,028A,03F5,024C,0BA1,1C35,141C,04EA,0048,0023,0006
0009,01CC,FD63,FD0E,FEC3,49F4,000A,0261,0417,029B,0B7C,1BFB,13FC,04F5,0054,0023,0002
000A,01CC,FD66,FD0C,FEC3,49F2,000A,0294,0425,0270,0BA5,1C7C,137E,04B9,004B,001F,0007
000B,01CC,FD63,FD0C,FEC1,49FD,000A,02A0,0416,0246,0BCD,1C53,13CA,0496,004A,0033,0004
000C,01CC,FD67,FD0C,FEC0,49F0,000A,0286,044D,0271,0BC6,1CA4,1368,046D,004A,001F,0004
000D,01CC,FD64,FD0C,FEC0,49F0,0009,0281,0473,0285,0C2A,1C24,1328,0498,0048,0021,0000
000E,01CB,FD63,FD0C,FEC3,4A0C,000A,026F,03F0,0277,0B87,1C95,13FB,04A8,004D,0026,0004
000F,01CB,FD61,FD0C,FEC3,49FE,000A,0287,0436,0293,0B55,1C8F,13C7,049A,0042,0025,0002
0010,01CA,FD66,FD0C,FEC0,49F5,000A,029E,0432,0260,0B9F,1BF3,13D0,04FA,0043,0024,0002
0011,01CB,FD63,FD0C,FEC3,4A10,000A,0279,0422,0284,0B88,1BC7,1451,04E8,0042,0022,0005
0012,01CB,FD67,FD0C,FEBE,4A09,000A,0281,043C,0268,0B97,1C2F,13E4,04CE,0046,001F,0007
0013,01CA,FD66,FD0C,FEC6,49FE,000A,0285,0405,02A1,0BA5,1C31,1399,0503,003A,0023,0004
0014,01CC,FD67,FD0C,FEC0,49F8,000A,0265,043E,0277,0B89,1C92,13C1,0491,0044,002B,0002
0015,01CB,FD67,FD0B,FEC6,49FB,000A,0268,0420,02A2,0B7E,1D00,1369,0486,003F,0021,0004
0016,01CA,FD63,FD0C,FEC6,49F2,000A,028A,0466,026E,0BBD,1C58,1398,048D,003A,001E,0002
0017,01CB,FD63,FD0C,FEC0,4A0A,0009,0287,0406,0252,0B77,1C99,1429,048F,0052,0011,0000
0018,01CB,FD64,FD0B,FEC3,49F9,000A,0271,03EA,02B1,0B8B,1C4C,13F7,04B4,0043,0022,0006
0019,01CA,FD63,FD0C,FEBF,4A0C,000A,0251,0418,0292,0B99,1C6E,13EB,04A3,0055,001F,0008
001A,01CC,FD67,FD0E,FEC0,4A12,000A,0252,03D0,025D,0B3C,1C10,14D3,04FC,004F,0024,0005
001B,01CB,FD63,FD0E,FEC0,4A0A,000A,0283,03F5,0253,0C41,1C71,137A,04BF,003C,0016,0002
001C,01CB,FD67,FD0B,FEC4,49FD,000A,02A9,042A,029A,0B97,1C23,138E,04DA,004F,001C,0003
001D,01CB,FD64,FD0E,FEC3,49F8,000A,0299,041A,0284,0BB7,1C46,13B5,04A6,0049,001E,0002
001E,01CB,FD66,FD0C,FEC0,4A12,000A,0277,0410,023B,0B6C,1C5A,1425,04F9,004C,001E,0002
001F,01CB,FD66,FD0B,FEC0,4A09,000A,0273,0425,026F,0B5B,1C38,1434,04CC,0049,0022,0004
0020,01CA,FD63,FD09,FEC1,49EC,000A,0298,0416,0284,0BB7,1C29,13E2,049E,003F,0015,0006
0021,01CA,FD64,FD09,FEC3,4A0F,000A,0268,040D,0246,0B2D,1C73,1450,04EF,004C,0028,0001
0022,01CB,FD64,FD08,FEC3,4A14,000A,0264,03D7,0270,0B6E,1C7E,1410,04EB,005B,0024,0003
0023,01CA,FD67,FD0E,FEC1,4A0F,000A,027C,03EC,0246,0B2F,1C8D,14A9,04A6,003E,0016,0002
0024,01CA,FD63,FD08,FEC3,4A0C,000A,025F,041A,024B,0B54,1C00,143A,0551,0041,001F,0009
0025,01CA,FD66,FD0B,FEC0,4A0E,000A,0273,0422,0248,0BB5,1BF4,142A,04F9,0040,0022,0003
0026,01CA,FD63,FD0F,FEC0,49FD,000A,026C,03F7,0270,0B47,1C3C,1467,04D0,004B,0022,0003
0027,01CA,FD63,FD09,FEC0,49F9,000A,0276,03DF,02BA,0B69,1C79,13B9,04E4,004C,001D,0002
0028,01CA,FD63,FD0C,FEC1,4A07,000A,0239,03FC,0264,0B7C,1BFD,1497,04F5,003F,0025,0005
0029,01CA,FD63,FD0E,FEC1,4A14,0009,0234,0408,0246,0B4C,1C3F,14CD,04E3,003E,0019,0000
002A,01CB,FD64,FD0C,FEC3,4A1A,000A,0276,03D2,0287,0B43,1BF8,149B,0502,0046,0027,0006
002B,01CA,FD63,FD0C,FEC3,4A0E,000A,0270,03D1,02AB,0B4B,1C7A,1401,04EB,0045,002B,0001
002C,01CA,FD67,FD09,FEC2,49FA,000A,025B,0407,026F,0BBC,1C16,141E,04BF,004F,0027,0004
002D,01CA,FD63,FD07,FEC0,49FB,000A,0245,03F5,0265,0B5D,1C8F,1465,04B6,003A,0017,0004
002E,01CA,FD63,FD0E,FEC0,4A1C,000A,0254,03EE,0271,0B4C,1C4F,147B,04EE,0045,001C,0004
002F,01C9,FD63,FD0C,FEC1,4A0C,000A,0253,03CF,0268,0B67,1C63,1419,0525,0041,0035,0004
0030,01C9,FD63,FD09,FEC3,49FF,000A,024C,03D5,0247,0B2A,1BCD,154A,04EB,003F,0029,0003
0031,01CA,FD66,FD09,FEC3,49F4,000A,025F,03EB,0270,0BDA,1BE3,1449,04BB,0042,0032,0005
0032,01C8,FD64,FD0C,FEC1,49FD,000A,024C,0423,0293,0B60,1BBB,14B4,04C7,0042,0021,0002
0033,01C9,FD63,FD0B,FEC2,4A07,000A,025D,03D0,025A,0BAA,1C33,1441,04DC,005A,002A,0002
0034,01C9,FD64,FD09,FEC0,4A15,000A,023A,03FD,0273,0B56,1B51,1525,0527,0045,002E,0005
0035,01CA,FD67,FD0B,FEC0,4A0A,000A,0239,03D7,0279,0B25,1C02,14F5,04F7,0046,0025,0003
0036,01CA,FD64,FD09,FEBE,4A04,000A,0260,0417,028D,0B35,1C16,142D,0511,0049,002B,0003
0037,01CA,FD63,FD0C,FEC0,49F7,000A,026E,0423,0254,0AF3,1CA4,1448,04DA,0038,001E,0003
0038,01C9,FD67,FD0E,FEC0,49F7,000A,0245,03FA,0289,0B3E,1C60,146E,04BF,0044,001B,0005
0039,01C9,FD61,FD0C,FEC3,4A06,000A,025F,03CF,0285,0B0F,1BD9,152A,04BC,004F,002E,0008
003A,01CB,FD63,FD0C,FEC0,4A0C,000A,0277,03F0,0282,0B84,1B7C,1499,050C,0052,002A,0002
003B,01C9,FD64,FD08,FEC7,4A09,000A,0250,0412,027F,0B43,1BB1,151C,04AC,003B,002C,0005
003C,01CA,FD63,FD0C,FEC0,4A0E,000A,0231,03FA,0248,0B66,1C22,14CF,04C3,0049,0034,0004
003D,01C9,FD67,FD0C,FEC4,49F9,000A,0262,03D6,028E,0B8A,1C02,1482,04B3,0044,002C,0002
003E,01C9,FD64,FD0C,FEC0,4A09,000A,0226,03E0,0264,0B6E,1C6C,1494,04C9,0043,001F,0006
003F,01C9,FD67,FD09,FEC0,49ED,000A,0264,041D,0281,0B60,1C90,13FB,048A,004C,0025,0005
0040,01C9,FD61,FD0B,FEC0,49F6,000A,0251,03F3,027D,0B21,1B98,14EA,0520,0052,001D,0003
0041,01C9,FD67,FD0C,FEC3,4A0F,000A,0265,03E6,0259,0B27,1C1D,14A8,04F4,005C,002C,0003
0042,01C9,FD67,FD0B,FEC0,4A08,000A,0256,03F3,0255,0B65,1BE7,14B8,04DF,0052,002A,000B
0043,01C9,FD61,FD0C,FEC3,49F3,000A,0263,046A,02DF,0B66,1B88,147A,046D,0043,0028,0007
0044,01C9,FD63,FD09,FEC6,49FA,000A,0289,0400,028B,0B86,1C40,13FD,04AB,004C,0028,0004
0045,01C8,FD63,FD0E,FEC4,4A09,000A,0251,03E7,0259,0B30,1C33,149B,050C,004D,001D,0004
0046,01C9,FD64,FD09,FEC3,4A01,000A,0261,0411,02A8,0AF2,1BC7,14D7,04EE,0039,002D,0003
0047,01CB,FD68,FD09,FEC3,49FD,000A,0265,03E8,02B0,0B5C,1BB0,148A,04E7,0051,002C,0006
0048,01C9,FD63,FD0E,FEC0,49F3,0009,0291,03F4,0280,0B74,1C0E,1467,04A3,0048,001A,0000
0049,01C8,FD67,FD0C,FEC0,49F8,000A,026E,040A,02A0,0B76,1C2D,1440,0496,0040,0025,0002
004A,01C7,FD63,FD0C,FEC3,49F7,000A,0249,0406,0289,0BB9,1B36,1516,0496,0055,002A,0005
004B,01C9,FD66,FD09,FEC1,4A12,000A,025E,03F0,025B,0B9A,1BE3,14AA,04DD,0050,0013,0002
004C,01C9,FD67,FD0C,FEBF,49FA,000A,0243,0410,029A,0BB2,1BD4,1450,04CF,0043,0020,0005
004D,01C8,FD66,FD0C,FEC3,4A05,0009,024E,03DA,0266,0BA7,1BF9,1470,04F2,0050,0025,0000
004E,01C7,FD63,FD0B,FEC1,4A08,000A,0253,0431,027D,0B6C,1B71,14F3,04CD,0043,0026,0001
004F,01C8,FD63,FD0B,FEC3,4A07,000A,023B,03C8,0279,0BA1,1BC8,14DC,04C3,0051,002B,0007
TurtleSense 0.2503 -- CC 4.0 BY-SA NerdsWithoutBorders.Net
--end of report--
