tDays,adjusted days,Energy,Count,EnergyPerCountFiltered,Temp,X,Y,Z,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,BIN_5,BIN_6,BIN_7,BIN_8,BIN_9,BIN_10,BIN_11,BIN_12,BIN_13,BIN_14,BIN_15,BIN_16,BIN_17,BIN_18,BIN_19,BIN_20,BIN_21,BIN_22,BIN_23,BIN_24,BIN_25,BIN_26,BIN_27,BIN_28,BIN_29
219.496331,55.49633102,76992,6136,12.54758801,427,64636,65432,64940,148,422,427,595,1675,2124,695,44,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.5004977,55.50049769,78996,6135,12.87628362,427,64638,65432,64936,138,344,370,578,1748,2213,705,23,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.5046644,55.50466435,76844,6132,12.53163731,427,64633,65435,64939,166,378,393,612,1730,2134,679,29,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.508831,55.50883102,75092,6130,12.24991843,427,64639,65436,64940,161,408,416,609,1737,2125,633,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.5129977,55.51299769,77401,6128,12.63071149,426,64636,65438,64935,135,379,411,600,1679,2171,721,26,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.5171644,55.51716435,76442,6124,12.48236447,426,64636,65432,64942,141,364,389,597,1732,2183,686,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.521331,55.52133102,78565,6119,12.83951626,426,64637,65433,64935,127,363,341,622,1715,2180,732,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.5254977,55.52549769,78727,6124,12.85548661,426,64639,65432,64936,139,341,381,624,1713,2131,748,41,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.5296644,55.52966435,76067,6123,12.42315858,426,64639,65435,64931,141,423,368,603,1776,2075,700,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.533831,55.53383102,77814,6121,12.71262866,426,64639,65432,64940,145,390,372,650,1680,2098,742,38,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.5379977,55.53799769,77509,6121,12.6628002,427,64636,65432,64940,125,411,383,607,1738,2080,733,41,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.5421644,55.54216435,77332,6124,12.62769432,426,64638,65432,64935,139,376,382,612,1730,2140,702,36,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.546331,55.54633102,77716,6124,12.69039843,426,64636,65432,64940,111,372,342,609,1734,2216,710,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.5504977,55.55049769,78813,6124,12.86952972,426,64639,65432,64937,134,359,329,589,1774,2168,730,32,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.5546644,55.55466435,78300,6125,12.78367347,426,64633,65436,64940,134,398,371,586,1714,2157,719,36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.558831,55.55883102,78976,6124,12.89614631,426,64639,65433,64937,145,358,333,626,1745,2145,729,30,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.5629977,55.56299769,76544,6122,12.50310356,426,64633,65433,64937,137,378,345,625,1784,2139,675,35,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.5671644,55.56716435,77726,6128,12.68374674,426,64638,65432,64933,152,378,362,602,1685,2212,696,34,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.571331,55.57133102,80581,6130,13.14535073,426,64639,65432,64937,106,337,354,600,1704,2217,766,39,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.5754977,55.57549769,78736,6120,12.86535948,426,64636,65432,64936,118,376,358,593,1735,2179,719,31,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.5796644,55.57966435,77530,6122,12.66416204,426,64639,65432,64947,133,384,341,592,1774,2150,713,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.583831,55.58383102,77509,6125,12.65453061,426,64638,65432,64943,136,371,341,630,1774,2140,695,27,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.5879977,55.58799769,77261,6125,12.61404082,426,64638,65433,64940,133,349,362,617,1787,2128,715,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.5921644,55.59216435,76823,6119,12.55482922,426,64638,65433,64943,131,389,367,627,1769,2118,672,37,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.596331,55.59633102,77357,6117,12.64623181,426,64641,65432,64939,151,349,352,630,1785,2125,687,25,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.6004977,55.60049769,76790,6127,12.53305043,426,64638,65433,64934,132,392,379,624,1773,2091,697,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.6046644,55.60466435,78865,6124,12.8780209,426,64636,65432,64940,159,363,337,565,1782,2150,723,35,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.608831,55.60883102,79611,6125,12.99771429,426,64639,65433,64936,140,325,321,633,1730,2170,767,33,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.6129977,55.61299769,78278,6128,12.77382507,426,64639,65431,64937,134,350,354,589,1784,2161,711,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.6171644,55.61716435,76291,6131,12.44348393,426,64636,65433,64942,143,331,384,640,1821,2085,686,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.621331,55.62133102,79047,6135,12.88459658,426,64633,65436,64936,135,351,328,664,1737,2167,710,26,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.6254977,55.62549769,80697,6132,13.15998043,426,64636,65433,64940,112,363,319,604,1750,2193,739,39,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.6296644,55.62966435,78817,6128,12.86178198,426,64637,65433,64937,151,361,336,582,1712,2180,772,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.633831,55.63383102,80946,6129,13.20704846,426,64638,65432,64936,140,350,320,637,1742,2089,793,45,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.6379977,55.63799769,78875,6127,12.87334748,426,64636,65436,64934,141,353,349,640,1748,2116,731,35,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.6421644,55.64216435,78573,6129,12.81987274,426,64639,65436,64935,145,375,349,617,1727,2144,731,31,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.646331,55.64633102,78928,6130,12.87569331,426,64636,65431,64936,110,336,332,610,1814,2151,734,38,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.6504977,55.65049769,78255,6126,12.77424094,426,64639,65436,64939,128,343,358,615,1810,2106,724,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.6546644,55.65466435,76747,6121,12.53831073,426,64636,65436,64934,141,383,314,648,1793,2107,694,37,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.658831,55.65883102,76859,6118,12.56276561,425,64638,65433,64935,133,345,353,646,1829,2074,698,32,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.6629977,55.66299769,77861,6117,12.72862514,426,64639,65433,64943,140,363,315,639,1757,2146,716,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.6671644,55.66716435,76567,6119,12.51299232,426,64639,65433,64935,143,381,361,636,1819,2048,692,28,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.671331,55.67133102,76614,6120,12.51862745,424,64639,65433,64939,146,388,343,657,1770,2084,688,35,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.6754977,55.67549769,76906,6122,12.56223456,426,64639,65433,64936,146,380,383,626,1697,2140,709,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.6796644,55.67966435,78140,6120,12.76797386,426,64636,65435,64935,151,376,344,637,1766,2067,728,39,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.683831,55.68383102,77228,6122,12.61483175,426,64636,65432,64935,131,386,341,636,1754,2130,711,25,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.6879977,55.68799769,74290,6127,12.1250204,426,64636,65432,64945,154,394,380,648,1828,2029,663,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.6921644,55.69216435,74273,6119,12.13809446,426,64639,65433,64936,147,381,382,654,1848,2035,632,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.696331,55.69633102,76601,6120,12.51650327,426,64639,65432,64942,160,385,376,678,1740,2041,686,44,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.7004977,55.70049769,74628,6127,12.18018606,425,64636,65433,64939,151,414,325,695,1808,2070,623,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.7046644,55.70466435,74550,6120,12.18137255,424,64639,65432,64940,137,410,360,659,1840,2018,659,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.708831,55.70883102,75864,6136,12.36375489,425,64636,65433,64937,154,402,365,633,1809,2074,661,27,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.7129977,55.71299769,73547,6127,12.00375388,425,64638,65436,64936,149,403,342,741,1891,1952,605,33,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.7171644,55.71716435,73528,6131,11.99282336,426,64638,65432,64937,167,416,376,718,1816,1967,634,24,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.721331,55.72133102,75052,6135,12.23341483,425,64639,65432,64940,182,420,366,727,1754,1940,694,46,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.7254977,55.72549769,72519,6135,11.8205379,426,64638,65435,64935,172,449,377,753,1818,1900,628,29,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.7296644,55.72966435,73385,6129,11.97340512,426,64639,65432,64936,175,429,392,731,1770,1925,667,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.733831,55.73383102,72394,6131,11.80786169,425,64639,65432,64935,178,422,386,692,1896,1921,592,34,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.7379977,55.73799769,72049,6130,11.75350734,423,64636,65433,64937,180,437,334,758,1901,1860,621,30,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.7421644,55.74216435,70361,6126,11.485635,425,64636,65433,64940,175,473,358,821,1822,1869,559,45,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.746331,55.74633102,71410,6134,11.64166938,426,64637,65432,64936,188,474,372,726,1897,1835,605,23,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.7504977,55.75049769,69203,6129,11.29107522,425,64639,65435,64937,179,489,415,737,1933,1796,542,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
