tDays,Actual day,Energy,Count,EnergyPerCountFiltered,Temp,X,Y,Z,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,BIN_5,BIN_6,BIN_7,BIN_8,BIN_9,BIN_10,BIN_11,BIN_12,BIN_13,BIN_14,BIN_15,BIN_16,BIN_17,BIN_18,BIN_19,BIN_20,BIN_21,BIN_22,BIN_23,BIN_24,BIN_25,BIN_26,BIN_27,BIN_28,BIN_29
40.48993056,41.48993056,44518,5709,7.797863023,616,64856,931,262,283,548,407,1503,1897,849,192,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.490625,41.490625,43674,5707,7.652707202,618,64859,927,272,295,586,400,1514,1873,844,156,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.49131944,41.49131944,43161,5706,7.564143007,618,64856,927,271,303,573,420,1525,1826,873,161,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.49201389,41.49201389,41718,5704,7.313814867,616,64856,927,270,333,570,444,1527,1847,823,134,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.49270833,41.49270833,42986,5706,7.533473537,614,64856,927,268,302,604,419,1542,1802,828,181,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.49340278,41.49340278,42837,5702,7.512627148,618,64859,927,271,290,565,420,1512,1885,851,157,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.49409722,41.49409722,44045,5704,7.721774194,614,64862,927,270,292,589,408,1480,1876,853,174,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.49479167,41.49479167,41878,5706,7.339291973,614,64857,927,267,293,600,457,1537,1845,786,165,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.49548611,41.49548611,42425,5703,7.439067158,618,64857,924,271,293,577,384,1554,1852,873,152,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.49618056,41.49618056,42498,5705,7.449255039,618,64856,926,271,335,586,414,1459,1932,779,175,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.496875,41.496875,43371,5704,7.603611501,614,64856,926,272,285,579,418,1459,1957,827,142,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.49756944,41.49756944,43317,5704,7.59414446,616,64859,929,268,265,583,409,1525,1883,839,179,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.49826389,41.49826389,41989,5701,7.365199088,614,64856,926,271,307,585,398,1550,1869,816,154,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.49895833,41.49895833,43702,5705,7.660297984,614,64860,927,268,268,574,448,1480,1871,854,182,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.49965278,41.49965278,42177,5702,7.396878288,614,64860,926,263,300,575,445,1484,1919,808,145,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.50034722,41.50034722,42819,5704,7.506837307,614,64856,926,270,282,561,431,1517,1896,836,156,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.50104167,41.50104167,41155,5699,7.221442358,614,64851,927,279,300,619,442,1537,1854,777,149,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.50173611,41.50173611,42690,5699,7.490787858,614,64859,926,268,320,560,427,1551,1836,822,150,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.50243056,41.50243056,42125,5700,7.390350877,616,64856,927,270,287,575,469,1509,1880,813,138,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.503125,41.503125,43100,5702,7.558751315,614,64857,927,268,292,628,428,1486,1819,844,178,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.50381944,41.50381944,43165,5702,7.570150824,614,64860,927,268,317,621,426,1471,1838,831,164,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.50451389,41.50451389,42870,5701,7.51973338,614,64857,927,271,297,580,429,1474,1910,818,164,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.50520833,41.50520833,42306,5699,7.423407615,612,64859,926,268,312,624,411,1489,1853,821,163,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
