tDays,Energy,Count,EnergyPerCountFiltered,Temp,X,Y,Z,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,BIN_5,BIN_6,BIN_7,BIN_8,BIN_9,BIN_10,BIN_11,BIN_12,BIN_13,BIN_14,BIN_15,BIN_16,BIN_17,BIN_18,BIN_19,BIN_20,BIN_21,BIN_22,BIN_23,BIN_24,BIN_25,BIN_26,BIN_27,BIN_28,BIN_29
37.5998611111,257399.0,35530.0,7.24455389811,773.0,870.0,568.0,65527.0,2165.0,5797.0,6493.0,5370.0,7122.0,7386.0,1086.0,109.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.6040277778,255920.0,35530.0,7.20292710386,773.0,871.0,566.0,65528.0,2149.0,5828.0,6496.0,5333.0,7173.0,7429.0,1025.0,89.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.6081944444,256460.0,35534.0,7.217312996,770.0,871.0,568.0,65528.0,2149.0,5798.0,6665.0,5299.0,7109.0,7336.0,1051.0,125.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.6123611111,258880.0,35522.0,7.2878779348,771.0,872.0,568.0,65526.0,2141.0,5742.0,6513.0,5268.0,7354.0,7277.0,1106.0,113.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.6165277778,250988.0,35533.0,7.0635184195,773.0,867.0,566.0,65532.0,2219.0,6018.0,6575.0,5205.0,7163.0,7284.0,985.0,80.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.6206944444,255647.0,35529.0,7.19544597371,771.0,873.0,564.0,65526.0,2239.0,5711.0,6562.0,5199.0,7328.0,7351.0,1041.0,95.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.6248611111,257026.0,35535.0,7.23303785001,771.0,871.0,568.0,65527.0,2187.0,5788.0,6505.0,5085.0,7446.0,7353.0,1077.0,91.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.6290277778,261065.0,35537.0,7.34628696851,776.0,871.0,568.0,65532.0,2140.0,5837.0,6392.0,5043.0,7412.0,7504.0,1095.0,105.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.6331944444,260900.0,35525.0,7.34412385644,771.0,871.0,567.0,65526.0,2143.0,5758.0,6275.0,5138.0,7393.0,7667.0,1055.0,91.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.6373611111,264474.0,35528.0,7.44410042783,773.0,867.0,568.0,65528.0,2065.0,5556.0,6347.0,5056.0,7560.0,7739.0,1119.0,80.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.6415277778,262548.0,35523.0,7.39092982012,776.0,871.0,566.0,65528.0,2072.0,5544.0,6446.0,5106.0,7561.0,7576.0,1134.0,79.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.6456944444,266897.0,35524.0,7.51314604211,775.0,868.0,564.0,65528.0,2179.0,5397.0,6292.0,4989.0,7640.0,7798.0,1138.0,80.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.6498611111,271170.0,35523.0,7.63364580694,770.0,871.0,568.0,65528.0,2092.0,5362.0,6228.0,4906.0,7698.0,7961.0,1169.0,99.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.6540277778,263320.0,35524.0,7.41245355253,771.0,871.0,568.0,65526.0,2074.0,5716.0,6340.0,4981.0,7625.0,7544.0,1147.0,91.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.6581944444,266922.0,35527.0,7.51321530104,771.0,868.0,568.0,65528.0,2116.0,5696.0,6189.0,4910.0,7577.0,7765.0,1170.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
