tDays,Energy,Count,EnergyPerCountFiltered,Temp,X,Y,Z,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,BIN_5,BIN_6,BIN_7,BIN_8,BIN_9,BIN_10,BIN_11,BIN_12,BIN_13,BIN_14,BIN_15,BIN_16,BIN_17,BIN_18,BIN_19,BIN_20,BIN_21,BIN_22,BIN_23,BIN_24,BIN_25,BIN_26,BIN_27,BIN_28,BIN_29
31.5913078704,299279.0,38003.0,7.8751414362,734.0,937.0,268.0,65257.0,3104.0,4141.0,1569.0,9226.0,12485.0,5665.0,1654.0,142.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.595474537,298952.0,37995.0,7.86819318331,734.0,937.0,268.0,65254.0,3088.0,3998.0,1579.0,9225.0,12614.0,5698.0,1639.0,146.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.5996412037,303291.0,38000.0,7.98134210526,729.0,937.0,268.0,65255.0,3115.0,4011.0,1468.0,9122.0,12488.0,5915.0,1733.0,142.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.6038078704,302215.0,38000.0,7.95302631579,734.0,936.0,271.0,65255.0,3082.0,4013.0,1465.0,9342.0,12514.0,5676.0,1751.0,143.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.607974537,299633.0,38010.0,7.88300447251,734.0,937.0,268.0,65255.0,3037.0,4121.0,1508.0,9132.0,12668.0,5750.0,1649.0,138.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.6121412037,304341.0,38012.0,8.00644533305,737.0,935.0,268.0,65255.0,3045.0,4013.0,1476.0,9186.0,12501.0,5941.0,1679.0,159.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.6163078704,306784.0,38006.0,8.07198863337,734.0,937.0,264.0,65255.0,3102.0,3956.0,1518.0,9080.0,12500.0,5923.0,1745.0,165.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.620474537,304455.0,38022.0,8.00733785703,738.0,936.0,267.0,65251.0,3041.0,4057.0,1457.0,9169.0,12537.0,5896.0,1694.0,157.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.6246412037,302679.0,38020.0,7.96104681746,737.0,940.0,268.0,65255.0,3095.0,4069.0,1563.0,8995.0,12602.0,5816.0,1725.0,147.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.6288078704,303866.0,38024.0,7.99142646749,738.0,940.0,268.0,65257.0,3105.0,4292.0,1541.0,8901.0,12419.0,5864.0,1712.0,180.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.632974537,302851.0,38027.0,7.9641044521,740.0,936.0,268.0,65255.0,3228.0,4131.0,1562.0,9149.0,12183.0,5832.0,1772.0,160.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.6371412037,304699.0,38028.0,8.01249079626,743.0,942.0,268.0,65251.0,3068.0,4225.0,1481.0,8938.0,12492.0,5916.0,1741.0,155.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.6413078704,303577.0,38041.0,7.98025814253,740.0,937.0,268.0,65257.0,3246.0,4291.0,1497.0,8899.0,12283.0,5898.0,1757.0,159.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.645474537,304830.0,38047.0,8.01193260967,743.0,936.0,267.0,65254.0,3192.0,4238.0,1582.0,8851.0,12187.0,6085.0,1755.0,148.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.6496412037,305015.0,38056.0,8.01489909607,745.0,936.0,268.0,65255.0,3343.0,4399.0,1552.0,8656.0,12097.0,6032.0,1809.0,155.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.6538078704,305240.0,38049.0,8.02228705091,745.0,937.0,270.0,65255.0,3185.0,4422.0,1533.0,8636.0,12251.0,6101.0,1748.0,164.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
