tDays,Energy,Count,EnergyPerCountFiltered,Temp,X,Y,Z,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,BIN_5,BIN_6,BIN_7,BIN_8,BIN_9,BIN_10,BIN_11,BIN_12,BIN_13,BIN_14,BIN_15,BIN_16,BIN_17,BIN_18,BIN_19,BIN_20,BIN_21,BIN_22,BIN_23,BIN_24,BIN_25,BIN_26,BIN_27,BIN_28,BIN_29
34.4230092593,261733.0,32067.0,8.16206692238,703.0,995.0,387.0,312.0,2024.0,3099.0,1717.0,7748.0,11016.0,4885.0,1396.0,159.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4250925926,261681.0,32057.0,8.16299092242,703.0,990.0,384.0,316.0,1978.0,2975.0,1657.0,7880.0,11186.0,4775.0,1432.0,160.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4271759259,263269.0,32068.0,8.20971061494,707.0,992.0,384.0,307.0,2035.0,3067.0,1719.0,7515.0,11192.0,4917.0,1456.0,148.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4292592593,261848.0,32062.0,8.16692657975,705.0,991.0,383.0,312.0,1932.0,3068.0,1608.0,7617.0,11359.0,4927.0,1385.0,159.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4313425926,261211.0,32068.0,8.14553448921,703.0,995.0,385.0,312.0,1878.0,2995.0,1812.0,7564.0,11458.0,4810.0,1393.0,144.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4334259259,264337.0,32055.0,8.24635782249,703.0,993.0,384.0,312.0,1938.0,2945.0,1796.0,7458.0,11348.0,4980.0,1437.0,128.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4355092593,264251.0,32067.0,8.24059001466,703.0,991.0,385.0,313.0,1898.0,2955.0,1774.0,7461.0,11456.0,4988.0,1360.0,152.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4375925926,261600.0,32061.0,8.15944605596,707.0,993.0,382.0,312.0,2041.0,2998.0,1749.0,7558.0,11237.0,4914.0,1397.0,152.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4396759259,263547.0,32074.0,8.21684230218,703.0,990.0,385.0,312.0,1992.0,3007.0,1684.0,7635.0,11255.0,4911.0,1405.0,168.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4417592593,264789.0,32069.0,8.25685241199,703.0,992.0,387.0,312.0,1982.0,3025.0,1724.0,7633.0,11115.0,4945.0,1459.0,170.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4438425926,263737.0,32059.0,8.22661343149,703.0,990.0,387.0,311.0,1841.0,3031.0,1729.0,7668.0,11234.0,4966.0,1417.0,160.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4459259259,263362.0,32064.0,8.21363522954,701.0,992.0,385.0,311.0,1953.0,2924.0,1755.0,7578.0,11289.0,4991.0,1414.0,145.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4480092593,262376.0,32063.0,8.18313944422,701.0,990.0,383.0,312.0,1996.0,2988.0,1740.0,7649.0,11274.0,4811.0,1415.0,179.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4500925926,263715.0,32061.0,8.22541405446,701.0,995.0,385.0,310.0,1911.0,3017.0,1709.0,7618.0,11277.0,4931.0,1419.0,166.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4521759259,263686.0,32060.0,8.22476606363,707.0,988.0,384.0,311.0,2013.0,3026.0,1702.0,7632.0,11231.0,4885.0,1363.0,184.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4542592593,263457.0,32069.0,8.21531697278,701.0,991.0,383.0,310.0,2052.0,3023.0,1659.0,7621.0,11267.0,4825.0,1441.0,158.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4563425926,262783.0,32044.0,8.2006927974,701.0,995.0,387.0,312.0,2023.0,3139.0,1664.0,7559.0,11176.0,4848.0,1447.0,176.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4584259259,266316.0,32066.0,8.3052454313,701.0,992.0,390.0,307.0,2022.0,2978.0,1731.0,7467.0,11309.0,4913.0,1440.0,182.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4605092593,261818.0,32060.0,8.16650031192,703.0,995.0,387.0,304.0,1940.0,3088.0,1729.0,7482.0,11278.0,5019.0,1365.0,146.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4625925926,264720.0,32058.0,8.25753322104,703.0,993.0,388.0,310.0,1989.0,3042.0,1713.0,7677.0,10983.0,5010.0,1462.0,167.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4646759259,261844.0,32066.0,8.16578307241,703.0,992.0,382.0,313.0,1997.0,3102.0,1671.0,7528.0,11313.0,4908.0,1370.0,162.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4667592593,265974.0,32045.0,8.30001560306,701.0,990.0,387.0,310.0,1925.0,3046.0,1630.0,7521.0,11258.0,5056.0,1434.0,155.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4688425926,266927.0,32032.0,8.33313561439,698.0,995.0,383.0,310.0,1918.0,3021.0,1731.0,7347.0,11322.0,5032.0,1492.0,149.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4709259259,267156.0,32031.0,8.34054509694,701.0,993.0,380.0,310.0,1949.0,3074.0,1619.0,7443.0,11212.0,5108.0,1438.0,163.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4730092593,265852.0,32039.0,8.29776210244,703.0,991.0,384.0,313.0,1899.0,3020.0,1642.0,7439.0,11350.0,5061.0,1477.0,136.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4750925926,266466.0,32043.0,8.31588802547,701.0,988.0,385.0,307.0,1930.0,3024.0,1709.0,7428.0,11269.0,5042.0,1455.0,172.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
