tDays,Energy,Count,EnergyPerCountFiltered,Temp,X,Y,Z,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,BIN_5,BIN_6,BIN_7,BIN_8,BIN_9,BIN_10,BIN_11,BIN_12,BIN_13,BIN_14,BIN_15,BIN_16,BIN_17,BIN_18,BIN_19,BIN_20,BIN_21,BIN_22,BIN_23,BIN_24,BIN_25,BIN_26,BIN_27,BIN_28,BIN_29
45.5411458333,404852.0,36396.0,11.1235300582,769.0,64422.0,65356.0,65491.0,1244.0,1704.0,1002.0,5954.0,13380.0,10071.0,2763.0,242.0,31.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.5453125,399686.0,36375.0,10.9879312715,769.0,64419.0,65359.0,65488.0,1198.0,1772.0,981.0,6112.0,13420.0,9913.0,2744.0,201.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.5494791667,403442.0,36389.0,11.086921872,769.0,64419.0,65358.0,65491.0,1241.0,1696.0,1063.0,6093.0,13558.0,9658.0,2780.0,252.0,40.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.5536458333,400518.0,36388.0,11.0068703968,778.0,64419.0,65359.0,65486.0,1193.0,1726.0,1062.0,5945.0,13669.0,9751.0,2784.0,234.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.5578125,402550.0,36385.0,11.0636251202,772.0,64419.0,65358.0,65491.0,1288.0,1706.0,1086.0,5938.0,13471.0,9841.0,2764.0,252.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.5619791667,398805.0,36397.0,10.9570843751,772.0,64414.0,65363.0,65487.0,1102.0,1841.0,1220.0,6059.0,13388.0,9839.0,2673.0,238.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.5661458333,397495.0,36390.0,10.9231931849,776.0,64419.0,65356.0,65495.0,1097.0,1859.0,1228.0,5985.0,13555.0,9684.0,2716.0,240.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.5703125,395622.0,36394.0,10.870528109,778.0,64422.0,65359.0,65488.0,1092.0,1824.0,1343.0,6096.0,13257.0,9944.0,2592.0,207.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.5744791667,395169.0,36399.0,10.8565894667,772.0,64420.0,65358.0,65488.0,1153.0,1845.0,1302.0,6094.0,13347.0,9739.0,2686.0,204.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.5786458333,395808.0,36399.0,10.8741448941,776.0,64417.0,65361.0,65491.0,1123.0,1834.0,1485.0,5869.0,13389.0,9870.0,2561.0,227.0,35.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.5828125,392967.0,36396.0,10.796983185,772.0,64423.0,65358.0,65494.0,1079.0,1991.0,1438.0,6081.0,13350.0,9545.0,2644.0,233.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.5869791667,390355.0,36396.0,10.7252170568,772.0,64419.0,65356.0,65491.0,1097.0,1999.0,1532.0,6067.0,13234.0,9641.0,2575.0,215.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
