tDays,Energy,Count,EnergyPerCountFiltered,Temp,X,Y,Z,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,BIN_5,BIN_6,BIN_7,BIN_8,BIN_9,BIN_10,BIN_11,BIN_12,BIN_13,BIN_14,BIN_15,BIN_16,BIN_17,BIN_18,BIN_19,BIN_20,BIN_21,BIN_22,BIN_23,BIN_24,BIN_25,BIN_26,BIN_27,BIN_28,BIN_29
35.4367592593,359112.0,33599.0,10.6881752433,708.0,300.0,1044.0,236.0,820.0,2140.0,2072.0,6345.0,10383.0,9132.0,2409.0,267.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.4409259259,358428.0,33607.0,10.6652780671,708.0,302.0,1041.0,233.0,868.0,2220.0,2228.0,6160.0,10069.0,9318.0,2484.0,239.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.4450925926,365440.0,33604.0,10.8748958457,708.0,300.0,1041.0,236.0,774.0,2198.0,2149.0,6208.0,10188.0,9198.0,2553.0,303.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.4492592593,362823.0,33608.0,10.7957331588,708.0,303.0,1039.0,231.0,840.0,2189.0,2105.0,6234.0,10174.0,9239.0,2508.0,294.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.4534259259,362312.0,33582.0,10.7888749926,706.0,304.0,1043.0,235.0,798.0,2102.0,2071.0,6379.0,10177.0,9259.0,2490.0,279.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.4575925926,361058.0,33601.0,10.7454540043,706.0,302.0,1041.0,246.0,808.0,2152.0,2115.0,6245.0,10176.0,9304.0,2537.0,243.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.4617592593,364245.0,33595.0,10.8422384283,706.0,297.0,1041.0,238.0,750.0,2217.0,2114.0,6392.0,10055.0,9195.0,2553.0,279.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.4659259259,360847.0,33602.0,10.7388548301,708.0,299.0,1046.0,231.0,811.0,2177.0,2035.0,6476.0,10181.0,9191.0,2407.0,286.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.4700925926,363084.0,33615.0,10.8012494422,708.0,305.0,1040.0,236.0,843.0,2228.0,2136.0,6390.0,10060.0,9129.0,2463.0,331.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.4742592593,355608.0,33589.0,10.587037423,706.0,303.0,1043.0,238.0,804.0,2172.0,2156.0,6469.0,10194.0,9130.0,2388.0,252.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.4784259259,362483.0,33582.0,10.7939670061,716.0,304.0,1041.0,238.0,814.0,2129.0,2135.0,6389.0,10104.0,9134.0,2576.0,274.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.4825925926,365997.0,33596.0,10.8940647696,706.0,303.0,1039.0,240.0,810.0,2185.0,2164.0,6297.0,10107.0,9106.0,2579.0,302.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.4867592593,365292.0,33604.0,10.8704916081,708.0,303.0,1040.0,240.0,864.0,2216.0,2086.0,6264.0,9981.0,9255.0,2624.0,287.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.4909259259,359881.0,33587.0,10.7148896895,706.0,304.0,1043.0,240.0,776.0,2147.0,2255.0,6348.0,10185.0,9089.0,2480.0,277.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.4950925926,360903.0,33613.0,10.7370065153,706.0,299.0,1043.0,236.0,816.0,2221.0,2193.0,6470.0,10144.0,9016.0,2387.0,318.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.4992592593,358813.0,33613.0,10.6748281915,708.0,302.0,1043.0,233.0,833.0,2301.0,2176.0,6484.0,10024.0,8951.0,2511.0,317.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.5034259259,354865.0,33608.0,10.558944299,708.0,304.0,1039.0,240.0,852.0,2171.0,2311.0,6486.0,9940.0,9163.0,2402.0,267.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.5075925926,357662.0,33606.0,10.6428018806,708.0,303.0,1040.0,231.0,848.0,2270.0,2188.0,6432.0,10063.0,9083.0,2388.0,308.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.5117592593,357080.0,33625.0,10.6194795539,706.0,300.0,1047.0,235.0,808.0,2330.0,2191.0,6350.0,10155.0,9109.0,2366.0,284.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.5159259259,366182.0,33628.0,10.8891994766,710.0,297.0,1043.0,236.0,747.0,2190.0,2030.0,6445.0,10123.0,9203.0,2548.0,303.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.5200925926,362221.0,33625.0,10.7723717472,712.0,300.0,1043.0,238.0,777.0,2185.0,2090.0,6378.0,10189.0,9196.0,2496.0,289.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.5242592593,363234.0,33615.0,10.8057117358,710.0,302.0,1039.0,231.0,811.0,2190.0,2150.0,6220.0,10285.0,9149.0,2473.0,298.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.5284259259,362253.0,33623.0,10.7739642507,710.0,300.0,1040.0,240.0,796.0,2259.0,2151.0,6335.0,10106.0,9168.0,2467.0,309.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.5325925926,368011.0,33616.0,10.9474952404,714.0,299.0,1043.0,233.0,773.0,2167.0,2118.0,6296.0,10135.0,9133.0,2643.0,317.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.5367592593,362888.0,33620.0,10.7938132064,716.0,304.0,1043.0,235.0,801.0,2242.0,2117.0,6207.0,10248.0,9170.0,2523.0,280.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.5409259259,365572.0,33618.0,10.8742935332,716.0,300.0,1041.0,238.0,818.0,2150.0,2179.0,6178.0,10108.0,9337.0,2507.0,309.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.5450925926,368160.0,33626.0,10.9486706715,716.0,302.0,1043.0,238.0,796.0,2222.0,2197.0,6264.0,10015.0,9077.0,2699.0,327.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.5492592593,361024.0,33630.0,10.7351769254,716.0,302.0,1041.0,235.0,859.0,2192.0,2218.0,6315.0,10282.0,8966.0,2442.0,321.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.5534259259,368457.0,33632.0,10.9555482873,716.0,300.0,1040.0,232.0,854.0,2149.0,2204.0,6209.0,10059.0,9147.0,2629.0,354.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.5575925926,367424.0,33628.0,10.9261329844,716.0,304.0,1038.0,238.0,807.0,2178.0,2087.0,6172.0,10136.0,9292.0,2626.0,307.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.5617592593,364589.0,33626.0,10.8424730863,720.0,302.0,1043.0,233.0,814.0,2277.0,2128.0,6244.0,10063.0,9252.0,2487.0,332.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.5659259259,365277.0,33627.0,10.8626104024,720.0,304.0,1043.0,236.0,806.0,2231.0,2179.0,6382.0,10021.0,9050.0,2601.0,324.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
