tDays,Energy,Count,EnergyPerCountFiltered,Temp,X,Y,Z,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,BIN_5,BIN_6,BIN_7,BIN_8,BIN_9,BIN_10,BIN_11,BIN_12,BIN_13,BIN_14,BIN_15,BIN_16,BIN_17,BIN_18,BIN_19,BIN_20,BIN_21,BIN_22,BIN_23,BIN_24,BIN_25,BIN_26,BIN_27,BIN_28,BIN_29,comportamiento
39.7136342593,72746.0,6038.0,12.0480291487,747.0,339.0,967.0,636.0,280.0,556.0,389.0,795.0,1469.0,1822.0,606.0,118.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7143287037,72709.0,6038.0,12.0419012918,752.0,337.0,966.0,643.0,255.0,543.0,415.0,778.0,1418.0,1927.0,590.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7150231481,70607.0,6038.0,11.6937727724,747.0,345.0,960.0,643.0,288.0,533.0,407.0,767.0,1488.0,1935.0,511.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7157175926,72987.0,6036.0,12.0919483101,750.0,344.0,963.0,639.0,256.0,497.0,385.0,804.0,1447.0,1966.0,568.0,112.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.716412037,71694.0,6039.0,11.8718330849,745.0,340.0,963.0,639.0,274.0,522.0,416.0,821.0,1432.0,1903.0,558.0,112.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7171064815,73163.0,6036.0,12.1211066932,747.0,344.0,967.0,639.0,244.0,527.0,404.0,771.0,1481.0,1914.0,569.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7178009259,71643.0,6040.0,11.8614238411,745.0,343.0,961.0,643.0,240.0,557.0,395.0,770.0,1540.0,1859.0,572.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7184953704,73280.0,6035.0,12.1425020713,750.0,339.0,966.0,643.0,283.0,562.0,387.0,712.0,1477.0,1908.0,578.0,127.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7191898148,73053.0,6040.0,12.0948675497,745.0,340.0,961.0,643.0,292.0,531.0,397.0,754.0,1445.0,1926.0,573.0,119.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7198842593,73040.0,6036.0,12.1007289596,747.0,340.0,960.0,646.0,259.0,530.0,409.0,783.0,1436.0,1921.0,583.0,110.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7205787037,73569.0,6039.0,12.1823149528,750.0,339.0,963.0,646.0,276.0,515.0,411.0,774.0,1422.0,1900.0,629.0,111.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7212731481,73221.0,6037.0,12.1287063111,745.0,344.0,966.0,639.0,249.0,535.0,393.0,813.0,1455.0,1869.0,603.0,118.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
